post_id,post_type,wp_status,current_url,current_slug,current_title,author_id,published_date,modified_date,category_names,tag_names,excerpt
14010,articles,publish,http://jus-tice.co.il/rabbinical-agreement-approval/,%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%9c%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%91%d7%91%d7%aa%d7%99-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%a8,מדריך לאישור הסכם גירושין בבתי הדין הרבניים – 55 כללים מעשיים,282,2026-02-23,2026-02-23,,,"ב&#8221;ה מדריך 2026 אישור הסכם גירושין בבית דין רבני   מאת: הרב יצחק אושינסקי &#8211; אב&#8221;ד, בית הדין הרבני ירושלים. &nbsp; בתי הדין עוסקים בעניין הסכמי גירושין דבר יום ביומו; פעמים באישורם, פעמ"
13152,articles,publish,http://jus-tice.co.il/most-recommended-family-lawyer/,%d7%94%d7%9e%d7%9c%d7%a6%d7%95%d7%aa-2026-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5-%d7%94,המלצות 2026 עורך דין לענייני משפחה מומלץ  | התייעצות עם עורך דין לענייני משפחה וירושה,282,2025-12-11,2025-12-11,,,"אם אתם קוראים שורות אלה, ייתכן שאתם נמצאים במשבר זוגי או משפחתי – אולי תהליך גירושין מתקרב, סכסוך ירושה שצץ באופן בלתי צפוי, או אפילו דילמה שמחה יותר כמו תכנון חתונה וחתימה על הסכם ממון. בכל אחד מן המ"
12987,articles,publish,http://jus-tice.co.il/future-of-divorce-process/,%d7%9b%d7%99%d7%a6%d7%93-%d7%99%d7%a8%d7%90%d7%94-%d7%91%d7%a2%d7%aa%d7%99%d7%93-%d7%94%d7%9c%d7%99%d7%9a-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%aa%d7%97%d7%96%d7%99%d7%aa-%d7%9c%d7%a9,כיצד יראה בעתיד הליך גירושין &#8211; תחזית לשנים הבאות,282,2025-10-20,2025-10-20,,,"בין אם אתם מחפשים עורך דין גירושין או עורכת דין גירושין, ובין אם אתם מתלבטים האם לפנות תחילה לעורך דין לענייני משפחה או לעורכת דין לענייני משפחה, קשה להתעלם מן העובדה שהשנים הקרובות יביאו האצה דרמטית "
12979,articles,publish,http://jus-tice.co.il/experienced-family-law-attorney/,%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%aa%d7%95%d7%aa%d7%97-%d7%9e%d7%a2%d7%9c-20-%d7%a9%d7%a0%d7%95%d7%aa-%d7%a0,עורך דין לענייני משפחה תותח מעל 20 שנות נסיון | ייעוץ חינם &#8211; נתונים עדכניים בדיני המשפחה,282,2025-10-19,2025-10-19,,,"תחום דיני המשפחה בישראל מתאפיין בשינויים מגמתיים בולטיים בעשורים האחרונים. שיעור הגירושין הכללי בישראל (מספר המתגרשים יחסית לאוכלוסייה) התייצב סביב 1.8 לכל 1,000 נפש &#8211; בדומה לממוצע מדינות. בשנת "
12975,articles,publish,http://jus-tice.co.il/1396562-2/,%d7%a4%d7%a1%d7%93-%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%94%d7%97%d7%9c%d7%98%d7%94-%d7%9c%d7%a9%d7%9c%d7%95%d7%9d-%d7%91%d7%99%d7%aa-%d7%94%d7%a7%d7%a4%d7%90%d7%aa-%d7%aa%d7%a9%d7%9c%d7%95,פס&#8221;ד ביטול החלטה לשלום בית ; הקפאת תשלום מזונות אישה,282,2025-10-19,2025-10-19,,,"ב&#8221;ה תיק: 1396562/2 בבית הדין הרבני הגדול ירושלים לפני כבוד הדיינים: הרב מימון נהרי, הרב מרדכי רלב&#8221;ג, הרב אברהם מאיר שלוש המערער: פלוני נגד המשיבה: פלוני (ע&#8221;י ב&#8221;כ ) הנדון: ביטול"
12946,articles,publish,http://jus-tice.co.il/can-you-be-common-law-married-to-a-married-person/,%d7%94%d7%90%d7%9d-%d7%90%d7%99%d7%a9%d7%94-%d7%a0%d7%a9%d7%95%d7%90%d7%94-%d7%99%d7%9b%d7%95%d7%9c%d7%94-%d7%9c%d7%94%d7%99%d7%97%d7%a9%d7%91-%d7%99%d7%93%d7%95%d7%a2%d7%94-%d7%91%d7%a6%d7%99%d7%91,האם אישה נשואה יכולה להיחשב ידועה בציבור של אחר? מדריך מקיף ידועים בציבור,282,2025-09-29,2025-09-29,,,"בשנת 2022 חיו בישראל כ־104,000 זוגות ידועים בציבור &#8211; כ־5.4% מכלל הזוגות במדינה, לעומת פחות מ־1% בסוף שנות השמונים. מגמה זו במגמת עלייה מתמדת, אם כי שיעורה בישראל עדיין נמוך ביחס למדינות מערביות "
12940,articles,publish,http://jus-tice.co.il/1440015/1/,%d7%90%d7%9b%d7%99%d7%a4%d7%aa-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%a2%d7%9c-%d7%a8%d7%a7%d7%a2-%d7%98%d7%a2%d7%a0%d7%95%d7%aa-%d7%94%d7%93%d7%93%d7%99%d7%95%d7%aa,אכיפת הסכם גירושין על רקע טענות הדדיות בדבר הפרתו,282,2025-09-25,2025-09-25,,,"ב&#8221;ה תיק 1440015/1 בבית הדין הרבני הגדול ירושלים לפני כבוד הדיינים: הרב שלמה שפירא, הרב אברהם שינדלר, הרב מימון נהרי המערערת: פלונית נגד המשיב: פלוני הנדון: אכיפת הסכם גירושין על רקע טענות הדדיות"
12934,articles,publish,http://jus-tice.co.il/family-mediation-updated-trends/,%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%95%d7%91%d7%a2%d7%95%d7%9c%d7%9d-%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%95%d7%92%d7%99%d7%a8,"גישור משפחתי בישראל ובעולם | גישור וגירושין | נתונים, התפתחות ומגמות עדכניות",282,2025-09-17,2025-09-17,,,"בשנים האחרונות מוגשות בישראל מדי שנה כ־15-16 אלף בקשות לפתיחת הליך יישוב סכסוך (הליך מקדים לגירושין או סכסוך משפחתי). לפי מחקר ארצי משנת 2024, כ־58% מהמשפחות שסיימו את פגישות המהו&#8221;ת (מפגשי מידע,"
12924,articles,publish,http://jus-tice.co.il/investigations-and-intelligence-division/,%d7%90%d7%92%d7%a3-%d7%94%d7%97%d7%a7%d7%99%d7%a8%d7%95%d7%aa-%d7%95%d7%94%d7%9e%d7%95%d7%93%d7%99%d7%a2%d7%99%d7%9f-%d7%a9%d7%9c-%d7%9e%d7%a9%d7%98%d7%a8%d7%aa-%d7%99%d7%a9%d7%a8%d7%90%d7%9c,אגף החקירות והמודיעין של משטרת ישראל,282,2025-09-16,2025-09-16,,,"(אח&#8221;ם) אגף החקירות והמודיעין הוא הזרוע המרכזית של משטרת ישראל שאחראית על גילוי, פיענוח וסיכול פשיעה על כל גווניה. אגף זה מאגד תחתיו את כלל יחידות החקירה, המודיעין, החוקרים המדעיים (מז&#8221;פ) ו"
12921,articles,publish,http://jus-tice.co.il/top-experts-family-law/,2025-%d7%94%d7%9e%d7%95%d7%9e%d7%97%d7%99%d7%9d-%d7%94%d7%9e%d7%95%d7%91%d7%99%d7%9c%d7%99%d7%9d-%d7%91%d7%93%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94,(2025) המומחים המובילים בדיני משפחה,282,2025-09-15,2025-09-15,,,"דיני משפחה עוסקים בנושאים המרכזיים והרגישים ביותר בחיי אנשים &#8211; נישואין, גירושין, ילדים, הורות, ירושה ועוד. בעולם המודרני, שיעורי הנישואין והגירושין עוברים תמורות, ומשפט המשפחה נדרש להתאים עצמו ל"
12914,articles,publish,http://jus-tice.co.il/new-trends-ai-family-law/,%d7%9e%d7%92%d7%9e%d7%95%d7%aa-%d7%97%d7%93%d7%a9%d7%95%d7%aa-%d7%91%d7%93%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%94%d7%a9%d7%a4%d7%a2%d7%aa-%d7%94%d7%91%d7%99%d7%a0%d7%94-%d7%94%d7%9e,מגמות חדשות בדיני משפחה: השפעת הבינה המלאכותית AI דיני משפחה וגירושין (צפי ומגמות 2025-2026),282,2025-09-14,2025-09-14,,,"נתונים סטטיסטיים עדכניים על נישואין וגירושין ברחבי העולם המערבי שיעור הגירושין נע סביב 3 לכל 1,000 איש בשנה, גבוה מן הממוצע בישראל. לדוגמה, בארה&#8221;ב שיעור המתגרשים כ-7.3 זוגות לכל 1,000 איש, בבלגי"
12907,articles,publish,http://jus-tice.co.il/criminal-prosecutions/,%d7%aa%d7%91%d7%99%d7%a2%d7%95%d7%aa-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%99%d7%99%d7%a6%d7%95%d7%92-%d7%95%d7%9c%d7%95%d7%95%d7%99-%d7%a0%d7%90%d7%a9%d7%9e%d7%99%d7%9d,תביעות פלילי | ייצוג ולווי נאשמים,282,2025-09-12,2025-09-14,,,"המערכת הפלילית בישראל מטפלת באלפי תיקים בשנה, עם שיעורי הרשעה גבוהים במיוחד בהשוואה בינלאומית. בשנת 2021, למשל, כ-90% מהנאשמים שעניינם הסתיים הורשעו או נקבע שביצעו את העבירה המיוחסת להם, לעומת כ-2% שז"
