kind,id,status,http,bytes,durationMs,name,evidence,ownerAction
live,public-lawyer-entrypoints,REVIEW,200,127955,1220,Public visitor can find lawyer revenue paths,Missing: hero__lawyer-access | homepage-lawyer-revenue | homepage-lawyer-revenue__mini-dashboard | utm_medium=revenue_strip,"Open homepage and point to lawyer plans, registration and private-area links."
live,paid-plan-routing,REVIEW,200,66541,2114,Paid lawyer plan routes to checkout/manual invoice path,Missing: lawyer-plans-next-steps,Choose Lead Partner and explain this is the compliant fallback until Grow recurring approval lands.
live,checkout-compliance,PASS,200,80531,3072,Checkout exposes Grow-required customer and policy signals,https://jus-tice.co.il/checkout/?plan_interest=lead_partner&pre_checkout=1&payment_path=manual_invoice&investor_demo_check=1779655992992,"Show required fields, terms approval and policy links for Grow review."
live,registration-prefill,PASS,200,69587,2138,Registration preserves paid manual-invoice plan state,https://jus-tice.co.il/lawyer-registration/?plan_interest=lead_partner&payment_path=manual_invoice&billing_first_name=Investor&billing_last_name=Demo&billing_phone=0501234567&billing_email=investor-demo@example.com&billing_legal_name=Demo+Medical+Law+Ltd&billing_business_id=123456789&billing_invoice_email=billing-demo@example.com&billing_invoice_address=Tel+Aviv&investor_demo_check=1779655992992,Use this route to show how a medical-malpractice lawyer arrives with billing context already carried forward.
live,dashboard-gate,REVIEW,200,56705,3074,Logged-out dashboard gate sells the paid lawyer path,Missing: lawyer-dashboard-login-preview,"If not logged in, show that the private area pushes lawyers back to subscription onboarding."
live,service-desk-css-live,PASS,200,93775,80,Private-area service desk UI marker is deployed,https://jus-tice.co.il/wp-content/themes/justice-theme/assets/css/premium-pass-3.css?investor_demo_check=1779655992992,Use a claimed lawyer account to submit one refund/cancel/complaint ticket.
live,grow-policy-pages,PASS,200,80262,3055,Grow policy pages remain reachable,https://jus-tice.co.il/sample-terms-and-conditions-template/?investor_demo_check=1779655992992,"Show business identity, contact details, cancellation and privacy links if the investor asks about payment approval."
source,service-request-handler-source,PASS,-,39974,18,Source supports subscription lifecycle service requests,inc/lawyer-dashboard.php,Explain that upgrade/downgrade/cancel/refund are captured as owner-actionable tickets until recurring billing is approved.
source,lead-follow-up-notes-source,PASS,-,39974,18,Lawyer CRM captures lead follow-up notes,inc/lawyer-dashboard.php,"After a controlled demo lead exists, update its stage and add a short call result note from the lawyer dashboard."
source,owner-crm-lawyer-report-source,PASS,-,54639,5,Owner CRM shows lawyer follow-up reports,inc/lead-crm.php,Open Justice CRM or the lead edit screen after the lawyer updates a demo lead and show the owner-visible report.
source,service-request-dashboard-source,PASS,-,78059,14,Lawyer dashboard renders the private service desk,page-lawyer-dashboard.php,Open the claimed demo lawyer dashboard and show the request form.
source,owner-service-request-queue-source,PASS,-,180477,39,Owner command center can find pending service requests,inc/lawyer-onboarding.php,Open Lawyer Onboarding with service_request_status=pending after a controlled request is submitted.
source,owner-investor-demo-panel-source,PASS,-,180477,27,Owner onboarding has investor demo control panel,inc/lawyer-onboarding.php,Open Lawyer Onboarding and use the dark investor demo panel as the morning run order.
source,investor-matrix-source,PASS,-,9034,40,Investor scenario matrix exists,project-control/investor-demo-emergency-test-matrix-2026-05-24.md,Use the matrix as the rehearsal order and keep blockers explicit.
manual,claimed-demo-lawyer-profile,NEEDS_DEMO_DATA,-,-,-,Claimed lawyer profile with dashboard access,Requires one logged-in user linked to a justice_lawyer profile through claimed_by_user_id.,Prepare one demo lawyer account/profile before the investor call.
manual,assigned-demo-medical-malpractice-lead,NEEDS_DEMO_DATA,-,-,-,Assigned medical-malpractice lead for CRM walkthrough,Dashboard lead CRM is ready when a lead exists and is assigned to the demo lawyer.,Use an existing safe demo lead or create one controlled live lead only with owner approval.
manual,real-recurring-charge,EXTERNAL_BLOCKER,-,-,-,Real recurring subscription charge,Grow/Meshulam approval and WooCommerce subscription product/gateway mapping are still required.,Do not fake this. Present manual payment-link fallback as live and recurring billing as approval-gated.
manual,automatic-branded-invoice,EXTERNAL_BLOCKER,-,-,-,Automatic branded invoice/receipt with logo,Needs approved Grow/Morning invoice/payment setup and one controlled transaction.,Show policy/compliance readiness and explain the next approval step.
manual,real-refund-execution,EXTERNAL_BLOCKER,-,-,-,Real refund execution,Refund requests are captured in the service desk; actual refund execution depends on payment provider approval.,"Demo the refund request ticket, not a fake refund."
