row_type,id,route,decision,status,current_role,proposed_role,role_decision,words,current_issue,evidence,recommendation,approval_needed,allowed_future_copy,blocked_future_copy,item,current_question,evidence_required,public_action_allowed
decision,CRIM-DEC-01,,choose_central_criminal_law_surface,OWNER_GSC_SEO_REQUIRED,,,,,,/practice-areas/criminal-law/:200/289w/final=https://jus-tice.co.il/practice-areas/criminal-law/?jt_live_qa=1779844362983 | /criminal-lawyer/:200/289w/final=https://jus-tice.co.il/practice-areas/criminal-law/,Do not expand local pages until one central route is chosen and strengthened.,Owner + SEO/GSC + legal/editor,,,,,,
decision,CRIM-DEC-02,,hold_or_revise_live_jerusalem_page,OWNER_LEGAL_EDITOR_REQUIRED,,,,,,/criminal-lawyer-jerusalem/:200/488w; issues=thin_content | source_sensitive_claim_markers; claims=מוביל | מובילים | מחירים | בתי משפט,Preserve page as live asset for now; prepare only private revisions until GSC and legal/editor review approve exact copy.,Owner + legal/editor + GSC query/page evidence,,,,,,
decision,CRIM-DEC-03,,protect_specialist_pages,SEO_LEGAL_REQUIRED,,,,,,/sex-crime-lawyer/:200/24404w | /traffic-lawyer/:200/1881w,Keep sex-crime and traffic intent separate from the Jerusalem local criminal page.,SEO/internal overlap review,,,,,,
decision,CRIM-DEC-04,,verify_lawyer_supply_before_conversion_claims,SUPPLY_PROOF_REQUIRED,,,,,,/lawyers/?city=jerusalem&practice=criminal-law:200/730w; filtered profile count and quality not proven by this packet,Do not claim Jerusalem criminal lawyer availability until filtered profile count and quality are verified.,Owner/admin profile review,,,,,,
decision,CRIM-DEC-05,,public_action_gate,BLOCKED_NO_PUBLIC_CHANGE_APPROVED,,,,,,This packet creates private decision artifacts only.,No publish/update/unpublish/redirect/canonical/noindex/sitemap/taxonomy/internal-link action from this packet.,Explicit owner approval after evidence is filled,,,,,,
role,OWN-03,/practice-areas/criminal-law/,,200,practice_archive_or_topic,central_topic_or_archive_candidate,NEEDS_OWNER_SEO_DECISION,289,thin_content | source_sensitive_claim_markers,,,,Broad criminal law orientation only if upgraded into a proper pillar.,Do not leave as a thin archive while expanding local pages against it.,,,,
role,OWN-02,/criminal-lawyer/,,200,declared_pillar,legacy_declared_pillar_alias,NEEDS_REDIRECT_CANONICAL_REVIEW_WITHOUT_ACTION,289,thin_content | source_sensitive_claim_markers | declared_pillar_lands_elsewhere,,,,Only if owner decides this remains the user-facing pillar route.,Do not use as a source of truth while it lands on the weak topic/archive page.,,,,
role,OWN-01,/criminal-lawyer-jerusalem/,,200,live_target,local_city_practice_support_page,HOLD_EXISTING_PUBLIC_PAGE_NO_EXPANSION_YET,488,thin_content | source_sensitive_claim_markers,,,,"Local triage, document prep, when to check lawyer fit, and filtered directory support.","No broad criminal-law guide, no rankings, no price/court claims without sources, no specialist-topic takeover.",,,,
role,OWN-05,/criminal-defense-attorney/,,200,related_criminal_page,broad_criminal_defense_comparison_page,KEEP_DISTINCT_FROM_LOCAL_JERUSALEM,4128,source_sensitive_claim_markers,,,,"National/broad criminal defense selection, comparison and matching intent.",Do not make it the Jerusalem local page or duplicate its broad claims locally.,,,,
role,OWN-06,/sex-crime-lawyer/,,200,related_criminal_page,specialist_criminal_subtopic_page,KEEP_SPECIALIST_PROTECTED,24404,source_sensitive_claim_markers | protect_specialist_intent,,,,Sensitive specialist intent around sexual offenses only.,Do not let the Jerusalem local page absorb this specialist subject.,,,,
role,OWN-07,/traffic-lawyer/,,200,adjacent_practice_page,adjacent_traffic_practice_page,KEEP_ADJACENT_ONLY,1881,source_sensitive_claim_markers | protect_specialist_intent,,,,Traffic law intent only.,Do not mix traffic/fines intent into the criminal Jerusalem local page.,,,,
role,OWN-04,/lawyers/?city=jerusalem&practice=criminal-law,,200,filtered_directory,filtered_directory_conversion_path,VERIFY_SUPPLY_BEFORE_PUBLIC_PROMISES,730,source_sensitive_claim_markers,,,,Conversion path only if lawyer coverage is verified.,No promise of available/qualified Jerusalem criminal lawyers until profile coverage is reviewed.,,,,
role,OWN-08,/find-lawyer-how-to-find-good-attorney/,,200,selection_guide,generic_lawyer_selection_support,SUPPORT_ONLY,1025,source_sensitive_claim_markers,,,,Trust and selection support link if editorially relevant.,Do not use as the criminal-law pillar.,,,,
owner,,,,,,,,,,,,,,,central_route_choice,Should the criminal-law pillar be /criminal-lawyer/ or /practice-areas/criminal-law/?,GSC query/page export plus internal route role review.,no
owner,,,,,,,,,,,,,,,jerusalem_page_role,"Preserve, revise, consolidate, or park /criminal-lawyer-jerusalem/?","GSC export, legal/editor review, and lawyer coverage proof.",no
owner,,,,,,,,,,,,,,,claim_cleanup_scope,Should price/court/leading-style markers be revised or sourced?,Legal/editor review and source list.,no
owner,,,,,,,,,,,,,,,lawyer_supply,How many verified Jerusalem criminal-law profiles can the page responsibly point to?,Admin/profile review of filtered directory.,no
