decision_id,area,current_url,current_status,evidence,recommended_action,owner_approval_question,approval_status,blocked_actions,notes
PERSONAL-INJURY-PILLAR-001,personal-injury-commercial-pillar,https://jus-tice.co.il/personal-injury-lawyer/,"Strategic future target only; no exact current public URL verified","cluster-pillar-review lists strategic target slug personal-injury-lawyer; current heuristic chose /punitive-damage/ by word count only","PRIMARY_SELECTION_REQUIRED_NO_URL_CHANGE","Should /personal-injury-lawyer/ become the future commercial pillar only after comparison and migration map approval?","OWNER_APPROVAL_REQUIRED","No page creation URL slug redirect canonical sitemap title H1 meta menu or CMS edit","Do not let punitive-damage become the broad pillar by word count alone."
TORT-LAWYER-CURRENT-001,tort-lawyer-current-service,https://jus-tice.co.il/tort-lawyer/,"Published current local damages/service candidate; 507 words; quality 4/10; thin; no internal links","content-quality-audit recommends EXPAND","EXPAND_COMPARE_AS_CURRENT_SERVICE_CANDIDATE","Should /tort-lawyer/ be expanded in place as the current local service candidate?","OWNER_APPROVAL_REQUIRED","No rewrite title H1 meta URL slug redirect canonical sitemap or CMS edit","Needs comparison with old verdict/category pages and source/legal review."
PUNITIVE-DAMAGE-001,punitive-damages-specialist,https://jus-tice.co.il/punitive-damage/,"Published specialist article; 57276 words; quality 6/10; no internal links","cluster heuristic selected it as pillar by word count; intent is specialist support not broad service by default","PROTECT_SUPPORT_OR_SPECIALIST_GUIDE_REVIEW","Should /punitive-damage/ stay as support instead of personal-injury pillar?","OWNER_APPROVAL_REQUIRED","No pillar assignment redirect title meta canonical sitemap or CMS edit","Huge word count is not enough to approve as commercial pillar."
TORT-SUPPORT-001,tort-support-pages,https://jus-tice.co.il/tort-reform/,"Published support candidate; 7072 words; quality 6/10; no internal links","content-quality-audit recommends KEEP_OR_MAKE_PILLAR_REVIEW","SUPPORT_STRUCTURE_REVIEW","Should tort-law theory pages support a service pillar rather than compete with it?","OWNER_APPROVAL_REQUIRED","No merge redirect internal-link batch title meta canonical sitemap or CMS edit","Review with /outline-of-tort-law/ and /deep-pocket/."
TORT-OUTLINE-001,tort-law-overview,https://jus-tice.co.il/outline-of-tort-law/,"Published overview; 1443 words; quality 5/10; no internal links","content-quality-audit recommends KEEP_OR_SUPPORT_PILLAR_REVIEW","SUPPORT_PILLAR_REVIEW","Should this become support for the approved damages/personal-injury pillar?","OWNER_APPROVAL_REQUIRED","No rewrite redirect internal-link batch canonical sitemap or CMS edit","Potential informational support page."
DEEP-POCKET-001,deep-pocket-support,https://jus-tice.co.il/deep-pocket/,"Published thin support page; 507 words; quality 4/10; no internal links","content-quality-audit recommends EXPAND","EXPAND_OR_MERGE_REVIEW","Should this be expanded as support or merged later?","OWNER_APPROVAL_REQUIRED","No rewrite merge redirect canonical sitemap or CMS edit","Narrow tort concept; avoid pillar competition."
US-PERSONAL-INJURY-001,us-personal-injury,https://jus-tice.co.il/personal-injury-law/,"Published US-focused page; 8005 words; quality 6/10; no internal links","Title targets US personal injury; content-quality-audit recommends REVIEW_CLASSIFY","SEPARATE_INTERNATIONAL_US_INTENT","Should US personal-injury content remain separate from Israeli personal-injury service intent?","OWNER_APPROVAL_REQUIRED","No merge redirect canonical sitemap or CMS edit","Do not pollute Israeli local service intent."
CAR-ACCIDENT-CURRENT-001,car-accident-current,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,"Published current visible candidate; 590 words; quality 2/10; thin/outdated; no internal links","GSC: 79-84 impressions for תאונת דרכים and 2 impressions for עורך דין תאונות דרכים","PROTECT_COMPARE_REWRITE_REVIEW","Should this be rewritten in place first or later migrated to /car-accident-lawyer/?","OWNER_APPROVAL_REQUIRED","No rewrite title meta URL slug redirect canonical sitemap or CMS edit","Visible GSC signal makes blind migration risky."
CAR-ACCIDENT-SLUG-001,car-accident-clean-slug,https://jus-tice.co.il/car-accident-lawyer/,"Strategic future clean slug only; no exact current public URL found","slug-conflict-review: car-accident-lawyer has 4 conflict rows and 0 exact current slug count","SELECT_PRIMARY_AND_PLAN_REDIRECTS_LATER","Should /car-accident-lawyer/ be planned only after conflict comparison and redirect map approval?","OWNER_APPROVAL_REQUIRED","No creation migration redirect noindex canonical sitemap or CMS edit","Highest word-count candidate is old compensation/case-style content, not automatically a guide."
ROAD-ACCIDENT-LAW-001,road-accident-compensation-law,https://jus-tice.co.il/israel-road-accident-compensation-law/,"Published support candidate; 524 words; quality 4/10; thin/outdated; has internal links","GSC: low sample support row for תאונת דרכים; source/legal review needed","SOURCE_LEGAL_SUPPORT_REVIEW","Should this become support for the approved car-accident page after source review?","OWNER_APPROVAL_REQUIRED","No rewrite redirect title meta canonical sitemap or CMS edit","Needs official/public source review."
