"check_id","topic","current_or_planned_url","current_status","intended_role","source_refs_required","official_source_anchors","legal_review_required","owner_approval_required","url_change_allowed","public_execution_allowed","recommended_action","notes"
"RE-SRC-001","real-estate lawyer current candidate","https://jus-tice.co.il/real-estate-attorney/","CURRENT_PUBLISHED_CANDIDATE","CURRENT_PRIMARY_CANDIDATE","Land Registry; Tax Authority; Sale Law; transaction checklist","Ministry of Justice Land Registry; Israel Tax Authority; Sale Law portal","YES","YES","NO","NO","COMPARE_AS_CURRENT_PRIMARY","No title body H1 meta URL canonical or sitemap action before approval."
"RE-SRC-002","future clean real-estate lawyer slug","https://jus-tice.co.il/real-estate-lawyer/","FUTURE_STRATEGIC_SLUG_ONLY","MIGRATION_TARGET_CANDIDATE","Redirect map; canonical map; sitemap map; internal-link map","Owner-approved migration map required","YES","YES","NO","NO","MIGRATION_MAP_REQUIRED","Do not create duplicate live page while /real-estate-attorney/ exists."
"RE-SRC-003","homepage real-estate signal","https://jus-tice.co.il/","GSC_VISIBLE_FOR_REAL_ESTATE_QUERY","BROAD_PORTAL_ROUTING_SOURCE","Homepage strategy; internal-link plan","GSC evidence; homepage strategy docs","NO","YES","NO","NO","HOMEPAGE_LINK_REVIEW_LATER","Homepage should route intent later but no homepage changes are approved here."
"RE-SRC-004","cost and sale-lawyer support","https://jus-tice.co.il/real-estate-lawyer-cost-2025/","CURRENT_HIGH_IMPRESSION_SUPPORT","SUPPORT_PAGE_PROTECT","Tax Authority; sale/purchase fee wording; disclaimer","Israel Tax Authority guide; transaction source review","YES","YES","NO","NO","PROTECT_KEEP_AS_SUPPORT","GSC support page overload; do not redirect or rewrite blindly."
"RE-SRC-005","buying apartment support","https://jus-tice.co.il/buying-apartment/","FUTURE_SUPPORT_CANDIDATE","SUPPORT_PAGE_CANDIDATE","Land Registry; municipality due diligence; Tax Authority; purchase contract","Land Registry guide; Tax Authority; municipal due-diligence examples","YES","YES","NO","NO","COMPARE_BEFORE_CREATE_OR_MIGRATE","Compare old Hebrew buying pages and avoid foreign-property contamination."
"RE-SRC-006","sale agreement support","https://jus-tice.co.il/real-estate-purchase-agreement/","FUTURE_SUPPORT_CANDIDATE","SUPPORT_PAGE_CANDIDATE","Contract law; Sale Law; registry; tax reporting","Sale Law portal; Land Registry; Tax Authority","YES","YES","NO","NO","SUPPORT_STRATEGY_REQUIRED","Compare contractor contract sale-registration and case-law pages before publishing."
"RE-SRC-007","land registry support","https://jus-tice.co.il/land-registration/","CURRENT_THIN_SUPPORT","REGISTRY_SUPPORT","Land Registry workflow; Tapu extract; warning note; ownership checks","Ministry of Justice Land Registry","YES","YES","NO","NO","EXPAND_AFTER_SOURCE_REVIEW","Thin support page; no merge or redirect approved."
"RE-SRC-008","real-estate registration support","https://jus-tice.co.il/registration-of-real-estate-israel/","CURRENT_THIN_SUPPORT","REGISTRY_SUPPORT","Registration workflow; ownership and rights checks","Ministry of Justice Land Registry","YES","YES","NO","NO","MERGE_OR_EXPAND_REVIEW","Needs comparison with /land-registration/ before action."
"RE-SRC-009","land appreciation and purchase tax support","https://jus-tice.co.il/land-appreciation-tax/","CURRENT_TAX_SUPPORT","TAX_SUPPORT","Tax rates; exemptions; reporting; deadlines","Israel Tax Authority guide and online-reporting docs","YES","YES","NO","NO","KEEP_SUPPORT_SOURCE_REVIEW","No tax wording changes without source/legal review."
"RE-SRC-010","contractor defect support","https://jus-tice.co.il/common-construction-defects-and-how-to-manage-them/","CURRENT_SUPPORT_CANDIDATE","CONTRACTOR_DEFECT_SUPPORT","Sale Law; defect warranty; delivery delay; guarantees","Ministry of Construction and Housing Sale Law portal","YES","YES","NO","NO","CLASSIFY_SUPPORT_OR_SPECIALIST","Do not merge into main pillar without intent separation."
"RE-SRC-011","rental support","https://jus-tice.co.il/rental-agreement/","CURRENT_SUPPORT_PAGE","RENTAL_SUPPORT","Rental agreement; municipal and contract boundaries","Source review required","YES","YES","NO","NO","SEPARATE_RENTAL_SUPPORT_REVIEW","Rental intent supports cluster but is not purchase-sale pillar."
"RE-SRC-012","international property contamination","https://jus-tice.co.il/buying-property-in-greece/","CURRENT_INTERNATIONAL_CONTENT","SEPARATE_CLUSTER","Foreign-property disclaimers; local Israeli separation","Manual editorial classification","YES","YES","NO","NO","SEPARATE_INTERNATIONAL_CLUSTER","Do not use as local Israeli real-estate lawyer support card unless approved."
"RE-SRC-013","real-estate URL migration safety","ALL_REAL_ESTATE_URLS","MIGRATION_NOT_APPROVED","MIGRATION_GUARD","Old URL inventory; 301 map; internal link map; canonical map; sitemap map","Owner-approved migration packet","YES","YES","NO","NO","NO_URL_CHANGE_NOW","Map first decide second execute later in controlled batch."
