action_id,sequence,cluster,owner_action,priority,status,source_file,source_rows,blocked_or_pending_rows,ready_or_verified_rows,required_before_progress,unblocks,blocked_public_actions,next_step,notes
OWNER-ACTION-001,1,all_priority_clusters,Complete read-only GSC OAuth setup outside Git,P0,BLOCKED_OWNER_SETUP,project-control/gsc-priority-cluster-export-runner-2026-05-22.csv,6,5,1,OAuth Desktop JSON saved outside repo; token path outside repo; owner approves read-only Search Console OAuth prompt,"Focused GSC exports for Family/Divorce, Criminal Law and Medical Malpractice",NO_CMS_UPLOAD; NO_PUBLIC_CMS_EDIT; NO_URL_MIGRATION; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_INTERNAL_LINK_WRITE; NO_LAWYER_LEAD_CRM_CHANGE,"Set GSC_OAUTH_CLIENT_PATH and GSC_TOKEN_PATH, then run tools/gsc/run-priority-cluster-gsc-exports.ps1","This is the highest leverage owner action because it unblocks protected URL, cannibalization, redirect, canonical and sitemap decisions across three clusters."
OWNER-ACTION-002,2,family_divorce,Approve or hold visible current-URL repair only,P0,BLOCKED_OWNER_DECISION,project-control/family-law-live-repair-owner-approval-2026-05-22.csv,13,13,0,Owner records APPROVE_VISIBLE_REPAIR_ONLY or HOLD_PUBLIC_REPAIR,/divorce-agreement/ shortcode/PDF repair and H1/template repair on current URLs only,NO_CMS_UPLOAD; NO_PUBLIC_CMS_EDIT; NO_URL_MIGRATION; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_INTERNAL_LINK_WRITE; NO_LAWYER_LEAD_CRM_CHANGE,Owner fills Family Law visible repair approval worksheet; SEO consolidation remains HOLD_PENDING_GSC.,"This approval is intentionally narrower than content upload, URL migration or canonical consolidation approval."
OWNER-ACTION-003,3,family_divorce,Capture actual WordPress rollback backup before approved visible repair,P0,BLOCKED_CMS_BACKUP,project-control/family-law-live-repair-cms-backup-template-2026-05-22.csv,14,13,1,"Post IDs, full bodies, SEO fields, canonical/robots, taxonomy/media fields, revision IDs and screenshots captured",Safe current-URL visible repair execution and rollback path,NO_CMS_UPLOAD; NO_PUBLIC_CMS_EDIT; NO_URL_MIGRATION; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_INTERNAL_LINK_WRITE; NO_LAWYER_LEAD_CRM_CHANGE,Operator completes the backup template after owner approval and before any editor save.,Public HTML snapshots are not enough for rollback. The backup must come from WordPress/editor/database state.
OWNER-ACTION-004,4,family_divorce,"Execute approved visible repairs, then rerun live safety and diagnostics",P0,BLOCKED_UNTIL_APPROVAL_BACKUP_REPAIR,project-control/family-law-live-repair-readiness-gate-2026-05-22.csv,8,8,2,Owner approval; CMS backup; current-URL repair; rerun safety/diagnostics; desktop/mobile screenshots,Family/Divorce can move from procedural readiness toward upload-safe review,NO_CMS_UPLOAD; NO_PUBLIC_CMS_EDIT; NO_URL_MIGRATION; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_INTERNAL_LINK_WRITE; NO_LAWYER_LEAD_CRM_CHANGE,Repair only raw shortcode/PDF/H1 visible defects; preserve current URLs and SEO migration decisions.,All 8 Family repair gates are blocked until this sequence is completed and verified.
OWNER-ACTION-005,5,family_divorce,Review focused Family/Divorce GSC decision maps after export,P0,BLOCKED_GSC_EXPORT_REVIEW,project-control/family-law-live-repair-readiness-gate-2026-05-22.csv,8,8,2,Focused Family/Divorce GSC export and protected URL owner review packet regenerated from live API data,"Divorce-lawyer canonical choice, protected URL handling, redirect/noindex/sitemap decisions",NO_CMS_UPLOAD; NO_PUBLIC_CMS_EDIT; NO_URL_MIGRATION; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_INTERNAL_LINK_WRITE; NO_LAWYER_LEAD_CRM_CHANGE,"After priority GSC export, review family-divorce decision maps before any SEO consolidation.",Do not use cached baseline maps as final proof for redirects or canonicals.
OWNER-ACTION-006,6,criminal_law,Review Criminal owner/legal/source packet and metadata after focused GSC export,P1,BLOCKED_GSC_OWNER_LEGAL_SOURCE_REVIEW,project-control/criminal-owner-review-packet-2026-05-22.csv,5,0,5,Focused Criminal GSC export; owner/legal/source review; rollback backup before CMS update,Current-URL-only Criminal first upload package,NO_CMS_UPLOAD; NO_PUBLIC_CMS_EDIT; NO_URL_MIGRATION; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_INTERNAL_LINK_WRITE; NO_LAWYER_LEAD_CRM_CHANGE,"Owner marks APPROVE_CURRENT_URL_UPDATE, EDIT_REQUIRED, HOLD or LEGAL_REVIEW_REQUIRED per Criminal row.","5 Criminal metadata rows exist, but all remain blocked from upload until owner/legal/source/GSC gates clear."
OWNER-ACTION-007,7,criminal_law,Review Criminal protected URL/cannibalization maps,P1,BLOCKED_FOCUSED_GSC_FINALITY,project-control/criminal-gsc-decision-map-2026-05-22.csv,7,1,6,Owner-authorized focused Criminal GSC export reviewed,"Criminal clean-slug migration, protected URL decisions and anti-cannibalization choices",NO_CMS_UPLOAD; NO_PUBLIC_CMS_EDIT; NO_URL_MIGRATION; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_INTERNAL_LINK_WRITE; NO_LAWYER_LEAD_CRM_CHANGE,"Keep clean slugs, redirects, canonicals/noindex and sitemap changes blocked until maps are final.",Current Criminal maps are baseline-only until focused GSC export runs.
OWNER-ACTION-008,8,medical_malpractice,Verify authoritative CMS record for /medical-malpractice-lawyer/,P1,BLOCKED_WP_ADMIN_DB_CHECK,project-control/medical-malpractice-cms-identity-operator-runbook-2026-05-22.csv,9,0,0,Rollback evidence for IDs 11607 and 1130; served-record verification; owner authoritative-record decision,Medical Malpractice current-URL update package and duplicate identity resolution,NO_CMS_UPLOAD; NO_PUBLIC_CMS_EDIT; NO_URL_MIGRATION; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_INTERNAL_LINK_WRITE; NO_LAWYER_LEAD_CRM_CHANGE,"Operator runs inspection-only runbook and records KEEP_11607, KEEP_1130, MERGE_ASSETS or HOLD.",Do not edit the public page until the duplicate CMS identity is resolved.
OWNER-ACTION-009,9,medical_malpractice,Review Medical Malpractice owner/source/legal/privacy worksheet,P1,BLOCKED_OWNER_SOURCE_LEGAL_PRIVACY_REVIEW,project-control/medical-malpractice-owner-decision-packet-2026-05-22.csv,69,69,69,Owner decisions; source/legal review; privacy review for sensitive health-data intake; focused GSC export,Medical Malpractice current-URL-only update package,NO_CMS_UPLOAD; NO_PUBLIC_CMS_EDIT; NO_URL_MIGRATION; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_INTERNAL_LINK_WRITE; NO_LAWYER_LEAD_CRM_CHANGE,Owner assigns approve/edit/hold/legal/privacy decisions before any CMS work.,10 source/legal rows exist; upload-approved rows remain zero.
OWNER-ACTION-010,10,all_priority_clusters,Run final upload go/no-go review after owner gates clear,P0,BLOCKED_UNTIL_PRIOR_ACTIONS_COMPLETE,,0,0,0,GSC exports reviewed; owner approvals recorded; rollback backups captured; source/legal gates resolved; post-repair QA passed,Controlled content upload/update stage by cluster,NO_CMS_UPLOAD; NO_PUBLIC_CMS_EDIT; NO_URL_MIGRATION; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_INTERNAL_LINK_WRITE; NO_LAWYER_LEAD_CRM_CHANGE,Update readiness dashboards and only then approve current-URL CMS uploads or later URL migration batches.,"The current safe sequence remains Family/Divorce visible repair and GSC review first, then Criminal, then Medical Malpractice."
