unit_id,url,primary_query,title,meta_description,h1,filename,word_count,serp_verdict,information_gain,internal_links,sources_count,todo_verify_count,faq_count,notes
U01,/medical-malpractice-in-the-united-states/,"עו""ד רשלנות רפואית בארצות הברית","עו""ד רשלנות רפואית בארצות הברית: שירותים, הליך ובחירת ייצוג","עו""ד רשלנות רפואית בארצות הברית: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ.","עו""ד רשלנות רפואית בארצות הברית: מי מוסמך לייצג ומה חשוב לדעת",U01.html,950,"כוונה אינפורמטיבית: הגדרות, סטטיסטיקה והשוואת מערכות (לא שכירת שירות). מתחרים ישראלים ומקורות אנציקלופדיים. החוסר: מי מוסמך לייצג והבחנה ישראל–ארה״ב.",החלטה מי מוסמך לייצג (ישראל מול ארה״ב); טבלת השוואה ארה״ב–ישראל; צ׳ק-ליסט צעדים למי שנפגע בחו״ל; רשימת שאלות לבחירת ייצוג; גילוי מאוחר וכלל הגילוי,/medical-malpractice-lawyer/;/what-is-medical-malpractice-definition-examples/;/legal-simulation/;/medical-malpractice-attorney/;/medical-malpractice-lawyers-law-medical-israel/,2,0,4,APPROVED/finalized on engineering side; jurisdiction-honest E-E-A-T line; informational scope
U02,/malpractice-cerebral-palsy/,איך להגיש תביעת רשלנות רפואית בלידה,איך להגיש תביעת רשלנות רפואית בלידה: מדריך משפטי מעשי,"איך להגיש תביעת רשלנות רפואית בלידה: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים.",איך להגיש תביעת רשלנות רפואית בלידה,U02.html,1055,"כוונה פרוצדורלית/שכירה; מדריכי משרדים שולטים. תת-נושאים: יסודות, רשומות, חוות דעת, התיישנות, פיצויים. חסר: איזה מסמך מוכיח מה.","טבלת מסמך←מה-מוכיח; טבלת מועדי התיישנות לפי נפגע; שלבי הגשה ממוספרים; פסק דין מזוהה 4,330,162 ₪",/medical-malpractice-lawyer/;/what-is-medical-malpractice-definition-examples/;/decision50014-01-19/;/medical-malpractice-attorney/;/decision39696-06-16/;/birth-injury/,2,0,5,REBUILD; מועדים/סעיפים TODO-VERIFY; סכום מפס״ד באולאוליסט; own URL not self-linked
U03,/what-is-medical-malpractice-definition-examples/,הוכחת רשלנות רפואית,הוכחת רשלנות רפואית: מדריך משפטי מעשי,"הוכחת רשלנות רפואית: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים.",הוכחת רשלנות רפואית: איך מוכיחים את יסודות התביעה,U03.html,956,"אינפורמטיבי; מדריך והסבר משרד. מכסה יסודות, נטל ההוכחה, חוות דעת ותיעוד. חסר צ׳ק-ליסט ראיות והעברת נטל.",טבלת ארבעת היסודות ומה מוכיח כל יסוד; צ׳ק-ליסט מסמכים; דוקטרינת העברת נטל עקב רישום לקוי; תפקיד חוות דעת המומחה,/medical-malpractice-attorney/;/רשלנות-רפואית-באבחון-אבחנה-שגויה-ומאו/;/medical-malpractice-common-errors-doctors-hospitals/;/legal-simulation/;/medical-malpractice-lawyer/,3,0,4,REBUILD; absorb 8269 folded; יסודות/7ש/גיל25 נאמרו כוודאי; סעיפים מדויקים TODO-VERIFY
U04,/medical-malpractice-common-errors-doctors-hospitals/,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,"רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים.",רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,U04.html,677,"אינפורמטיבי; ליסטיקל קטגוריות. מכסה אבחון, ניתוח, תרופות, הרדמה, לידה, זיהומים. חסר טבלת השלכה משפטית.",טבלת קטגוריה←דוגמה←השלכה משפטית; כלי החלטה מתי טעות הופכת לרשלנות; דוגמאות טעויות תרופתיות; אחריות בית חולים מול רופא,/רשלנות-רפואית-באבחון-אבחנה-שגויה-ומאו/;/medical-malpractice-surgery/;/anesthesia-medical-malpractice/;/what-is-medical-malpractice-definition-examples/;/medical-malpractice-lawyer/,2,0,4,REBUILD; ללא absorb; טענות איכותניות/כלליות; 0 TODO-VERIFY
U05,/anesthesia-medical-malpractice/,"רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח","רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח","רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים.",רשלנות בהרדמה (אנסתזיה): פיצויים והתעוררות בניתוח,U05.html,712,"אינפורמטיבי/שכירה; הסבר משרד. מכסה מקרים נפוצים, מינון, ניטור, פיצויים. חסר פרק התעוררות בניתוח וסוגי הרדמה.",פרק התעוררות בניתוח; טבלת סוגי הרדמה ונקודות כשל; טבלת סוגי נזק; צ׳ק-ליסט חובת ניטור,/medical-malpractice-attorney/;/what-is-medical-malpractice-definition-examples/;/medical-malpractice-surgery/;/medical-malpractice-lawyer/,2,0,4,REBUILD; ללא absorb; התעוררות בניתוח כעוגן ידע; סכומים TODO-VERIFY
U06,/decision50014-01-19/,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית המשפט בתיק,"השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית המשפט בתיק: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים.",השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית המשפט בתיק,U06.html,503,CASE-REBUILD: ללא serp; כוונת איתור-תיק; עובדות מהשורה + TODO-VERIFY,זיהוי ההחלטה: תיק 50014-01-19 + השופטת יעל ייטב; סוגיית מינוי מומחה מטעם בית המשפט,/medical-malpractice-lawyer/;/what-is-medical-malpractice-definition-examples/;/medical-malpractice-law/;/legal-simulation/,2,13,3,CASE; החלטת ביניים (מינוי מומחה) — אין פסיקת פיצוי; כל פרטי התיק TODO-VERIFY
U07,/medical-malpractice-surgery/,"רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים","רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים","רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים.","רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים",U07.html,764,"אינפורמטיבי; מדריך מקיף. מכסה סוגים, שלבי ניתוח, הסכמה מדעת, פיצויים, הוכחה. חסר ׳הדבר מעיד על עצמו׳ וטבלת סוגים.",טבלת סוגי רשלנות בניתוח; הכלל ׳הדבר מעיד על עצמו׳; היקף ההסכמה מדעת; רשימת גורמים וצ׳ק-ליסט פעולה,/anesthesia-medical-malpractice/;/what-is-medical-malpractice-definition-examples/;/medical-malpractice-attorney/;/medical-malpractice-lawyer-lawsuit-surgery-medical/;/medical-malpractice-lawyer/,3,0,4,REBUILD; absorb surgical-errors folded; סכומי US$ הושמטו; סכומים+ס׳41 TODO-VERIFY; נבדל מ-U18
U08,/decision55016-06-17a/,"השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית","השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית בטיפול שיניים","השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית בטיפול שיניים: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים.","השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית בטיפול שיניים",U08.html,398,CASE-REBUILD: ללא serp; כוונת איתור-תיק; עובדות מהשורה + TODO-VERIFY,זיהוי פסק הדין: תיק 55016-06-17 + השופטת אורית ליפשיץ; רשלנות בטיפול שיניים,/medical-malpractice-lawyer/;/what-is-medical-malpractice-definition-examples/;/medical-malpractice-common-errors-doctors-hospitals/;/medical-malpractice-attorney/,2,12,2,CASE; שיניים; סלאג הגאפ אינו מותר — נותב לאחים כלליים; תוצאה TODO-VERIFY
U09,/medical-malpractice-lawyer-birth-recommended/,עורך דין רשלנות רפואית בלידה מומלץ,"עורך דין רשלנות רפואית בלידה מומלץ: שירותים, הליך ובחירת","עורך דין רשלנות רפואית בלידה מומלץ: שירותים, הליך ובחירת: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ.",עורך דין רשלנות רפואית בלידה מומלץ — איך בוחרים,U09.html,715,"כוונת שכירה; עמודי משרדים + אגרגטור ביקורות. חסר: הבהרה שאין דירוג רשמי, טבלת קריטריונים, שאלות לפגישה.",הבהרה אין דירוג רשמי; טבלת קריטריוני בחירה; רשימת שאלות לפגישת ייעוץ; רשימת סימני אזהרה,/medical-malpractice-lawyer/;/medical-malpractice-attorney/;/medical-malpractice-lawyers-law-medical-israel/;/birth-injury-lawyer/;/malpractice-cerebral-palsy/,2,0,5,REBUILD; ללא פרסים/דירוגים מומצאים; ממוסגר כקריטריוני בחירה
U10,/medical-malpractice-lawyers-law-medical-israel/,עורכי דין מובילים בתחום רשלנות רפואית בעולם,"עורכי דין מובילים בתחום רשלנות רפואית בעולם: שירותים, הליך","עורכי דין מובילים בתחום רשלנות רפואית בעולם: שירותים, הליך: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ.",עורכי דין מובילים בתחום רשלנות רפואית בעולם: איך לזהות ולבחור,U10.html,813,כוונת שכירה/הערכת ייצוג; SERP שולט בדירוגים ומאגרי המלצות. חסרה הכוונת בחירה כנה ללא רשימות מדורגות.,טבלת אינדיקציות מול מגבלות; רשימת שאלות לפגישת ייעוץ; רשימת נורות אזהרה; ניתוח כן של דירוגים מסחריים,/medical-malpractice-lawyer/;/medical-malpractice-attorney/;/medical-malpractice-law/;/legal-simulation/;/medical-malpractice-in-the-united-states/,2,0,5,REBUILD; ללא דירוגים/משרדים מומצאים
