query,date,clicks,impressions,ctr,position
איתור עורך דין,2026-03-21,1,2,0.5,6.5
ארז מלמד שופט,2026-04-12,1,1,1,21
חיפוש עורך דין לפי שם,2026-03-30,1,6,0.16666666666666666,6.666666666666667
מאגר משפטי חינם,2026-03-24,1,1,1,22
מציאת עורך דין,2026-03-26,1,4,0.25,5.75
נאיל מהנא,2026-04-13,1,1,1,46
סעיף 63 לפקודת התעבורה,2026-04-06,1,1,1,43
רשות ניירות ערך בעלי תפקידים,2026-03-22,1,2,0.5,1.5
רשות ניירות ערך מחלקת תאגידים,2026-03-23,1,3,0.3333333333333333,2.666666666666667
"""r 8"" ""u 9"" ""l 9"" ""d 8"" ""l 2""",2026-03-28,0,1,0,4
"""r 8"" ""u 9"" ""l 9"" ""d 8"" ""l 2""",2026-03-29,0,1,0,11
"""בית משפט""",2026-03-23,0,1,0,24
"""חוק המרשם הפלילי ותקנת השבים"" סעיף 14 15 16 17 18",2026-03-25,0,1,0,10
"""עוסק זעיר"" פיצול מלאכותי בני זוג",2026-04-05,0,1,0,11
"""רשלנות רפואית הגדרה""",2026-03-18,0,3,0,15.666666666666666
"""רשלנות רפואית הגדרה""",2026-03-19,0,1,0,15
"""רשלנות רפואית הגדרה""",2026-03-20,0,2,0,16
"""רשלנות רפואית הגדרה""",2026-03-21,0,4,0,15.75
"""רשלנות רפואית הגדרה""",2026-03-22,0,2,0,16
"""רשלנות רפואית הגדרה""",2026-03-23,0,7,0,16
"""רשלנות רפואית הגדרה""",2026-03-24,0,5,0,16.2
"""רשלנות רפואית הגדרה""",2026-03-25,0,3,0,16
"""רשלנות רפואית הגדרה""",2026-03-26,0,3,0,15.666666666666666
"""רשלנות רפואית הגדרה""",2026-03-27,0,3,0,15.666666666666666
"""רשלנות רפואית הגדרה""",2026-03-28,0,2,0,15
"""רשלנות רפואית הגדרה""",2026-03-29,0,4,0,15.75
"""רשלנות רפואית הגדרה""",2026-03-30,0,3,0,15.333333333333334
"""רשלנות רפואית הגדרה""",2026-03-31,0,4,0,15
"""רשלנות רפואית הגדרה""",2026-04-01,0,1,0,15
"""רשלנות רפואית הגדרה""",2026-04-02,0,3,0,15
