page,device,clicks,impressions,ctr,position
https://jus-tice.co.il/,MOBILE,81,15664,0.52%,23.4
https://jus-tice.co.il/free-divorce-agreement-template/,DESKTOP,64,22326,0.29%,29.4
https://jus-tice.co.il/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%A2%D7%93%D7%9B%D7%A0%D7%99-%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F/,MOBILE,57,1929,2.95%,32.7
https://jus-tice.co.il/free-divorce-agreement-template/,MOBILE,52,11030,0.47%,18.7
https://jus-tice.co.il/,DESKTOP,51,55284,0.09%,39.3
https://jus-tice.co.il/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F/,MOBILE,49,13641,0.36%,16.4
https://jus-tice.co.il/free-affidavit-sample/,DESKTOP,47,4038,1.16%,23.3
https://jus-tice.co.il/53431-10-21/,MOBILE,37,6539,0.57%,12.1
https://jus-tice.co.il/lahav-433/,MOBILE,34,3186,1.07%,11.2
https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,MOBILE,31,3380,0.92%,36.2
https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,MOBILE,29,9019,0.32%,21.8
https://jus-tice.co.il/%D7%98%D7%95%D7%A4%D7%A1-%D7%9C%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA-%D7%94%D7%A2%D7%A1%D7%A7%D7%94-%D7%A9%D7%9C-%D7%A2%D7%91%D7%A8%D7%99%D7%99%D7%A0%D7%99-%D7%9E%D7%99%D7%9F-%D7%91%D7%9E%D7%95%D7%A1%D7%93-%D7%94%D7%9E%D7%9B%D7%95%D7%95%D7%9F-%D7%9C%D7%9E%D7%AA%D7%9F-%D7%A9%D7%99%D7%A8%D7%95%D7%AA-%D7%9C%D7%A7%D7%98%D7%99%D7%A0%D7%99%D7%9D/,DESKTOP,27,5446,0.50%,16.0
https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,DESKTOP,27,24829,0.11%,24.6
https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A9%D7%9B%D7%A8-%D7%9B%D7%9E%D7%94-%D7%9E%D7%A8%D7%95%D7%95%D7%99%D7%97-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C/,MOBILE,25,784,3.19%,10.9
https://jus-tice.co.il/online-rent-agreement/,MOBILE,25,477,5.24%,12.4
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,MOBILE,22,401,5.49%,10.4
https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,MOBILE,20,6065,0.33%,21.2
https://jus-tice.co.il/baker-mckenzie/,MOBILE,20,342,5.85%,9.7
https://jus-tice.co.il/free-affidavit-sample/,MOBILE,20,1625,1.23%,15.4
https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,MOBILE,19,6073,0.31%,23.6
https://jus-tice.co.il/court-judge/,MOBILE,19,2310,0.82%,24.6
https://jus-tice.co.il/psakdin/%D7%94%D7%9C%D7%9B%D7%AA-%D7%90%D7%9C%D7%A7%D7%A6%D7%90%D7%A6%D7%99-%D7%9E%D7%A9%D7%9A-%D7%94%D7%94%D7%9E%D7%AA%D7%A0%D7%94-%D7%9E%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%9C%D7%99%D7%9A-%D7%A4%D7%A9/,DESKTOP,19,1699,1.12%,62.1
https://jus-tice.co.il/online-rent-agreement/,DESKTOP,18,639,2.82%,42.0
https://jus-tice.co.il/%D7%A1%D7%95%D7%92%D7%99%D7%9D-%D7%A9%D7%95%D7%A0%D7%99%D7%9D-%D7%A9%D7%9C-%D7%A8%D7%95%D7%A4%D7%90%D7%99%D7%9D/,MOBILE,17,530,3.21%,29.4
https://jus-tice.co.il/30767-05-21/,MOBILE,17,339,5.01%,5.7
https://jus-tice.co.il/decision5987-10-16/,MOBILE,17,399,4.26%,5.2
