unit_id,unit_type,url,primary_query,secondary_queries,role,new_title,new_meta,serp_file,absorb_from,impressions_16mo,notes
U01,REBUILD,/medical-malpractice-in-the-united-states/,"עו""ד רשלנות רפואית בארצות הברית",דירוג עורכי דין רשלנות רפואית; גילוי רשלנות רפואית מאוחרת,cluster,"עו""ד רשלנות רפואית בארצות הברית: שירותים, הליך ובחירת ייצוג","עו""ד רשלנות רפואית בארצות הברית: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",רשלנות-רפואית-בארצות-הברית.md,,18043.0,INFORMATIONAL BUILD: US-malpractice overview for Israelis (not a service page). Modified E-E-A-T line per U01-correction-note.md. Insurance-shopping secondaries dropped 2026-07-13.
U02,REBUILD,/malpractice-cerebral-palsy/,איך להגיש תביעת רשלנות רפואית בלידה,הוכחת רשלנות בלידה;היפוקסיה עוברית;גילוי שיתוק מוחין בהריון,cluster,איך להגיש תביעת רשלנות רפואית בלידה: מדריך משפטי מעשי,"איך להגיש תביעת רשלנות רפואית בלידה: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",איך-להגיש-תביעת-רשלנות-רפואית-בלידה.md,,7408.0,16mo 0c/7408i; demand protected; attorney-led rebuild.
U03,REBUILD,/what-is-medical-malpractice-definition-examples/,הוכחת רשלנות רפואית,אבחון שגוי ורשלנות רפואית;איך מוכיחים רשלנות רפואית;איך לתבוע רשלנות רפואית,cluster,הוכחת רשלנות רפואית: מדריך משפטי מעשי,"הוכחת רשלנות רפואית: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",הוכחת-רשלנות-רפואית.md,/medical-malpractice-8269/,6895.0,16mo 0c/6895i; demand protected; attorney-led rebuild.
U04,REBUILD,/medical-malpractice-common-errors-doctors-hospitals/,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,אבחון שגוי ורשלנות רפואית,cluster,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,"רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",טעויות-רפואיות-נפוצות.md,,5584.0,16mo 0c/5584i; demand protected; attorney-led rebuild.
U05,REBUILD,/anesthesia-medical-malpractice/,"רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח",הרדמה ספינלית תופעות לוואי;הרדמה באנגלית;אנסתזיה;הרדמה ספינלית;הרדמה בלוק,cluster,"רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח","רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",רשלנות-רפואית-בהרדמה.md,,4037.0,16mo 3c/4037i; demand protected; attorney-led rebuild.
U06,CASE-REBUILD,/decision50014-01-19/,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית,יעל ייטב;בקשה למינוי מומחה מטעם בית המשפט דוגמא;הצהרת מומחה מטעם בית המשפט;01 19;המומחה+של+המומחה,support,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית המשפט בתיק,"השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית המשפט בתיק: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",SKIP(case-page formula),,2296.0,16mo 34c/2296i; demand protected; attorney-led rebuild.
U07,REBUILD,/medical-malpractice-surgery/,"רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים",site:jus-tice.co.il,cluster,"רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים","רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",רשלנות-רפואית-בניתוח.md,/surgical-errors-medical-malpractice/,1443.0,16mo 0c/1443i; demand protected; attorney-led rebuild.
U08,CASE-REBUILD,/decision55016-06-17a/,"השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית",אורית ליפשיץ;השופטת אורית ליפשיץ;אורית ליפשיץ שופטת;איך תובעים רופא שניים;בית נר למצבה מחיר,support,"השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית בטיפול שיניים","השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית בטיפול שיניים: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",SKIP(case-page formula),,1409.0,16mo 14c/1409i; demand protected; attorney-led rebuild.
U09,REBUILD,/medical-malpractice-lawyer-birth-recommended/,עורך דין רשלנות רפואית בלידה מומלץ,,cluster,"עורך דין רשלנות רפואית בלידה מומלץ: שירותים, הליך ובחירת","עורך דין רשלנות רפואית בלידה מומלץ: שירותים, הליך ובחירת: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",עורך-דין-רשלנות-רפואית-בלידה-מומלץ.md,,1020.0,16mo 0c/1020i; demand protected; attorney-led rebuild.
U10,REBUILD,/medical-malpractice-lawyers-law-medical-israel/,עורכי דין מובילים בתחום רשלנות רפואית בעולם,דיני נזיקין רשלנות רפואית,cluster,"עורכי דין מובילים בתחום רשלנות רפואית בעולם: שירותים, הליך","עורכי דין מובילים בתחום רשלנות רפואית בעולם: שירותים, הליך: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",עורכי-דין-רשלנות-רפואית-מובילים.md,,979.0,16mo 0c/979i; demand protected; attorney-led rebuild.
