"review_id","page_id","path_or_scope","topic_group","privacy_risk","source_anchors","allowed_after_review","claims_or_actions_blocked","required_reviewer_decision","owner_decision_status","legal_review_status","medical_review_status","privacy_review_status","gsc_dependency","upload_status","next_step"
"MEDMAL-SRC-REVIEW-001","MEDMAL-META-001","/medical-malpractice-lawyer/","commercial pillar","HIGH","Ministry of Health malpractice page; Kol Zchut definition; Kol Zchut claim overview; Patient Rights Law PDF","General claim-review explanation; records checklist; lawyer consultation questions; cautious expert-review framing","Guaranteed compensation; best/top/recommended lawyer claims; precise deadlines; medical diagnosis advice; final malpractice conclusions","Approve authoritative CMS record and approve current-URL rewrite scope","PENDING_OWNER_DECISION","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","FOCUSED_GSC_REQUIRED","NOT_APPROVED_FOR_UPLOAD","Resolve duplicate CMS IDs 11607 and 1130 before any content or metadata update"
"MEDMAL-SRC-REVIEW-002","MEDMAL-META-002","/articles/%D7%A9%D7%9B%D7%A8-%D7%98%D7%A8%D7%97%D7%94-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA/","fee and cost support","MEDIUM","Kol Zchut claim overview; State Comptroller report; owner GSC evidence","General cost components; expert review and records-cost framing; support link to pillar after approval","Fixed fees; no-risk promises; guaranteed results; outdated or unsourced fee tables","Approve support role or merge-later role after GSC/source review","PENDING_OWNER_DECISION","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","FOCUSED_GSC_REQUIRED","NOT_APPROVED_FOR_UPLOAD","Protect current URL and compare against pillar before rewrite or merge decision"
"MEDMAL-SRC-REVIEW-003","MEDMAL-META-003","/what-is-medical-malpractice-definition-examples/","definition support","MEDIUM","Kol Zchut definition; Kol Zchut claim overview; Ministry of Health malpractice page","Concept definitions and cautious examples as informational support","Final legal tests; unsupported examples; duplicate commercial-pillar positioning","Confirm informational support role and non-duplication with pillar","PENDING_OWNER_DECISION","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","FOCUSED_GSC_REQUIRED","NOT_APPROVED_FOR_UPLOAD","Review examples and title intent before CMS update"
"MEDMAL-SRC-REVIEW-004","MEDMAL-META-004","/medical-malpractice-common-errors-doctors-hospitals/","common errors support","HIGH","Ministry of Health malpractice page; Kol Zchut claim overview; Patient Rights Law PDF","Warning-sign framing; records checklist; professional-review language","Claiming common errors prove malpractice; medical advice; unsupported hospital or system claims","Approve expand or merge decision after source/legal review","PENDING_OWNER_DECISION","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","FOCUSED_GSC_REQUIRED","NOT_APPROVED_FOR_UPLOAD","Expand only if reviewer confirms unique support value"
"MEDMAL-SRC-REVIEW-005","MEDMAL-META-005","/medical-malpractice-vs-negligence-differences-israel/","comparison support","MEDIUM","Kol Zchut definition; Kol Zchut claim overview; Ministry of Health malpractice page","High-level distinction between negligence poor outcome complication and claim review","Final legal tests; procedural conclusions; duplicate definition or pillar language","Confirm comparison support role and approved terminology","PENDING_OWNER_DECISION","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","FOCUSED_GSC_REQUIRED","NOT_APPROVED_FOR_UPLOAD","Review legal terminology before CMS update"
"MEDMAL-SRC-REVIEW-006","MEDMAL-META-006","/anesthesia-medical-malpractice/","anesthesia support","HIGH","Ministry of Health malpractice page; Ministry of Health second-opinion page; Patient Rights Law PDF","Cautious preparation questions; records; chronology; expert-review framing","Surgical or anesthesia risk advice; claim that complication equals negligence; medical diagnosis","Approve anesthesia support scope and safe cross-links","PENDING_OWNER_DECISION","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","FOCUSED_GSC_REQUIRED","NOT_APPROVED_FOR_UPLOAD","Confirm support role and source boundaries before CMS update"
"MEDMAL-SRC-REVIEW-007","MEDMAL-META-007","/surgical-errors-medical-malpractice/","surgery support","HIGH","Ministry of Health malpractice page; Ministry of Health second-opinion page; Patient Rights Law PDF","Surgery support framing with records timeline consent and expert-review questions","Medical-risk guidance; causation claims; nested URL migration; duplicate surgery pillar","Approve expand hold or merge-later decision","PENDING_OWNER_DECISION","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","FOCUSED_GSC_REQUIRED","NOT_APPROVED_FOR_UPLOAD","Expand or hold after source/legal review and nested surgery URL strategy"
"MEDMAL-SRC-REVIEW-008","MEDMAL-META-008","/birth-injury/","birth injury parent support","VERY_HIGH","Ministry of Health malpractice page; Kol Zchut claim overview; second-opinion page; Patient Rights Law PDF","Parent support framing for records timeline neonatal pregnancy and delivery review questions","Causation claims; implying poor outcome means malpractice; overstatement of birth-injury causes","Approve parent support role and sensitive wording boundaries","PENDING_OWNER_DECISION","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","FOCUSED_GSC_REQUIRED","NOT_APPROVED_FOR_UPLOAD","Compare with protected birth/pregnancy asset before CMS update"
"MEDMAL-SRC-REVIEW-009","MEDMAL-META-009","old Hebrew birth/pregnancy page ID 11834","protected birth and pregnancy asset","VERY_HIGH","Ministry of Health malpractice page; Kol Zchut claim overview; Patient Rights Law PDF; owner GSC evidence","Protect current asset; compare split and merge roles; review privacy and sensitive causation wording","Early redirect/noindex/canonical; duplicate birth-malpractice or pregnancy-malpractice pages; top/recommended trust claims","Approve split merge rewrite hold or protect-only decision","PENDING_OWNER_DECISION","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","FOCUSED_GSC_REQUIRED","NOT_APPROVED_FOR_UPLOAD","Do side-by-side split/merge review before any migration or rewrite"
"MEDMAL-SRC-REVIEW-010","CLUSTER-GATE","cluster-wide privacy and lead-form gate","privacy secure intake schema reviews","VERY_HIGH","Patient Rights Law PDF; Ministry of Health medical-record inspection PDF; second-opinion page; Kol Zchut claim overview","Visible disclaimer; secure-intake requirement before asking for sensitive health details; no public health details","Unsecured medical-file upload; public testimonials exposing health details; review/rating schema; fake trust signals","Approve privacy and disclaimer posture before any CMS or lead-form execution","PENDING_OWNER_DECISION","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","APPLIES_TO_ALL_PAGES","NOT_APPROVED_FOR_UPLOAD","Add reviewer-approved disclaimer and secure-intake rules before public execution"
