query,clicks_12m,impressions_12m,ctr_12m,position_12m,ranking_page_count,top_page,top_page_clicks,competing_pages,cannibalization_flag,branded_flag,money_keyword_flag
אחוז הגירושין בישראל 2025,56,842,6.65%,3.6,3,https://jus-tice.co.il/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%A2%D7%93%D7%9B%D7%A0%D7%99-%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F/,56,https://jus-tice.co.il/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%A2%D7%93%D7%9B%D7%A0%D7%99-%D7%9C%D7%94%D7%A1%D7%9B%D7%9D-%D7%9E%D7%9E%D7%95%D7%9F/ | https://jus-tice.co.il/divorce-costs-2025/,TRUE,FALSE,FALSE
הלכת אלקצאצי,32,184,17.39%,2.4,1,https://jus-tice.co.il/psakdin/%D7%94%D7%9C%D7%9B%D7%AA-%D7%90%D7%9C%D7%A7%D7%A6%D7%90%D7%A6%D7%99-%D7%9E%D7%A9%D7%9A-%D7%94%D7%94%D7%9E%D7%AA%D7%A0%D7%94-%D7%9E%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%9C%D7%99%D7%9A-%D7%A4%D7%A9/,32,,FALSE,FALSE,FALSE
הסכם גירושין ללא עורך דין להורדה,32,821,3.90%,5.8,2,https://jus-tice.co.il/free-divorce-agreement-template/,32,https://jus-tice.co.il/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,TRUE,FALSE,TRUE
חוזה שכירות סטנדרטי 2025,29,492,5.89%,12.0,3,https://jus-tice.co.il/online-rent-agreement/,29,https://jus-tice.co.il/articles/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-2025-%D7%9E%D7%94-%D7%97%D7%A9%D7%95%D7%91-%D7%9C%D7%9B%D7%9C%D7%95%D7%9C-%D7%91%D7%97%D7%95%D7%96%D7%94-%D7%9E%D7%95%D7%9C-%D7%A7%D7%91%D7%9C%D7%9F-%D7%91%D7%A8%D7%9B/ | https://jus-tice.co.il/rental-agreement/,TRUE,FALSE,FALSE
נוטריון ישראלי בניו יורק,27,192,14.06%,4.8,3,https://jus-tice.co.il/notary-public-new-york/,26,https://jus-tice.co.il/international-notaries/ | https://jus-tice.co.il/new-jersey-lawyers/,TRUE,FALSE,FALSE
תעודת יושר pdf,23,528,4.36%,6.1,2,https://jus-tice.co.il/,12,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,TRUE,FALSE,FALSE
איתן בייקר עורך דין,22,212,10.38%,4.5,2,https://jus-tice.co.il/baker-mckenzie/,22,https://jus-tice.co.il/find-lawyer/,TRUE,FALSE,TRUE
חיפוש עורך דין לפי שם,22,4658,0.47%,11.6,4,https://jus-tice.co.il/,21,https://jus-tice.co.il/articles/%D7%90%D7%99%D7%AA%D7%95%D7%A8-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9E%D7%A6%D7%99%D7%90%D7%AA-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9E%D7%95%D7%A1%D7%9E%D7%9A-%D7%A7%D7%A8/ | https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/ | https://jus-tice.co.il/find-lawyer/,TRUE,FALSE,TRUE
אביגיל ון קרפלד,21,308,6.82%,5.3,1,https://jus-tice.co.il/%D7%92%D7%99%D7%9C%D7%95%D7%99-%D7%A0%D7%90%D7%95%D7%AA-%D7%97%D7%A1%D7%A8-%D7%A9%D7%A0%D7%A2%D7%A9%D7%94-%D7%91%D7%A2%D7%A1%D7%A7%D7%AA-%D7%9E%D7%9B%D7%A8-%D7%91%D7%A8%D7%A9%D7%AA-%D7%94%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98/,21,,FALSE,FALSE,FALSE
כמה מרוויח עורך דין פלילי,21,422,4.98%,4.0,3,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A9%D7%9B%D7%A8-%D7%9B%D7%9E%D7%94-%D7%9E%D7%A8%D7%95%D7%95%D7%99%D7%97-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C/,20,https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/ | https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,TRUE,FALSE,TRUE
