section,claim_or_content_need,source_type,source_url,verification_status,publication_action,notes
יישוב סכסוך,הליך יישוב סכסוך ופגישות מהו"ת לפני תביעות משפחה,official_gov,https://www.gov.il/he/service/asking_for_family_dispute_settlements,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Found in web search; PowerShell direct check returned 403 from gov.il. Confirm in browser before final citation."
יישוב סכסוך,פתיחת תיק ליישוב סכסוך בבית הדין הרבני ותקופת עיכוב הליכים,official_gov,https://www.gov.il/he/service/opening-a-dispute-resolution-case,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Found in web search; PowerShell direct check returned 403 from gov.il. Use only for rabbinical-court procedural context."
תביעות משפחה,אפשרות להגיש תביעות משפחה לאחר סיום/מיצוי הליך יישוב סכסוך,official_gov,https://www.gov.il/he/service/filing-lawsuit-family-dispute,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Found in web search; PowerShell direct check returned 403 from gov.il. Check current filing conditions and required forms."
הסכם גירושין,בקשה לאישור הסכם בין בני זוג בבית המשפט לענייני משפחה,official_gov,https://www.gov.il/he/service/couple-family-agreement,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Found in web search; PowerShell direct check returned 403 from gov.il. Use for agreement approval section."
גירושין בהסכמה,בקשה לגירושין בהסכמה ואישור הסכם בבית הדין הרבני,official_gov,https://www.gov.il/he/service/request-divorce-by-consent,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Found in web search; PowerShell direct check returned 403 from gov.il. Do not imply this covers every divorce path."
יחידות סיוע,יחידות הסיוע ליד בתי המשפט ובתי הדין ותפקידן בהליך משפחה,official_gov,https://www.gov.il/he/Departments/units/molsa-court-assiatance-units,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Found in web search; PowerShell direct check returned 403 from gov.il. Useful for explaining support/MAHUT context."
איזון משאבים,הסדר איזון משאבים וחלוקת רכוש בין בני זוג,legal_rights_reference,https://www.kolzchut.org.il/he/%D7%94%D7%A1%D7%93%D7%A8_%D7%90%D7%99%D7%96%D7%95%D7%9F_%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D,VERIFIED_HTTP_200,VERIFY_CONTENT_BEFORE_PUBLICATION,"Direct PowerShell request returns 200; still requires lawyer/content review before final citation."
תביעות נלוות,מזונות ילדים חלוקת רכוש וזמני שהות כתביעות נלוות לגירושין,legal_rights_reference,https://www.kolzchut.org.il/he/%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA_%D7%A0%D7%9C%D7%95%D7%95%D7%AA_%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F_%D7%91%D7%91%D7%99%D7%AA_%D7%94%D7%9E%D7%A9%D7%A4%D7%98_%D7%9C%D7%A2%D7%A0%D7%99%D7%99%D7%A0%D7%99_%D7%9E%D7%A9%D7%A4%D7%97%D7%94,VERIFIED_HTTP_200,VERIFY_CONTENT_BEFORE_PUBLICATION,"Direct PowerShell request returns 200 after typo correction; still needs content/legal review."
סעדים דחופים,בקשות לסעדים זמניים/שמירת מצב קיים/מניעת יציאה מהארץ,official_gov,https://www.gov.il/en/service/asking_for_prohibited_steps_order,PARTIAL_SEARCH_VERIFIED,FIND_HEBREW_SOURCE_OR_APPROVE_ENGLISH,"English gov page found; PowerShell direct check returned 403 from gov.il. Prefer Hebrew source before publication."
מחירים,טווחי מחיר לעורך דין/גישור/הסכם גירושין,commercial_reference,,NOT_VERIFIED,DO_NOT_PUBLISH_NUMBERS_WITHOUT_SOURCE,"Current article avoids exact prices except general caution. Add dated source if price ranges are used."
כתובה,משמעות כתובה בגירושין,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Do not publish concrete rules without review by Maya/qualified family lawyer."
ידועים בציבור,פרידה ללא נישואין וכוונת שיתוף,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Mentioned only as separate future topic to avoid cannibalization."
הבטחות שיווקיות,Avoid claims like best/recommended/verified without evidence,editorial_policy,,VERIFIED_IN_REPO,KEEP_POLICY,"Supports ethical/legal marketing tone for lawyer mini-sites."
