"id","count","description","link","name","slug","taxonomy"
"600","0","","https://jus-tice.co.il/tag/%d7%90%d7%95%d7%91%d7%93%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%a2%d7%91%d7%95%d7%93%d7%94/","אובדן כושר עבודה","%d7%90%d7%95%d7%91%d7%93%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%a2%d7%91%d7%95%d7%93%d7%94","post_tag"
"602","0","","http://jus-tice.co.il/tag/%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D/","אופניים","%d7%90%d7%95%d7%a4%d7%a0%d7%99%d7%99%d7%9d","post_tag"
"603","0","","http://jus-tice.co.il/tag/%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D-%D7%97%D7%A9%D7%9E%D7%9C%D7%99%D7%99%D7%9D/","אופניים חשמליים","%d7%90%d7%95%d7%a4%d7%a0%d7%99%d7%99%d7%9d-%d7%97%d7%a9%d7%9e%d7%9c%d7%99%d7%99%d7%9d","post_tag"
"547","1","","https://jus-tice.co.il/tag/%d7%91%d7%92%d7%a5-%d7%90%d7%93%d7%9c%d7%a9%d7%98%d7%99%d7%99%d7%9f/","בג""ץ אדלשטיין","%d7%91%d7%92%d7%a5-%d7%90%d7%93%d7%9c%d7%a9%d7%98%d7%99%d7%99%d7%9f","post_tag"
"529","1","","https://jus-tice.co.il/tag/%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%98%d7%99%d7%a1%d7%94/","ביטול טיסה","%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%98%d7%99%d7%a1%d7%94","post_tag"
"541","1","","https://jus-tice.co.il/tag/%d7%94%d7%92%d7%91%d7%9c%d7%aa-%d7%9e%d7%a1%d7%a4%d7%a8-%d7%94%d7%a2%d7%95%d7%91%d7%93%d7%99%d7%9d-%d7%91%d7%9e%d7%a7%d7%95%d7%9d-%d7%a2%d7%91%d7%95%d7%93%d7%94/","הגבלת מספר העובדים במקום עבודה","%d7%94%d7%92%d7%91%d7%9c%d7%aa-%d7%9e%d7%a1%d7%a4%d7%a8-%d7%94%d7%a2%d7%95%d7%91%d7%93%d7%99%d7%9d-%d7%91%d7%9e%d7%a7%d7%95%d7%9d-%d7%a2%d7%91%d7%95%d7%93%d7%94","post_tag"
"544","1","","https://jus-tice.co.il/tag/%d7%9e%d7%a9%d7%91%d7%a8-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94/","משבר הקורונה","%d7%9e%d7%a9%d7%91%d7%a8-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94","post_tag"
"530","1","","https://jus-tice.co.il/tag/%d7%a6%d7%a8%d7%9b%d7%a0%d7%95%d7%aa/","צרכנות","%d7%a6%d7%a8%d7%9b%d7%a0%d7%95%d7%aa","post_tag"
"549","1","","https://jus-tice.co.il/tag/%d7%a9%d7%99%d7%a7%d7%99%d7%9d-%d7%9c%d7%9c%d7%90-%d7%9b%d7%99%d7%a1%d7%95%d7%99/","שיקים ללא כיסוי","%d7%a9%d7%99%d7%a7%d7%99%d7%9d-%d7%9c%d7%9c%d7%90-%d7%9b%d7%99%d7%a1%d7%95%d7%99","post_tag"
"604","0","","http://jus-tice.co.il/tag/%D7%AA%D7%90%D7%95%D7%A0%D7%AA-%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D/","תאונת אופניים","%d7%aa%d7%90%d7%95%d7%a0%d7%aa-%d7%90%d7%95%d7%a4%d7%a0%d7%99%d7%99%d7%9d","post_tag"
"528","1","","https://jus-tice.co.il/tag/%d7%aa%d7%91%d7%99%d7%a2%d7%95%d7%aa-%d7%a7%d7%98%d7%a0%d7%95%d7%aa/","תביעות קטנות","%d7%aa%d7%91%d7%99%d7%a2%d7%95%d7%aa-%d7%a7%d7%98%d7%a0%d7%95%d7%aa","post_tag"
"543","2","","https://jus-tice.co.il/tag/%d7%aa%d7%a7%d7%a0%d7%95%d7%aa-%d7%a9%d7%a2%d7%aa-%d7%97%d7%99%d7%a8%d7%95%d7%9d/","תקנות שעת חירום","%d7%aa%d7%a7%d7%a0%d7%95%d7%aa-%d7%a9%d7%a2%d7%aa-%d7%97%d7%99%d7%a8%d7%95%d7%9d","post_tag"
