step_id,stage,status,command_or_artifact,expected_result,blocked_if,next_action,public_change_boundary
GSC-OWNER-001,Credential storage,BLOCKED_OWNER_ACTION,"Save OAuth Desktop client JSON outside Git","OAuth client exists at a local untracked path","Credential JSON is missing committed pasted into docs or stored under tracked repo files","Save to C:\Users\janana\Documents\jus-tice-secrets\gsc-oauth-client.json","No public website change approved"
GSC-OWNER-002,Token storage,BLOCKED_OWNER_ACTION,"Reserve local token path outside Git","Token can be created/refreshed outside the repo","Token path is inside tracked repo files or token is committed","Use C:\Users\janana\Documents\jus-tice-secrets\gsc-token.json","No public website change approved"
GSC-OWNER-003,Environment setup,BLOCKED_OWNER_ACTION,"Set GSC_OAUTH_CLIENT_PATH and GSC_TOKEN_PATH","Scripts can locate credential and token paths","Environment variables are missing or point to tracked files","Run the two $env: commands from the packet","No public website change approved"
GSC-OWNER-004,Preflight,READY_AFTER_CREDENTIAL_PATHS,".\tools\gsc\check-gsc-oauth-preflight.ps1 -RunPriorityDryRun","VERIFIED_PRECHECK_READY","Preflight returns BLOCKED_PRECHECK","Fix reported path dependency or Git-hygiene issue before OAuth","No public website change approved"
GSC-OWNER-005,Priority dry run,READY_AFTER_PREFLIGHT,".\tools\gsc\run-priority-cluster-gsc-exports.ps1 -DryRun","Dry run completes for family criminal and medical clusters","Runner scope or local dependency fails","Fix local runner issue before real export","No public website change approved"
GSC-OWNER-006,Priority export,BLOCKED_OWNER_OAUTH,".\tools\gsc\run-priority-cluster-gsc-exports.ps1","Focused GSC export folders and decision maps are generated","OAuth consent fails or Search Console property is unavailable","Approve read-only OAuth with account that has https://jus-tice.co.il/ access","Read-only API export only; no CMS or SEO setting change"
GSC-OWNER-007,Output validation,BLOCKED_UNTIL_EXPORT,".\tools\gsc\check-priority-gsc-export-output.ps1 -WriteReport","VERIFIED_EXPORT_OUTPUTS_READY_FOR_OWNER_REVIEW","Validator returns BLOCKED_EXPORT_VALIDATION","Open validator CSV and fix missing malformed or baseline-only outputs","No public website change approved"
GSC-OWNER-008,Decision-map review,BLOCKED_UNTIL_VALIDATOR_PASS,"Decision-map JSON summaries","inputMode is FOCUSED_GSC_EXPORT and finality is READY_FOR_OWNER_REVIEW_AFTER_EXPORT_VALIDATION","Summaries still use baseline cache or dashboard input","Rebuild maps from focused export folders","No public website change approved"
GSC-OWNER-009,Family repair gate,BLOCKED_UNTIL_GSC_AND_OWNER_APPROVAL,"Review Family visible repair owner worksheet and CMS rollback backup template","Owner can decide visible current-URL repair safely","No owner approval or no WordPress rollback backup","Approve or hold visible repair; capture rollback evidence before CMS work","Public repair still separately blocked until explicit approval"
GSC-OWNER-010,Upload boundary,BLOCKED_PUBLIC_ACTION,"Do not upload redirect canonical noindex sitemap taxonomy internal-link lawyer lead CRM or uPress change from this packet","Only local read-only GSC data and reports are created","Any public action is attempted from this packet","Stop and request explicit owner approval with rollback plan","Public website changes are not approved"
