step,channel,action,status,owner,notes
1,entity-data,Lock public business name,NEEDS_OWNER_CONFIRMATION,Owner,"Use consistently across website GBP LinkedIn schema and social"
2,entity-data,Decide address/service-area posture,NEEDS_OWNER_CONFIRMATION,Owner,"Do not publish private/unstaffed address; service-area may be safer if eligible"
3,entity-data,Confirm business email,NEEDS_OWNER_CONFIRMATION,Owner,"Needed for public profiles and account recovery"
4,entity-data,Approve final logo/favicon asset,NEEDS_OWNER_CONFIRMATION,Owner,"Use same asset across GBP LinkedIn and schema logo"
5,google-business-profile,Create or claim profile,BLOCKED_OWNER_ACCOUNT,Owner,"Must use business-controlled Google account"
6,google-business-profile,Set website and phone,READY_AFTER_PROFILE,Codex/Owner,"Website https://jus-tice.co.il/ phone 0525101555"
7,google-business-profile,Choose closest category,NEEDS_REVIEW,Codex/Owner,"Legal services/legal portal category selection must be accurate"
8,google-business-profile,Add service area if eligible,NEEDS_OWNER_CONFIRMATION,Owner,"Use only accurate service area"
9,google-business-profile,Add services and description,READY_AFTER_PROFILE,Codex,"No best/top/outcome guarantees"
10,linkedin,Create company page,NEEDS_OWNER_ACCOUNT,Owner/Codex,"Use professional legal portal positioning"
11,linkedin,Link back to website,READY_AFTER_PAGE,Codex,"Corroborates organization entity"
12,x-twitter,Decide whether to create,OPTIONAL_OWNER_DECISION,Owner,"Do not create abandoned profiles"
13,facebook,Decide whether to create,OPTIONAL_OWNER_DECISION,Owner,"Useful for Israeli audience if maintained"
14,youtube,Decide whether to create later,OPTIONAL_LATER,Owner,"Only when short legal explainer content is approved"
15,website,Create editorial policy page,PLANNED,Codex,"Supports E-E-A-T and reviewer process"
16,website,Create verified Ben author/entity page,BLOCKED_OWNER_DATA,Owner/Codex,"Needs bar/license external profiles headshot bio"
17,website,Enrich Maya profile,PLANNED,Codex/Owner,"Needs external links and factual credentials"
18,schema,Prepare Organization sameAs list,WAIT_FOR_LIVE_PROFILES,Codex,"Do not output before profiles are live"
19,schema,Deploy sameAs in Organization schema,WAIT_FOR_APPROVAL,Codex,"Requires PR review and validation"
20,qa,Run Rich Results/schema validation,WAIT_FOR_SCHEMA_CHANGE,Codex,"Verify after sameAs deployment"
