journey,priority,path,role,status,initialHttp,http,redirectLocation,bytes,links,title,h1,canonical,robots,finalUrl,issues
"user","critical","/","homepage lead entry","PASS","200","200","","127090","165","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","עורכי דין בישראל — מאגר עורכי דין, מאמרים משפטיים ומדריכים מקצועיים","https://jus-tice.co.il/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/",""
"googlebot","critical","/site-map/","dynamic crawl hub","REVIEW","301","200","https://jus-tice.co.il","127090","165","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","עורכי דין בישראל — מאגר עורכי דין, מאמרים משפטיים ומדריכים מקצועיים","https://jus-tice.co.il/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/","initial_redirect_301_to_/;final_path_/_expected_/site-map/"
"googlebot","critical","/articles/","article discovery hub","PASS","200","200","","128448","206","מאמרים משפטיים לפי הבעיה שלכם | Jus-Tice","מדריכים משפטיים לפי הבעיה שלכם","https://jus-tice.co.il/articles/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/articles/",""
"user","critical","/family-law/","family law practice page","PASS","200","200","","108746","109","דיני משפחה וגירושין | עורך דין לענייני משפחה | Jus-Tice","דיני משפחה","https://jus-tice.co.il/family-law/","index, follow, max-image-preview:large","https://jus-tice.co.il/family-law/",""
"lawyer","high","/lawyers/?area=family-law","family lawyer directory filter","PASS","200","200","","60478","70","עורך דין דיני משפחה | מצאו עורך דין מתאים","עורך דין דיני משפחה","","noindex,follow|noindex, follow","https://jus-tice.co.il/lawyers/?area=family-law",""
"user","critical","/medical-malpractice-lawyer/","medical malpractice commercial path","REVIEW","301","200","https://jus-tice.co.il","127090","165","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","עורכי דין בישראל — מאגר עורכי דין, מאמרים משפטיים ומדריכים מקצועיים","https://jus-tice.co.il/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/","initial_redirect_301_to_/;final_path_/_expected_/medical-malpractice-lawyer/"
"user","critical","/real-estate-lawyer-guide/","real estate lawyer guide recovery path","REVIEW","301","200","https://jus-tice.co.il","127090","165","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","עורכי דין בישראל — מאגר עורכי דין, מאמרים משפטיים ומדריכים מקצועיים","https://jus-tice.co.il/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/","initial_redirect_301_to_/;final_path_/_expected_/real-estate-lawyer-guide/"
"user","critical","/criminal-defense-attorney/","criminal lawyer commercial path","PASS","200","200","","92428","110","עורך דין פלילי: חקירה, מעצר, כתב אישום וייצוג | Jus-Tice","עורך דין פלילי: חקירה, מעצר, כתב אישום וייצוג","https://jus-tice.co.il/criminal-defense-attorney/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/criminal-defense-attorney/",""
"user","critical","/traffic-lawyer/","traffic lawyer commercial path","PASS","200","200","","82528","91","עורך דין תעבורה: שלילה, נקודות, נהיגה בשכרות וקנסות | Jus-Tice","עורך דין תעבורה: שלילה, נקודות, נהיגה בשכרות וקנסות","https://jus-tice.co.il/traffic-lawyer/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/traffic-lawyer/",""
"user","critical","/inheritance-lawyer/","inheritance and wills lawyer commercial path","REVIEW","301","200","https://jus-tice.co.il","127090","165","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","עורכי דין בישראל — מאגר עורכי דין, מאמרים משפטיים ומדריכים מקצועיים","https://jus-tice.co.il/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/","initial_redirect_301_to_/;final_path_/_expected_/inheritance-lawyer/;h1_missing_any:עורך דין ירושה"
"user","high","/contact/","legacy contact path","REVIEW","301","200","https://jus-tice.co.il","127090","165","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","עורכי דין בישראל — מאגר עורכי דין, מאמרים משפטיים ומדריכים מקצועיים","https://jus-tice.co.il/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/","initial_redirect_301_to_/;final_path_/_expected_/contact/"
"user","medium","/about/","trust/about path","REVIEW","301","200","https://jus-tice.co.il","127090","165","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","עורכי דין בישראל — מאגר עורכי דין, מאמרים משפטיים ומדריכים מקצועיים","https://jus-tice.co.il/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/","initial_redirect_301_to_/;final_path_/_expected_/about/"
