"taxonomy","term_id","name","current_slug","count","canonical_cluster","proposed_english_slug","duplicate_name_group","recommended_action","notes"
"category","699","Practice Areas","practice-areas","0","needs-classification","practice-areas","practice areas","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","1","Uncategorized","uncategorized","0","needs-classification","uncategorized","uncategorized","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","556","בג""צ","%d7%91%d7%92%d7%a6","3","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","בג צ","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","638","בדיקה 30/07/2021","%d7%91%d7%93%d7%99%d7%a7%d7%94-30-07-2021","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","בדיקה 30 07 2021","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","551","בית הדין לעבודה","%d7%91%d7%99%d7%aa-%d7%94%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%91%d7%95%d7%93%d7%94","5","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","בית הדין לעבודה","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","563","בריאות","%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa","4","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","בריאות","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","561","דחיית מועדים","%d7%93%d7%97%d7%99%d7%99%d7%aa-%d7%9e%d7%95%d7%a2%d7%93%d7%99%d7%9d","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","דחיית מועדים","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","558","הנחיות לציבור","%d7%94%d7%a0%d7%97%d7%99%d7%95%d7%aa-%d7%9c%d7%a6%d7%99%d7%91%d7%95%d7%a8","13","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","הנחיות לציבור","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","560","הקלות","%d7%94%d7%a7%d7%9c%d7%95%d7%aa","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","הקלות","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","505","חדשות","news","7","needs-classification","news","חדשות","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","533","חקיקת חירום קורונה","%d7%97%d7%a7%d7%99%d7%a7%d7%aa-%d7%97%d7%99%d7%a8%d7%95%d7%9d-%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94","13","outdated-corona-legacy","NEEDS_ENGLISH_SLUG_REVIEW","חקיקת חירום קורונה","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","557","כנסת","%d7%9b%d7%a0%d7%a1%d7%aa","2","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","כנסת","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","562","מענקים","%d7%9e%d7%a2%d7%a0%d7%a7%d7%99%d7%9d","1","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","מענקים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","539","מעסיקים","employers","7","employment-law","employers","מעסיקים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","555","משבר הקורונה","%d7%9e%d7%a9%d7%91%d7%a8-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94","3","outdated-corona-legacy","NEEDS_ENGLISH_SLUG_REVIEW","משבר הקורונה","MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED;duplicate_term_name"
"category","554","עובד פרילנסר","%d7%a2%d7%95%d7%91%d7%93-%d7%a4%d7%a8%d7%99%d7%9c%d7%a0%d7%a1%d7%a8","1","employment-law","NEEDS_ENGLISH_SLUG_REVIEW","עובד פרילנסר","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","553","עצמאים","%d7%a2%d7%a6%d7%9e%d7%90%d7%99%d7%9d","1","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","עצמאים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","540","פיטורים","dismissal","4","employment-law","dismissal","פיטורים","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","526","פסיקה","%d7%a4%d7%a1%d7%99%d7%a7%d7%94","3","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","פסיקה","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"category","527","צרכנות","%d7%a6%d7%a8%d7%9b%d7%a0%d7%95%d7%aa","2","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","צרכנות","MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED;duplicate_term_name"
"category","559","תקנות","%d7%aa%d7%a7%d7%a0%d7%95%d7%aa","6","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","תקנות","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"post_tag","600","אובדן כושר עבודה","%d7%90%d7%95%d7%91%d7%93%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%a2%d7%91%d7%95%d7%93%d7%94","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","אובדן כושר עבודה","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"post_tag","602","אופניים","%d7%90%d7%95%d7%a4%d7%a0%d7%99%d7%99%d7%9d","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","אופניים","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"post_tag","603","אופניים חשמליים","%d7%90%d7%95%d7%a4%d7%a0%d7%99%d7%99%d7%9d-%d7%97%d7%a9%d7%9e%d7%9c%d7%99%d7%99%d7%9d","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","אופניים חשמליים","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"post_tag","547","בג""ץ אדלשטיין","%d7%91%d7%92%d7%a5-%d7%90%d7%93%d7%9c%d7%a9%d7%98%d7%99%d7%99%d7%9f","1","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","בג ץ אדלשטיין","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"post_tag","529","ביטול טיסה","%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%98%d7%99%d7%a1%d7%94","1","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","ביטול טיסה","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"post_tag","541","הגבלת מספר העובדים במקום עבודה","%d7%94%d7%92%d7%91%d7%9c%d7%aa-%d7%9e%d7%a1%d7%a4%d7%a8-%d7%94%d7%a2%d7%95%d7%91%d7%93%d7%99%d7%9d-%d7%91%d7%9e%d7%a7%d7%95%d7%9d-%d7%a2%d7%91%d7%95%d7%93%d7%94","1","employment-law","NEEDS_ENGLISH_SLUG_REVIEW","הגבלת מספר העובדים במקום עבודה","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"post_tag","544","משבר הקורונה","%d7%9e%d7%a9%d7%91%d7%a8-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94","1","outdated-corona-legacy","NEEDS_ENGLISH_SLUG_REVIEW","משבר הקורונה","MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED;duplicate_term_name"
"post_tag","530","צרכנות","%d7%a6%d7%a8%d7%9b%d7%a0%d7%95%d7%aa","1","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","צרכנות","MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED;duplicate_term_name"
"post_tag","549","שיקים ללא כיסוי","%d7%a9%d7%99%d7%a7%d7%99%d7%9d-%d7%9c%d7%9c%d7%90-%d7%9b%d7%99%d7%a1%d7%95%d7%99","1","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","שיקים ללא כיסוי","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"post_tag","604","תאונת אופניים","%d7%aa%d7%90%d7%95%d7%a0%d7%aa-%d7%90%d7%95%d7%a4%d7%a0%d7%99%d7%99%d7%9d","0","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","תאונת אופניים","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"post_tag","528","תביעות קטנות","%d7%aa%d7%91%d7%99%d7%a2%d7%95%d7%aa-%d7%a7%d7%98%d7%a0%d7%95%d7%aa","1","needs-classification","NEEDS_ENGLISH_SLUG_REVIEW","תביעות קטנות","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"post_tag","543","תקנות שעת חירום","%d7%aa%d7%a7%d7%a0%d7%95%d7%aa-%d7%a9%d7%a2%d7%aa-%d7%97%d7%99%d7%a8%d7%95%d7%9d","2","outdated-corona-legacy","NEEDS_ENGLISH_SLUG_REVIEW","תקנות שעת חירום","KEEP_OR_MERGE_REVIEW","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
"practice-areas","713","real-estate-law","real-estate-law","0","needs-classification","real-estate-law","real estate law","REVIEW_EMPTY_TERM","PUBLIC_REST_TERM_MAP_V1;NO_TERM_CHANGE_EXECUTED"
