"capture_id","target","object_scope","object_id","object_type","status","required_capture","operator_instruction","blocked_until","verification","next_step","notes"
"PPR-BACKUP-001","ALL_PRIORITY_TARGETS","owner_authorization","mixed","mixed","BLOCKED_PENDING_OWNER_APPROVAL","owner decision value; approved scope; approval timestamp; operator name","Do not open or save WordPress editor until owner approves a specific public action scope.","owner decision recorded","Owner decision exists and matches the allowed scope","Owner records APPROVE_H1_REPAIR_ONLY HOLD_PUBLIC_REPAIR or APPROVE_OBJECT_DECISION","No public repair is approved by this template."
"PPR-BACKUP-002","ALL_PRIORITY_TARGETS","rollback_storage_hygiene","mixed","mixed","BLOCKED_PENDING_OPERATOR","rollback storage path; sanitizer note; excluded secrets checklist","Store rollback files outside Git unless sanitized and owner-approved; never commit credentials admin cookies raw DB credentials or private client data.","safe storage location selected","Storage path and exclusions are documented","Prepare safe local/private storage before copying CMS fields","Repo may reference paths but should not contain secrets."
"PPR-BACKUP-003","/criminal-lawyer-cost/","pre_edit_article_backup","19261","articles","READY_AFTER_OWNER_APPROVAL_AND_BACKUP","object ID; object type; title; slug; permalink; status; full body; body H1 location; SEO title; meta description; canonical; robots; taxonomies; featured image; schema/FAQ fields; revision ID; checker row; screenshots","Capture full article state before removing or demoting duplicate body/content H1. Do not change slug title meta canonical robots taxonomy schema redirects or links.","owner approval plus full backup","All required fields captured before edit","After backup repair only duplicate body/content H1 then rerun live checker","Known live article CPT source."
"PPR-BACKUP-004","/plea-bargain/","pre_edit_article_backup","19279","articles","READY_AFTER_OWNER_APPROVAL_AND_BACKUP","object ID; object type; title; slug; permalink; status; full body; body H1 location; SEO title; meta description; canonical; robots; taxonomies; featured image; schema/FAQ fields; revision ID; checker row; screenshots","Capture full article state before removing or demoting duplicate body/content H1. Do not change slug title meta canonical robots taxonomy schema redirects or links.","owner approval plus full backup","All required fields captured before edit","After backup repair only duplicate body/content H1 then rerun live checker","Known live article CPT source."
"PPR-BACKUP-005","/medical-malpractice-diagnosis-errors/","related_asset_review","8271","articles","BLOCKED_OWNER_GSC_SOURCE_LEGAL_REVIEW","object ID; current URL /medical-malpractice-8271/; title; slug; body; SEO fields; canonical; robots; taxonomies; GSC evidence; source/legal decision","Compare existing diagnosis asset to planned clean draft before creating a new clean slug or redirecting anything.","focused GSC source/legal owner decision","Decision file records update existing create new or hold","If approved prepare exact CMS action packet for the chosen object","Avoid duplicate diagnosis pages."
"PPR-BACKUP-006","/joint-custody/","protected_asset_review","5405","articles","BLOCKED_PROTECTED_URL_REVIEW","object ID; current URL /joint-custody-shared-parenting/; title; slug; body; SEO fields; canonical; robots; taxonomies; GSC evidence; owner decision","Protect current URL while reviewing whether clean slug is needed. Do not create duplicate or redirect protected URL now.","focused GSC and owner decision","Protected URL remains intentionally handled and reachable","If approved prepare keep update merge or redirect action packet","Repo baseline marks current URL DO_NOT_TOUCH_HIGH_TRAFFIC_URL."
"PPR-BACKUP-007","/medication-errors-malpractice/","new_object_preflight","TBD","TBD","BLOCKED_SOURCE_LEGAL_REVIEW","source/legal approval; content type decision; planned title; slug; body source; parent/pillar links; taxonomy; SEO fields; no-equivalent evidence","Do not create public object until source/legal review and article-vs-page decision are recorded.","source/legal owner approval","Creation plan has approved object type and rollback plan","If approved prepare CMS creation packet and post-create live QA","Cleaner candidate but still YMYL blocked."
"PPR-BACKUP-008","/divorce-pension-split/","related_asset_review","19215;8252;7048;11205","page/articles","BLOCKED_CANNIBALIZATION_REVIEW","page ID 19215; article IDs 8252 7048 11205; current URLs; titles; slugs; bodies; SEO fields; GSC evidence; owner decision","Compare overlap before creating a pension clean slug. Do not duplicate property division or pension assets.","focused GSC source/legal owner decision","Decision file records update existing create new merge or hold","If approved prepare exact CMS action packet for chosen URL","High overlap with existing Family Law pension/property content."
"PPR-BACKUP-009","ALL_APPROVED_REPAIRS","post_repair_checker","mixed","mixed","BLOCKED_UNTIL_PUBLIC_REPAIR","checker command; generated CSV JSON MD paths; changed URL list; expected state","After any approved repair rerun node tools/check-priority-pages-live-readonly.mjs --reportDate=2026-05-22 and inspect outputs.","public repair completed","Checker confirms expected state or records remaining blockers","Update current-status next-actions changelog visual QA task board","Verification only; no migration action."
"PPR-BACKUP-010","ALL_PRIORITY_TARGETS","safety_freeze","mixed","mixed","BLOCKED_PUBLIC_EXECUTION","frozen fields list; excluded actions list","Do not change redirects canonical noindex slug sitemap taxonomy internal links media lawyer records lead forms CRM GSC/GA4 settings or wp-admin settings from this template alone.","specific owner approval for each public action","No unauthorized public action recorded","Keep planning packet blocked until owner approval","Repo-only worksheet."
