approval_id,target_url,clean_body_file,words,lines,current_status,risk_level,approval_decision_needed,minimum_review_focus,approved_for_upload,next_step,notes
FD-W1B-APP-001,/consensual-divorce/,content-drafts/consensual-divorce-public-body-he.md,1875,79,CMS_CLEAN_BODY_READY,MEDIUM,Approve edit or hold public body,Agreement approval process template-safety disclaimer CTA support-link boundaries,NO,Owner/legal/source review,Do not publish before /divorce-lawyer/ scope decision unless owner explicitly approves support-first upload
FD-W1B-APP-002,/divorce-mediation/,content-drafts/divorce-mediation-public-body-he.md,2059,77,CMS_CLEAN_BODY_READY,MEDIUM,Approve edit or hold public body,Mediation suitability cost/speed caution lawyer/mediator role boundary protected DOCX relationship,NO,Owner/legal/source review,Do not overpromise savings speed or suitability
FD-W1B-APP-003,/divorce-property-division/,content-drafts/divorce-property-division-public-body-he.md,1874,89,CMS_CLEAN_BODY_READY,HIGH,Approve edit or hold public body,Property debt pension business hidden-asset and entitlement language source/legal caution,NO,Owner/legal/source review,No entitlement guarantee and no asset-specific advice without review
FD-W1B-APP-004,/family-dispute-resolution/,content-drafts/family-dispute-resolution-public-body-he.md,1992,87,CMS_CLEAN_BODY_READY,MEDIUM_HIGH,Approve edit or hold public body,Procedure freshness MHUT urgent-case exceptions and what-not-to-file language,NO,Owner/legal/source review,Needs freshness/source check before public upload
FD-W1B-APP-005,/child-support/,content-drafts/child-support-public-body-he.md,1729,49,CMS_CLEAN_BODY_READY,HIGH,Approve edit or hold public body,919/15 age split calculator boundary no fixed amount no formula promise child expenses,NO,Owner/legal/source review,Calculator and case-law assets remain protected
FD-W1B-APP-006,/child-custody/,content-drafts/child-custody-public-body-he.md,1693,54,CMS_CLEAN_BODY_READY,HIGH,Approve edit or hold public body,Child safety terminology parenting-time responsibility urgent-risk relocation and protected custody assets,NO,Owner/legal/source review,Protect old custody article PDF and case-law assets
FD-W1B-APP-007,BATCH,All six Wave 1B support bodies,11222,435,APPROVAL_PACKAGE_CREATED,HIGH,Choose support-page upload scope,Approve all six approve only lower-risk pages or hold until pillar upload,NO,Owner chooses Wave 1B scope,Recommended default is approve copy for review but upload after /divorce-lawyer/
FD-W1B-APP-008,BATCH,All six Wave 1B support bodies,11222,435,SCAN_VERIFIED,MEDIUM,Confirm clean-body scan acceptance,No TODO TBD internal notes Maya LegalTech fake ratings fake trust labels or guaranteed-result language,NO,Keep scan evidence with package,Strict scan passed on 2026-05-12
FD-W1B-APP-009,BATCH,All six Wave 1B support bodies,11222,435,LINKS_VERIFIED,MEDIUM,Confirm internal link posture,Each support body contains six approved Family/Divorce related paths and no future unapproved hub/ranking/trust URLs,NO,Recheck after CMS import,Link presence is draft-level only
FD-W1B-APP-010,BATCH,All six Wave 1B support bodies,11222,435,UPLOAD_BLOCKED,HIGH,Decide upload timing,Wave 1B after /divorce-lawyer/ or selected lower-risk pages first,NO,Owner decision required,No public upload approved by this package
FD-W1B-APP-011,BATCH,All six Wave 1B support bodies,11222,435,METADATA_BLOCKED,MEDIUM,Approve title H1 meta plan after body approval,No title H1 meta schema or slug changes before approval,NO,Prepare metadata package only after approval,Keep URLs stable for now
FD-W1B-APP-012,BATCH,All six Wave 1B support bodies,11222,435,TAXONOMY_BLOCKED,MEDIUM,Approve practice-area assignments,Use existing practice-areas family-law divorce child-support child-custody only,NO,Verify after draft import or upload,No category/term edits now
FD-W1B-APP-013,BATCH,All six Wave 1B support bodies,11222,435,PROTECTED_ASSETS_BLOCKED,HIGH,Confirm protected old assets remain live,PDF DOCX calculator old custody article custody PDF case-law pages stay live and unmodified,NO,Verify after upload,No redirect noindex deletion canonical or sitemap removal now
FD-W1B-APP-014,BATCH,All six Wave 1B support bodies,11222,435,GSC_BLOCKED,MEDIUM_HIGH,Run GSC API export before URL actions,Page/query/export for protected old URLs and new clean URLs after setup,NO,Owner sets up API credentials,API not needed to approve copy but needed before URL migration
FD-W1B-APP-015,BATCH,All six Wave 1B support bodies,11222,435,QA_BLOCKED,HIGH,Run preview/public QA after approved upload,Check 200 status canonical indexability mobile desktop related links protected assets broken links and 404s,NO,Use controlled QA package after approval,No preview/public upload exists yet
FD-W1B-APP-016,BATCH,All six Wave 1B support bodies,11222,435,OWNER_DECISION_BLOCKED,HIGH,Record owner decision,Approve all edit selected hold selected or upload only pillar first,NO,Owner/legal/source review,This is the next practical decision gate
