anchor_text,target_url,current_live_final_url,url_status,recommended_homepage_slot,cluster,role,gsc_or_inventory_signal,risk,recommended_action,status,notes
"עורכי דין","https://jus-tice.co.il/lawyers/","https://jus-tice.co.il/lawyers/","SAFE_200","Hero CTA / directory block","lawyer-directory","directory","/lawyers/ GSC reverse check had no visible rows; homepage currently owns broad intent","MEDIUM","Strengthen carefully with real profiles and index rules","PROPOSED_NEEDS_OWNER_APPROVAL","Do not add fake ratings or badges."
"עורך דין גירושין","https://jus-tice.co.il/divorce-lawyer/","https://jus-tice.co.il/divorce-lawyer/","SAFE_200","Curated major hubs","family-law-divorce","pillar_candidate","Clean slug exists; old Hebrew divorce URL has high GSC risk","HIGH","Use clean link only after old/new comparison remains protected","PROPOSED_NEEDS_OWNER_APPROVAL","No redirect or merge implied."
"דיני משפחה","https://jus-tice.co.il/family-law/","https://jus-tice.co.il/family-law/","SAFE_FALLBACK","Curated major hubs","family-law","hub","/family-lawyer/ resolves to homepage","MEDIUM","Use /family-law/ until /family-lawyer/ is approved","PROPOSED_NEEDS_OWNER_APPROVAL","Avoid linking to homepage-resolving clean slug."
"משפט פלילי","https://jus-tice.co.il/criminal-law/","https://jus-tice.co.il/criminal-law/","SAFE_FALLBACK","Curated major hubs","criminal-law","hub_or_support","/criminal-lawyer/ resolves to homepage; old criminal URLs have GSC signals","HIGH","Use /criminal-law/ until /criminal-lawyer/ content/URL plan is approved","PROPOSED_NEEDS_OWNER_APPROVAL","No criminal pillar URL change implied."
"עורך דין מקרקעין","https://jus-tice.co.il/real-estate-lawyer/","https://jus-tice.co.il/real-estate-lawyer/","SAFE_200","Curated major hubs","real-estate","pillar_candidate","Clean URL returns 200; cost page remains valuable support","MEDIUM","Use as homepage hub candidate after owner approval","PROPOSED_NEEDS_OWNER_APPROVAL","Preserve /real-estate-lawyer-cost-2025/ as support."
"רשלנות רפואית","https://jus-tice.co.il/medical-malpractice-lawyer/","https://jus-tice.co.il/medical-malpractice-lawyer/","SAFE_200","Curated major hubs","medical-malpractice","pillar_candidate","Clean URL returns 200; old birth/pregnancy pages need protection","HIGH","Use with protected support split/merge plan","PROPOSED_NEEDS_OWNER_APPROVAL","Do not split thin duplicates blindly."
"נזיקין ותאונות","https://jus-tice.co.il/personal-injury-law/","https://jus-tice.co.il/personal-injury-law/","SAFE_FALLBACK","Curated major hubs","personal-injury","hub_or_support","/personal-injury-lawyer/ resolves to homepage","MEDIUM","Use /personal-injury-law/ or directory fallback until clean pillar is approved","PROPOSED_NEEDS_OWNER_APPROVAL","Traffic/work accident boundaries still need review."
"עורך דין תעבורה","https://jus-tice.co.il/traffic-lawyer/","https://jus-tice.co.il/traffic-lawyer/","SAFE_200","Curated major hubs","traffic-law","pillar_candidate","Clean URL returns 200 but GSC evidence remains weak/noisy","MEDIUM","Use after traffic cluster review and wrong-page cleanup plan","PROPOSED_NEEDS_OWNER_APPROVAL","Drunk-driving wrong-page issue remains separate."
"דיני עבודה","https://jus-tice.co.il/lawyers/?area=labor-law","https://jus-tice.co.il/lawyers/?area=labor-law","SAFE_FILTERED_FALLBACK","Curated major hubs","employment-law","directory_filter_until_pillar","/employment-lawyer/ resolves to homepage","MEDIUM","Use filtered directory fallback until clean pillar is approved","PROPOSED_NEEDS_OWNER_APPROVAL","Faceted-index rules needed before indexable filter promotion."
"ירושה וצוואות","https://jus-tice.co.il/lawyers/?area=inheritance-law","https://jus-tice.co.il/lawyers/?area=inheritance-law","SAFE_FILTERED_FALLBACK","Curated major hubs","inheritance-wills","directory_filter_until_pillar","/inheritance-lawyer/ resolves to homepage","MEDIUM","Use filtered directory fallback until clean pillar is approved","PROPOSED_NEEDS_OWNER_APPROVAL","Will/probate old URL risks remain."
"ביטוח לאומי","https://jus-tice.co.il/practice-areas/national-insurance/","https://jus-tice.co.il/practice-areas/national-insurance/","SAFE_200_BUT_WEAK","Future/secondary hubs","national-insurance","planned_hub","Prior GSC hub/service checks showed no visible rows","MEDIUM","Do not feature prominently until content depth is approved","PLANNED_REVIEW_ONLY","Owner packet exists; no homepage link execution."
"סייבר ופרטיות","https://jus-tice.co.il/cyber-lawyer/","https://jus-tice.co.il/cyber-lawyer/","SAFE_200_BUT_APPROVAL_GATED","Future/secondary hubs","cyber-privacy","planned_pillar_candidate","Cyber/privacy GSC and internal-link plans exist but execution is blocked","MEDIUM","Keep gated by cyber/privacy owner packet","PLANNED_REVIEW_ONLY","Do not promote as primary until owner/source/legal review."
