keyword,cluster,intent_type,observed_result_types,notable_results,official_sources_found,serp_pattern,decision_impact,recommended_primary_url,recommended_support_urls,duplicate_risk,execution_status,notes,source_refs
"עורך דין פלילי","criminal-law","commercial_service_plus_reassurance","specialist criminal defense firms; urgent service pages; lawyer profile/service landing pages; supporting procedure guides","zeliglaw.co.il; yairochayon.co.il; nativ-law.co.il; tomernave.co.il; sheves-law.co.il; adato.co.il; flanter-law.co.il","NOT VERIFIED as top organic for exact service query in this pass; official sources are better for support articles than service-page SERP competition","The broad commercial SERP is dominated by specialist lawyer/firm pages with urgent CTA, experience signals, procedure coverage, and links into investigation/arrest/indictment subtopics.","Keep /criminal-lawyer/ as the strategic pillar target, but do not create or migrate it until old Hebrew criminal-lawyer pages are compared and owner approval is recorded.","https://jus-tice.co.il/criminal-lawyer/","https://jus-tice.co.il/police-investigation/ | https://jus-tice.co.il/indictment/ | https://jus-tice.co.il/pretrial-detention/ | https://jus-tice.co.il/drug-offenses/","HIGH because old Hebrew criminal-lawyer pages and existing support pages already hold signals","REVIEW_ONLY_NO_URL_CHANGE","SERP confirms a commercial pillar is needed, but GSC still makes this a controlled migration decision, not a quick new page.","https://www.zeliglaw.co.il/ | https://www.yairochayon.co.il/ | https://www.nativ-law.co.il/ | https://www.flanter-law.co.il/"
"דין פלילי","criminal-law","informational_plus_service","law firm pages; criminal-procedure explainers; broad criminal-law service hubs","tomernave.co.il; sheves-law.co.il; flanter-law.co.il; Jus-Tice criminal-prosecutions appeared in related result sets","NOT VERIFIED official top result; should use law/gov/public sources during writing","The query is broader than hiring a lawyer and may support a criminal-law guide section or support page, but it can also cannibalize /criminal-lawyer/ if aimed at the same visitor.","Do not split into /criminal-law/ until owner decides whether it is an informational support guide or part of the /criminal-lawyer/ pillar.","https://jus-tice.co.il/criminal-lawyer/","possible /criminal-law/ only after cannibalization review; police-investigation; indictment; pretrial-detention","MEDIUM because /criminal-law/ and /criminal-lawyer/ can fight each other if both target the same broad intent","REVIEW_ONLY_NO_URL_CHANGE","Treat as a semantic support layer around the commercial pillar, not as an automatic new pillar.","https://www.tomernave.co.il/ | https://www.sheves-law.co.il/ | https://www.flanter-law.co.il/ | https://jus-tice.co.il/criminal-prosecutions/"
"חקירה במשטרה","criminal-law","rights_procedure_support","public-rights resources; police/gov references; law-firm practical guides","Kol Zchut/public-rights model; Israel Police/gov references; criminal defense firm guides","PARTIAL: gov.il/Kol Zchut style public resources surfaced in search; exact source URLs require browser verification before article drafting","Search intent is practical: what to do before/during questioning, rights, mistakes, documents, and when to call a lawyer.","Review the existing Hebrew police-investigation asset first and use /police-investigation/ only after merge/slug decision.","https://jus-tice.co.il/police-investigation/","https://jus-tice.co.il/criminal-lawyer/ | suspect-rights future support | closing-criminal-case future support","HIGH because existing Hebrew preparation-for-investigation content may already exist","REVIEW_ONLY_NO_URL_CHANGE","GSC showed no visible rows, but SERP pattern still supports a practical rights article if old content is merged rather than duplicated.","https://www.gov.il/ | https://www.kolzchut.org.il/"
"כתב אישום","criminal-law","procedure_support","official/public legal explainers; law-firm guides; general encyclopedia/reference pages; case-specific pages","gov.il result sets; din.co.il; dok.co.il; Jus-Tice criminal-prosecutions and Netanyahu indictment page signals","PARTIAL: gov.il and public legal references surfaced; exact official source list must be locked before article writing","The SERP mixes public explanation and defense-service intent. A general article should not be replaced by a specific case page.","Plan /indictment/ as a general criminal-procedure support page only after comparing existing indictment/cancellation/specific-case content.","https://jus-tice.co.il/indictment/","https://jus-tice.co.il/criminal-lawyer/ | police-investigation | pretrial-detention","HIGH because a specific Netanyahu indictment URL already gets GSC impressions for the generic term","REVIEW_ONLY_NO_URL_CHANGE","Do not treat the specific case URL as the primary general indictment article.","https://www.gov.il/ | https://www.din.co.il/articles/4211/B-21815/ | https://www.dok.co.il/after-bill-of-indictment/"
"מעצר ימים","criminal-law","urgent_procedure_support","law-firm urgent guides; public/legal reference pages; detention-rights explainers","alonerez.co.il; a-law.co.il; hamichlol.org.il; lawontheweb.co.il","PARTIAL: Knesset/gov legal materials surfaced; Kol Zchut exact page not verified in this pass","Search intent is urgent and practical: rights, hearing timing, release conditions, alternatives to detention, documents and lawyer CTA.","Use /pretrial-detention/ only after the existing old arrest/detention pages are compared and the English slug decision is approved.","https://jus-tice.co.il/pretrial-detention/","https://jus-tice.co.il/criminal-lawyer/ | police-investigation | indictment","HIGH because old detention pages may already exist and the term has several procedural sub-intents","REVIEW_ONLY_NO_URL_CHANGE","A support article is justified by SERP intent, but old-content merge review comes first.","https://www.alonerez.co.il/days-of-detention/ | https://a-law.co.il/remand-for-investigation-legal-guide/ | https://fs.knesset.gov.il/25/law/25_ls_bk_10569316.pdf"
"עבירות סמים","criminal-law","offense_specific_support","criminal defense firm service pages; offense explainers; existing Jus-Tice drug-offense page appears in SERP samples","Jus-Tice drug-offenses-criminal-lawyer; criminal defense firm pages","NOT VERIFIED official top source; legal source review needed before expansion","The query supports an offense-specific article under the criminal pillar, but Jus-Tice already has a drug-offense asset.","Do not create /drug-offenses/ as a new duplicate. First review and likely expand/migrate the existing drug-offenses-criminal-lawyer page.","https://jus-tice.co.il/drug-offenses/","https://jus-tice.co.il/criminal-lawyer/ | police-investigation | indictment","HIGH because an existing Jus-Tice drug-offenses page already appears and GSC has low-sample old/case-law signals","REVIEW_ONLY_NO_URL_CHANGE","This is a keep/expand/migrate decision, not a new article decision.","https://jus-tice.co.il/drug-offenses-criminal-lawyer/"
"עורך דין תעבורה","traffic-law","commercial_service","traffic-lawyer service pages; lawyer profiles; practice-area hubs; urgent license-saving CTA","shaviv-law.com; b-taavura.co.il; uliel.co.il; atr-law.co.il; kenig.org.il; ranraichman.com","NOT VERIFIED official top result for service query; official sources are needed for supporting articles","The broad traffic SERP is service-driven and expects traffic offense coverage, lawyer credibility, consultation CTA, and links to drunk driving, license suspension, speeding and accident topics.","Keep /traffic-lawyer/ as the primary candidate and expand it rather than creating another traffic-law pillar.","https://jus-tice.co.il/traffic-lawyer/","https://jus-tice.co.il/driving-under-the-influence/ | https://jus-tice.co.il/yanshuf-breathalyzer-test/ | https://jus-tice.co.il/speeding/ | possible /license-suspension/","MEDIUM because the clean URL exists but is thin and homepage currently appears for some traffic-lawyer intent","REVIEW_ONLY_NO_URL_CHANGE","SERP supports a fuller traffic pillar with legal-service intent and clear internal links.","https://shaviv-law.com/ | https://www.b-taavura.co.il/ | https://uliel.co.il/ | https://atr-law.co.il/"
"נהיגה בשכרות","traffic-law","offense_specific_support","dedicated law-firm drunk-driving pages; traffic lawyer guides; gov/public safety materials","sederdin.com; 24open.org; zeiadzuabi.co.il; ja-law.co.il; gov.il alcohol/driving materials","PARTIAL: gov.il safety/PDF materials surfaced; exact legal source list must be verified before writing","Search intent is specific and urgent: penalties, breathalyzer, refusal/testing issues, license risk and lawyer help.","Review and expand existing /driving-under-the-influence/ before deciding whether /drunk-driving/ is needed as a future clean slug.","https://jus-tice.co.il/driving-under-the-influence/","https://jus-tice.co.il/traffic-lawyer/ | https://jus-tice.co.il/yanshuf-breathalyzer-test/ | possible /drunk-driving/ after migration approval","HIGH because /driving-under-the-influence/ already exists and GSC currently maps drunk-driving lawyer intent to a wrong will page","REVIEW_ONLY_NO_URL_CHANGE","This is a strong support opportunity, but the first action should be existing-page review and wrong-page internal-link correction planning, not a new page.","https://www.sederdin.com/articles/drunk-driving/ | https://zeiadzuabi.co.il/%D7%A0%D7%94%D7%99%D7%92%D7%94-%D7%91%D7%A9%D7%9B%D7%A8%D7%95%D7%AA-1/ | https://www.gov.il/BlobFolder/reports/202002_alcohol/he/reports_202002_alcohol.pdf"
"פסילה מנהלית","traffic-law","procedure_support","traffic lawyer guides; license-risk service pages; legal/procedure references","dok.co.il PDF result; ranraichman.com traffic services; traffic lawyer pages","NOT VERIFIED as official source in this pass","The intent is narrower than the traffic pillar and should support /traffic-lawyer/ if enough old-content/GSC evidence exists.","Keep as possible /license-suspension/ subtopic, but do not prioritize from GSC because checked filters returned no visible rows.","https://jus-tice.co.il/license-suspension/","https://jus-tice.co.il/traffic-lawyer/ | drunk-driving | speeding","MEDIUM because license suspension can mean driver-license, professional-license, administrative or court suspension","REVIEW_ONLY_NO_URL_CHANGE","Needs stronger SERP/source review and old-content inventory comparison before a page decision.","https://www.ranraichman.com/ | https://www.dok.co.il/%D7%A4%D7%A1%D7%99%D7%9C%D7%94-%D7%9E%D7%A0%D7%94%D7%9C%D7%99%D7%AA-%D7%A9%D7%9C-%D7%A8%D7%99%D7%A9%D7%99%D7%95%D7%9F-%D7%A0%D7%94%D7%99%D7%92%D7%94-%D7%9B%D7%99%D7%A6%D7%93-%D7%9E%D7%AA%D7%9E%D7%95%D7%93%D7%93%D7%99%D7%9D/?pdf=21309"
"שלילת רישיון נהיגה","traffic-law","procedure_support","traffic lawyer guides; license suspension resources; unrelated professional-license results can appear","traffic lawyer pages; gov.il license-service pages; Ministry of Health/professional-license false matches previously observed","PARTIAL: gov.il driving-license service pages surfaced; legal traffic-specific source needs verification","The query must be separated from professional-license revocation and general driver-license services.","Treat as a possible support page only after clear driver-license intent is confirmed and internal links are mapped.","https://jus-tice.co.il/license-suspension/","https://jus-tice.co.il/traffic-lawyer/ | drunk-driving | speeding","HIGH if mixed with professional-license or general licensing content","REVIEW_ONLY_NO_URL_CHANGE","No GSC rows in checked filter; keep as review backlog, not immediate content build.","https://www.gov.il/he/service/apply_for_new_driver_drivers_license"
