cluster_id,pillar_url,total_inventory_urls,surviving_urls,KEEP-IMPROVE,REBUILD,MERGE,NOINDEX
family-divorce,https://jus-tice.co.il/divorce-everything-you-need-to-know/,328,176,13,163,8,144
miscellaneous,https://jus-tice.co.il/how-to-find-qualified-lawyer-israel-guide/,256,160,36,124,2,94
criminal,https://jus-tice.co.il/criminal-defense-attorney/,271,150,23,127,8,113
real-estate,https://jus-tice.co.il/real-estate-attorney/,158,91,15,76,5,62
torts-insurance,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,89,54,6,48,0,35
portugal,https://jus-tice.co.il/portugal/,44,39,5,34,2,3
inheritance-wills,https://jus-tice.co.il/inheritance-lawyer/,58,35,4,31,1,22
legal-system-public,https://jus-tice.co.il/court-judge/,68,34,7,27,3,31
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,49,27,2,25,4,18
commercial-civil,https://jus-tice.co.il/types-of-lawyers-small-business/,40,24,3,21,0,16
international-desks,https://jus-tice.co.il/lawyer-international/,25,22,11,11,0,3
labor-employment,https://jus-tice.co.il/labor-lawyer/,56,20,4,16,0,36
cyber-privacy,https://jus-tice.co.il/cyber-lawyer/,22,20,5,15,0,2
traffic,https://jus-tice.co.il/traffic-lawyer/,19,12,3,9,4,3
tax,https://jus-tice.co.il/tax-lawyer/,13,9,2,7,0,4
immigration-citizenship,https://jus-tice.co.il/immigration-lawyer/,11,7,3,4,0,4
debt-insolvency,https://jus-tice.co.il/insolvency/,15,4,2,2,0,11
