step_id,phase,action,required_input,pass_condition,blocked_if,live_action_allowed
LMI-01,owner_choice,Owner confirms the selected lane is lawyer subscription by manual invoice.,yes/no lane approval,Owner approves lawyer_subscription_manual_invoice as the next live-approved lane.,Owner says no or chooses wait.,NO
LMI-02,target,"Owner names one lawyer/prospect, or approves a generic one-target draft only.",target name/contact or generic draft permission,Exactly one target path is selected.,No target and no generic draft approval.,NO
LMI-03,offer,Use Pro plan as the first paid offer unless owner overrides.,plan=pro or owner override,Plan and monthly price are recorded: recommended Pro at 349 ILS per month including VAT.,No price or plan is selected.,NO
LMI-04,fit,"Check license, practice fit, public claims and no-guarantee language before any public profile activation.",license/profile fit review,Owner/admin confirms fit review can proceed for the selected target.,"Unverified identity, license or claims.",NO
LMI-05,billing,Collect or confirm billing legal name and invoice email.,"billing legal name, billing invoice email",Billing contact exists before invoice_requested/invoice_sent.,Missing billing contact.,NO
LMI-06,message,Owner approves the outreach/message text before any send.,approved message or requested edits,Owner approves or edits the Hebrew draft.,No wording approval.,NO
LMI-07,registration_path,Use the existing manual registration path for Pro plan if owner approves live action.,/lawyer-registration/?plan_interest=pro&payment_path=manual_invoice,The target can be sent to the manual invoice registration path or admin-created only after approval.,No owner approval to contact or create admin entry.,NO
LMI-08,invoice_reference,"After accepted terms, save manual invoice/payment reference.",manual_invoice_reference or manual payment link reference,Reference exists before invoice_sent.,No invoice/payment reference.,NO
LMI-09,payment_proof,Mark payment confirmed only after private payment evidence.,"payment evidence, owner note",Payment proof exists and no dispute/refund/complaint is open.,"Promise to pay, invoice only, or missing proof.",NO
LMI-10,activation,Activate or publish profile only after payment proof and content/license review.,payment proof plus content/license review,Payment confirmed and profile content approved.,"Unpaid, disputed, or unreviewed profile.",NO
