query,clicks,impressions,ctr,position,type
jus tice,1,1,100.00%,1.0,BRANDED
#justiceforatifali,0,1,0.00%,1.0,BRANDED
#justiceforatifaliqadri,0,1,0.00%,1.0,BRANDED
#justicefordeon,0,1,0.00%,2.0,BRANDED
#justiceforrishabh,0,1,0.00%,1.0,BRANDED
#justiceforrubail,0,1,0.00%,1.0,BRANDED
#justiceforshandi,0,1,0.00%,2.0,BRANDED
(filetype:pdf or filetype:doc or filetype:docx or filetype:ppt or filetype:pptx or filetype:xls or filetype:xlsx) (inurl:advocate or inurl:adv or inurl:attorney or inurl:court or inurl:justice) site:*.il,0,3,0.00%,79.3,BRANDED
claim justice israel,0,1,0.00%,38.0,BRANDED
court of justice,0,1,0.00%,4.0,BRANDED
hall of justice,0,1,0.00%,6.0,BRANDED
international court of justice isreal,0,1,0.00%,13.0,BRANDED
israel court of justice,0,1,0.00%,13.0,BRANDED
jus-tice.co.il,0,1,0.00%,1.0,BRANDED
justice,0,100,0.00%,10.7,BRANDED
justice israel,0,2,0.00%,7.0,BRANDED
justice sms,0,1,0.00%,11.0,BRANDED
justice sms מה זה,0,1,0.00%,1.0,BRANDED
justicemogged,0,1,0.00%,2.0,BRANDED
justicetale,0,1,0.00%,3.0,BRANDED
ג'סטיס,0,2,0.00%,49.5,BRANDED
רשות ניירות ערך בעלי תפקידים,4,19,21.05%,2.9,NON_BRANDED
חיפוש עורך דין לפי שם,3,595,0.50%,8.3,NON_BRANDED
ייעוץ עורך דין אונליין חינם,3,84,3.57%,11.1,NON_BRANDED
רעות קסלר,3,30,10.00%,3.4,NON_BRANDED
הסכם גירושין דוגמא doc,2,42,4.76%,11.6,NON_BRANDED
חיפוש עורכי דין,2,279,0.72%,10.1,NON_BRANDED
oui,1,1,100.00%,1.0,NON_BRANDED
איתור עורך דין,1,348,0.29%,7.2,NON_BRANDED
ארז מלמד שופט,1,1,100.00%,21.0,NON_BRANDED
אריאל ממן שופט,1,54,1.85%,8.9,NON_BRANDED
השופט אריאל ממן,1,39,2.56%,10.2,NON_BRANDED
השופטת אורית ליפשיץ,1,5,20.00%,7.8,NON_BRANDED
השופטת רונית גורביץ,1,11,9.09%,6.6,NON_BRANDED
חיפוש עורך דין,1,230,0.43%,8.2,NON_BRANDED
מאגר משפטי חינם,1,6,16.67%,29.0,NON_BRANDED
מציאת עורך דין,1,34,2.94%,7.2,NON_BRANDED
