priority_wave,cluster_id,url_count,keep_improve,rebuild,merge,noindex,entry_rule,exit_rule
1,medical-malpractice,49,2,25,4,18,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
2,criminal,60,23,37,0,0,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
3,criminal,60,0,60,0,0,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
4,criminal,60,0,30,8,22,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
5,criminal,60,0,0,0,60,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
6,criminal,31,0,0,0,31,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
7,family-divorce,60,13,47,0,0,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
8,family-divorce,60,0,60,0,0,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
9,family-divorce,60,0,56,4,0,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
10,family-divorce,60,0,0,4,56,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
11,family-divorce,60,0,0,0,60,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
12,family-divorce,28,0,0,0,28,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
13,real-estate,60,15,45,0,0,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
14,real-estate,60,0,31,5,24,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
15,real-estate,38,0,0,0,38,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
16,traffic,19,3,9,4,3,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
17,inheritance-wills,58,4,31,1,22,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
18,torts-insurance,60,6,48,0,6,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
19,torts-insurance,29,0,0,0,29,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
20,labor-employment,56,4,16,0,36,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
21,portugal,44,5,34,2,3,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
22,immigration-citizenship,11,3,4,0,4,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
23,debt-insolvency,15,2,2,0,11,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
24,commercial-civil,40,3,21,0,16,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
25,tax,13,2,7,0,4,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
26,cyber-privacy,22,5,15,0,2,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
27,legal-system-public,60,7,27,3,23,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
28,legal-system-public,8,0,0,0,8,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
29,international-desks,25,11,11,0,3,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
30,miscellaneous,60,36,24,0,0,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
31,miscellaneous,60,0,60,0,0,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
32,miscellaneous,60,0,40,2,18,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
33,miscellaneous,60,0,0,0,60,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
34,miscellaneous,16,0,0,0,16,Previous wave stable 21 days; redirect and crawl QA complete,No coverage errors; winner impressions stable/up; no >20% protected-page loss
