"gate_id","stage","status","scope","required_evidence","approval_state","blocked_until","next_step","public_change_boundary"
"GOV-001","Cluster selection","REQUIRED","all_priority_clusters","Exactly one active cluster is named before work starts","NOT_APPROVED_FOR_PUBLIC_UPLOAD","Owner/operator selects the active cluster","Use Family/Divorce first unless owner changes priority","No public change"
"GOV-002","Existing URL inventory","REQUIRED","selected_cluster","Current URLs, old Hebrew URLs, media/docs and CMS identities listed","NOT_APPROVED_FOR_PUBLIC_UPLOAD","Inventory is complete and reviewed","Compare target rows against existing CMS/public URLs","No public change"
"GOV-003","Strong-page protection","REQUIRED","selected_cluster","GSC evidence, source evidence or owner judgment for protected pages/assets","NOT_APPROVED_FOR_PUBLIC_UPLOAD","Strong pages/assets are marked keep, improve, merge or hold","Protect strong existing URLs and document assets before upload decisions","No public change"
"GOV-004","Draft body readiness","REQUIRED","selected_cluster","One draft target per current URL or explicitly approved new page","NOT_APPROVED_FOR_PUBLIC_UPLOAD","Draft scope is complete and mapped","Confirm no duplicate intent pages are being created","No public change"
"GOV-005","Metadata readiness","REQUIRED","selected_cluster","H1, title, meta, breadcrumb, schema, robots and page role recorded","NOT_APPROVED_FOR_PUBLIC_UPLOAD","Metadata package is complete","Review uniqueness and hierarchy before owner approval","No public change"
"GOV-006","Source/legal review","REQUIRED","selected_cluster","Owner/legal/source worksheet has approve, edit, hold or legal-review decision","NOT_APPROVED_FOR_PUBLIC_UPLOAD","Every row has an owner/legal/source decision","Resolve EDIT_REQUIRED, HOLD and LEGAL_REVIEW_REQUIRED rows","No public change"
"GOV-007","Focused GSC evidence","REQUIRED","selected_cluster","Priority export validator passes or owner explicitly accepts manual substitute","NOT_APPROVED_FOR_PUBLIC_UPLOAD","GSC export or approved substitute is available","Run GSC priority export after OAuth setup and validate outputs","No public change"
"GOV-008","WordPress rollback backup","REQUIRED","selected_cluster","Actual pre-edit CMS body, metadata, screenshots and rollback notes captured","NOT_APPROVED_FOR_PUBLIC_UPLOAD","Rollback material exists for every approved current URL","Capture backup immediately before any editor save","No public change"
"GOV-009","Public execution boundary","REQUIRED","selected_cluster","Owner confirms exact allowed action class","LIMITED_BY_OWNER_DECISION","Owner approves visible repair, current-URL update or migration","Record allowed and blocked actions in owner packet","Only exact approved action class"
"GOV-010","Current-URL CMS update","CONDITIONAL","selected_cluster","Approved rows map to current URLs and do not create duplicate clean slugs","LIMITED_CURRENT_URL_UPDATE_ONLY","Rows pass GOV-001 through GOV-009","Update only approved current URLs","No slug, redirect, canonical, noindex, sitemap or taxonomy change"
"GOV-011","Internal-link write gate","CONDITIONAL","selected_cluster","Links point only to verified current live URLs unless migration is separately approved","LIMITED_INTERNAL_LINK_UPDATE_ONLY","Current URLs and link targets are verified","Add only approved links after current-URL update is stable","No future clean-slug links unless migration is approved"
"GOV-012","Post-update QA","REQUIRED_AFTER_EXECUTION","selected_cluster","HTTP status, final path, title, H1, canonical, robots, content, links and screenshots recorded","VERIFICATION_ONLY","Public execution has occurred","Run desktop/mobile QA and record results","Verification only"
"GOV-013","Monitoring","REQUIRED_AFTER_EXECUTION","selected_cluster","GSC, GA4, 404 and index-status follow-up window recorded","MONITORING_ONLY","Public execution has occurred and QA passes","Monitor changes and flag ranking or crawl regressions","Monitoring only"
"GOV-014","Migration phase","SEPARATE_APPROVAL","selected_cluster","Clean slug map, redirect map, canonical/noindex map, sitemap and protected-asset decisions","NOT_APPROVED_FOR_PUBLIC_UPLOAD","Owner approves migration after focused GSC review","Open separate migration packet after current-URL updates are stable","Only explicitly approved migration batch"
"GOV-015","Rollback or hold","REQUIRED_ON_FAILURE","selected_cluster","Any critical mismatch produces stop, rollback or owner review","ROLLBACK_OR_HOLD_ONLY","Critical mismatch is resolved","Stop execution and either rollback or hold for owner decision","Rollback or no action"
