cluster,recommended_article_title_he,recommended_english_slug,gap_type,why_needed,priority,business_value,seo_value,official_sources_needed,connect_to_homepage,connect_to_lawyer_cards,notes
family-law,איך לבחור עורך דין גירושין,how-to-choose-divorce-lawyer,MISSING_OR_WEAK_CONTENT,User intent includes comparison and choosing counsel; strong conversion page.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
family-law,כמה עולה עורך דין גירושין ומה משפיע על המחיר,divorce-lawyer-cost,MISSING_OR_WEAK_CONTENT,Competitors often answer pricing; high commercial intent.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
family-law,מסמכים שצריך להכין לפני גירושין,divorce-documents-checklist,MISSING_OR_WEAK_CONTENT,Practical checklist; good lead magnet/document intent.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
family-law,גישור גירושין מול הליך בבית משפט,divorce-mediation-vs-court,MISSING_OR_WEAK_CONTENT,Clarifies decision path; supports mediation and divorce pillar.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
family-law,הסכם גירושין: מה חייב להופיע בו,divorce-agreement-checklist,MISSING_OR_WEAK_CONTENT,"Document-focused, high user intent.",HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
family-law,הסכם ממון לפני נישואין ואחרי נישואין,prenuptial-agreement-guide,MISSING_OR_WEAK_CONTENT,"High-value family-law keyword, supports lawyer leads.",HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
family-law,מזונות ילדים: מדריך מעשי להורים,child-support-guide,MISSING_OR_WEAK_CONTENT,Core family topic; should have practical sources/calculators later.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
family-law,משמורת וזמני שהות: איך זה עובד,child-custody-visitation-guide,MISSING_OR_WEAK_CONTENT,Core family topic; currently cannibalization appeared in GSC sample.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
criminal-law,מה לעשות לפני חקירה במשטרה,before-police-investigation,MISSING_OR_WEAK_CONTENT,Urgent high-intent criminal lead topic.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
criminal-law,זכויות נחקר במשטרה,suspect-rights-police-investigation,MISSING_OR_WEAK_CONTENT,"Practical rights-wiki page, strong user value.",HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
criminal-law,מעצר ימים: מה המשפחה צריכה לדעת,pretrial-detention-family-guide,MISSING_OR_WEAK_CONTENT,"Urgent, family member search intent.",HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
criminal-law,"כתב אישום: שלבים, סיכונים ואפשרויות",indictment-guide,MISSING_OR_WEAK_CONTENT,Core criminal procedure support page.,HIGH,HIGH,HIGH,Kol Zchut/gov.il/courts/competitors,YES_IF_PILLAR_OR_TOP_CLUSTER,YES,Suggested by GPT from legal portal/content gap methodology. Validate against existing content before creating.
