"comparison_id","current_url","live_status","live_effective_behavior","post_id","current_title_or_h1","word_count","quality_score","current_role","risk","recommended_action","public_execution_allowed","notes"
"RE-SBS-001","https://jus-tice.co.il/real-estate-attorney/","200","Self-canonical page with title and H1","1149","עורך דין מקרקעין מומלץ | עורך דין מקרקעין מחיר | ייעוץ חינם","6941","6/10","Current commercial real-estate lawyer candidate","MEDIUM","COMPARE_AS_CURRENT_PRIMARY","NO","Keep as working current primary for planning only; no title/H1/meta/content change approved"
"RE-SBS-002","https://jus-tice.co.il/real-estate-lawyer/","200","Empty/invalid fetched body: no title H1 canonical marker or visible body sample","","","NOT_IN_INVENTORY","NOT VERIFIED","Future strategic slug only","HIGH","ROUTING_AUDIT_BEFORE_USE","NO","Do not add to sitemap internal links redirects or canonicals until routing/CMS state is verified"
"RE-SBS-003","https://jus-tice.co.il/real-estate-lawyer-cost-2025/","200","Self-canonical page with title and H1","12655","עורך דין מכירת דירה מחיר (2025) | תפקידו של עורך הדין בעסקאות מקרקעין","11330","6/10","Protected cost/sale support page","HIGH","PROTECT_SUPPORT_NOT_PRIMARY","NO","High-impression support content; do not redirect canonicalize away noindex or rewrite blindly"
"RE-SBS-004","https://jus-tice.co.il/israeli_land_and_property_laws/","200","Self-canonical page with title and H1","10089","עורך דין מקרקעין | חוקי הקרקע והקניין בישראל","5479","6/10","Broad info/support or merge-review asset","HIGH","REPOSITION_OR_MERGE_REVIEW","NO","May compete with commercial primary; proposed migration to /real-estate-lawyer/ remains blocked"
"RE-SBS-005","Hebrew fee page","200","Live 200 in bounded status check","12065","מחירון שירותי עורך דין נדל”ן 2025","9735","NOT MATCHED","Fee/cost support or merge-review asset","UNKNOWN","SIDE_BY_SIDE_COST_REVIEW","NO","Compare with /real-estate-lawyer-cost-2025/ before any merge redirect or title decision"
"RE-SBS-006","https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/","200","Self-canonical page with title and H1","1142","עורך דין קניית דירה | עו”ד מכירת דירה | מומחה בעסקאות מקרקעין","2192","5/10","Buy/sell support or merge-review asset","UNKNOWN","SUPPORT_OR_MERGE_REVIEW","NO","Overlaps buying apartment sale lawyer and broad service intent"
"RE-SBS-007","https://jus-tice.co.il/buying-apartment/","200","Resolves to homepage content with homepage canonical","","","NOT_CURRENT_EXACT_URL","NOT VERIFIED","Future buying-apartment support slug","HIGH","DO_NOT_LINK_OR_MIGRATE_YET","NO","Unsafe as live destination until routing is fixed"
"RE-SBS-008","First-apartment article URL","200","Live 200 in bounded status check","10136","מדריך מקיף לקניית דירה ראשונה","2379","5/10","Buying-apartment support candidate","HIGH","COMPARE_BEFORE_MIGRATION","NO","URL map duplicate target to /buying-apartment/; compare before migration"
"RE-SBS-009","https://jus-tice.co.il/apartment/","200","Self-canonical page with title and H1","10860","רכישת דירה בחו”ל | מדריך סוגי דירות | השקעות נדל”ן חו”ל","5553","3/10","International/abroad property support","MEDIUM","SEPARATE_FROM_LOCAL_CLUSTER","NO","Should not be treated as local Israeli buying-apartment pillar"
"RE-SBS-010","https://jus-tice.co.il/common-construction-defects-and-how-to-manage-them/","200","Live 200 in bounded status check","10175","דירה חדשה רכישה | ליקויי בנייה נפוצים וכיצד לטפל בהם","1824","5/10","Contractor/defect support page","UNKNOWN","SOURCE_BACKED_SUPPORT_REVIEW","NO","Needs Sale Law and defect/delivery legal review before rewrite"
"RE-SBS-011","https://jus-tice.co.il/land-registration/","200","Self-canonical page with title and H1","10541","מרשם המקרקעין | פנקס זכויות מקרקעין","434","2/10","Land registry support","UNKNOWN","EXPAND_AFTER_SOURCE_REVIEW","NO","Thin official-source support; no merge/noindex decision yet"
"RE-SBS-012","https://jus-tice.co.il/registration-of-real-estate-israel/","200","Self-canonical page with title and H1","10503","רישום זכויות מקרקעין בישראל | לשכת רישום מקרקעין","487","2/10","Registration support or merge-review","UNKNOWN","MERGE_OR_EXPAND_REVIEW","NO","Overlaps land registry; compare before merge"
"RE-SBS-013","https://jus-tice.co.il/real-estate-registration-procedure-israel/","200","Self-canonical page with title and H1","10508","real estate registration procedure in israel","117178","3/10","Source-mined review asset","HIGH","AUDIT_BEFORE_REWRITE_OR_MERGE","NO","Extreme length and low quality; not a pillar by word count"
"RE-SBS-014","https://jus-tice.co.il/land-appreciation-tax/","200","Self-canonical page with title and H1","10528","מס שבח מקרקעין | מחשבון מס שבח | מי זכאי להחזר מס שבח מקרקעין","2781","6/10","Tax support page","UNKNOWN","KEEP_AS_TAX_SUPPORT","NO","Needs tax/source freshness review"
"RE-SBS-015","https://jus-tice.co.il/rental-agreement/","200","Self-canonical page with title and H1","9988","מה זה הסכם שכירות | חוזה שכירות","5460","6/10","Rental support page","UNKNOWN","KEEP_AS_RENTAL_SUPPORT","NO","Separate rental intent from purchase/sale service intent"
"RE-SBS-016","https://jus-tice.co.il/online-rent-agreement/","200","Self-canonical page with title and H1","12626","חוזה שכירות אונליין (עדכני 2025)","0","2/10","Tool/product placeholder or thin page","UNKNOWN","OWNER_REVIEW_BEFORE_NOINDEX_OR_REMOVE","NO","No deletion noindex redirect or sitemap change without approval"
"RE-SBS-017","https://jus-tice.co.il/buying-property-in-greece/","200","Self-canonical page with title and H1","8932","רכישת נכס ביוון | תהליך קניית בית ביוון | כמה עולה דירה ביוון","29988","8/10","International property cluster","MEDIUM","SEPARATE_INTERNATIONAL_CLUSTER","NO","Do not use as local Israeli real-estate lawyer support"
"RE-SBS-018","https://jus-tice.co.il/tma-38-and-urban-renewal-lawyer/","200","Live 200 in bounded status check","1134","עורך דין תמ”א 38 והתחדשות עירונית","575","NOT MATCHED","Urban-renewal support","UNKNOWN","EXPAND_OR_SUPPORT_REVIEW","NO","Thin specialist support; needs source/legal review"
"RE-SBS-019","https://jus-tice.co.il/real-estate-purchase-agreement/","200","Resolves to homepage content with homepage canonical","","","NOT_CURRENT_EXACT_URL","NOT VERIFIED","Future sale/purchase-agreement support slug","HIGH","DO_NOT_LINK_OR_MIGRATE_YET","NO","Unsafe as live destination until routing is fixed"
