check,status,evidence,next_step
unique_sidebar_guard,PASS,Template defines a unique-content sidebar guard.,"Keep sidebar rendering behind unique connected lawyer, cluster nav or admin status content."
sidebar_render_guard,PASS,Aside is rendered only when sidebar has unique content.,Do not render duplicate-only article CTA sidebars.
duplicate_sidebar_text_removed,PASS,Contextual CTA text render count in single-articles.php: 1.,Expected count is 1: the main after-article CTA only.
duplicate_sidebar_button_removed,PASS,Contextual CTA button render count in single-articles.php: 1.,"Expected count is 1: connected-lawyer sidebars should link to the lawyer profile, not repeat the article request CTA."
connected_lawyer_sidebar_not_generic_lead_cta,PASS,Connected-lawyer sidebar should not reuse the after-article contextual CTA URL.,Keep one reader help CTA after the article body and keep sidebar actions unique.
no_sidebar_duplicate_class_in_template,PASS,Duplicate sidebar CTA class should not be emitted by the template.,Keep no-lawyer sidebars focused on unique cluster/admin content only.
no_sidebar_layout_class,PASS,No-sidebar article layout is centered when duplicate-only sidebar is suppressed.,Keep the single-column layout override in the last-loaded public CSS file.
fallback_single_after_content_cta_once,PASS,single.php counts: lead_cta=1; text=1; button=1.,Keep the fallback single-post template to one after-content help CTA.
fallback_single_has_no_duplicate_sidebar,PASS,single.php should not introduce a sidebar/card that repeats the after-content article CTA.,"If a sidebar is ever added to single.php, copy the unique-content guard pattern before rendering it."
deployment_marker,PASS,justice-theme-deployment-marker=2026-05-27-connected-lawyer-article-cta-dedupe-v1 | expected-github-main-commit=connected-lawyer-article-cta-dedupe-v1 | purpose=single-article-connected-lawyer-sidebar-cta-dedupe,"After uPress pull, verify live marker matches connected-lawyer-article-cta-dedupe-v1."
