priority,source_url,gsc_clicks,gsc_impressions,target_hub,anchor_direction,public_change_status,notes
P0,https://jus-tice.co.il/free-divorce-agreement-template/,185,36900,https://jus-tice.co.il/family-law/,divorce agreement legal review,NOT_CHANGED,"Strongest family/divorce page by clicks; high conversion intent around agreement review"
P0,https://jus-tice.co.il/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D,16,17808,https://jus-tice.co.il/family-law/,child support lawyer review,NOT_CHANGED,"Calculator intent is practical and can convert when users need case-specific advice"
P0,https://jus-tice.co.il/joint-custody-shared-parenting/,5,16996,https://jus-tice.co.il/family-law/,parental responsibility and parenting time,NOT_CHANGED,"Modernize language beyond only custody"
P0,https://jus-tice.co.il/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%A2%D7%93%D7%9B%D7%A0%D7%99-%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F,128,16790,https://jus-tice.co.il/family-law/,divorce legal guidance,NOT_CHANGED,"High clicks; should reinforce the main hub"
P0,https://jus-tice.co.il/child-custody-modification/,20,14186,https://jus-tice.co.il/family-law/,custody and parenting-time modification,NOT_CHANGED,"Specific conversion intent for changed circumstances"
P0,https://jus-tice.co.il/divorce-costs-2025/,31,13272,https://jus-tice.co.il/family-law/,divorce lawyer cost,NOT_CHANGED,"Strong price/commercial query; keep factual"
P0,https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9,0,13216,https://jus-tice.co.il/family-law/,how to choose a divorce lawyer,NOT_CHANGED,"Trust-claim risk; rewrite away from recommended language before public edits"
P0,https://jus-tice.co.il/living-apart-together-legal-rights/,59,11439,https://jus-tice.co.il/family-law/,common-law spouse rights,NOT_CHANGED,"High clicks and adjacent family-law commercial intent"
P0,https://jus-tice.co.il/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,18,10193,https://jus-tice.co.il/family-law/,review divorce agreement before using document,NOT_CHANGED,"File asset traffic should route users to a safe legal review path"
P0,https://jus-tice.co.il/%D7%92%D7%99%D7%A9%D7%95%D7%A8-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%94-%D7%96%D7%94-%D7%95%D7%90%D7%99%D7%9A-%D7%94%D7%AA%D7%94%D7%9C%D7%99%D7%9A-%D7%A2%D7%95%D7%91%D7%93,0,9609,https://jus-tice.co.il/family-law/,divorce mediation and family agreement,NOT_CHANGED,"Mediation/process intent; connect carefully"
P0,https://jus-tice.co.il/request-for-family-dispute-settlements/,4,9284,https://jus-tice.co.il/family-law/,family dispute resolution request,NOT_CHANGED,"Mandatory process intent; pre-litigation entry point"
P0,https://jus-tice.co.il/divorce-mediation-basics/,0,8732,https://jus-tice.co.il/family-law/,divorce mediation,NOT_CHANGED,"Trust-claim risk because title includes recommended"
P0,https://jus-tice.co.il/cohabitation-property-rights-for-unmarried-couples/,13,8713,https://jus-tice.co.il/family-law/,property division for common-law spouses,NOT_CHANGED,"Strong property/family intent"
P0,https://jus-tice.co.il/how-much-does-a-divorce-agreement-cost/,1,8698,https://jus-tice.co.il/family-law/,divorce agreement lawyer cost,NOT_CHANGED,"Price intent; avoid fee guarantees"
P0,https://jus-tice.co.il/divorce-everything-you-need-to-know/,2,8326,https://jus-tice.co.il/family-law/,divorce and family lawyer,NOT_CHANGED,"Broad divorce guide should support the hub"
P0,https://jus-tice.co.il/what-is-child-custody/,0,6648,https://jus-tice.co.il/family-law/,child custody and parenting time,NOT_CHANGED,"Custody support page; align terminology"
P0,https://jus-tice.co.il/trusted-divorce-attorney-guide/,2,6447,https://jus-tice.co.il/family-law/,choosing a family lawyer,NOT_CHANGED,"Trust-claim risk; remove unsupported recommended/experienced/reputation claims"
P0,https://jus-tice.co.il/strategic-divorce-cost-planning/,5,6437,https://jus-tice.co.il/family-law/,divorce process and cost planning,NOT_CHANGED,"Strategy/price intent; useful support-to-hub source"
