"journey","tool","sample_or_scope","result","notes"
"public_user","tools/check-live-journeys.mjs","Homepage lead path","PASS","Homepage returned 200 and required lead-path tokens were present."
"public_user","tools/check-live-journeys.mjs","Lawyer directory","PASS","/lawyers/ returned 200."
"public_user","tools/check-live-journeys.mjs","Sample article content path","PASS","Sample article returned 200."
"lawyer_customer","tools/check-live-journeys.mjs","/lawyer-registration/","PASS","Lawyer registration returned 200."
"lawyer_customer","tools/check-live-journeys.mjs","/lawyer-registration/?plan_interest=pro","PASS","Plan-intent registration path returned 200."
"googlebot","tools/check-live-journeys.mjs","/sitemap_index.xml","PASS","XML sitemap index returned 200."
"googlebot","tools/check-live-journeys.mjs","/robots.txt","PASS","Robots returned 200."
"technical_reachability","tools/check-live-reachability.mjs","DNS, homepage, sitemap, REST, robots, XML sitemap, phone, WhatsApp, canonical","PASS","All reachability checks passed."
"commercial_routes","tools/check-live-traffic-priority.mjs","12 priority commercial/trust paths","PASS","Homepage, sitemap, articles, family, lawyer filter, medical, real estate, criminal, traffic, inheritance, contact, about passed."
"structured_data","tools/check-live-breadcrumb-schema.mjs","1299 live URLs","PASS","0 URLs needed breadcrumb schema review."
