source_url,source_title,target_url,target_title,anchor_text,link_type,reason,priority,status,approval_gate,notes
"https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","https://jus-tice.co.il/cybercrime-lawyer-roll/","תפקיד עורך דין פשעי סייבר","עורך דין לפשעי סייבר","pillar_to_support","Connect service page to cybercrime support after primary approval","CRITICAL","PLANNED_NEEDS_OWNER_APPROVAL","OWNER_APPROVAL_REQUIRED","Do not publish until /cyber-lawyer/ primary role is approved."
"https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","https://jus-tice.co.il/cyber-laws/","דיני סייבר","דיני סייבר","pillar_to_support","Connect service intent to informational cyber-law guide","HIGH","PLANNED_NEEDS_OWNER_APPROVAL","OWNER_APPROVAL_REQUIRED","Avoid duplicate title/H1 targeting between service and guide."
"https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","https://jus-tice.co.il/what-is-cyberattack/","מהי מתקפת סייבר","מהי מתקפת סייבר","pillar_to_support","Give users technical/practical context after cyber incident","HIGH","PLANNED_NEEDS_OWNER_APPROVAL","OWNER_APPROVAL_REQUIRED","Cyberattack page is support only, not primary."
"https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","https://jus-tice.co.il/cyber-insurance/","ביטוח סייבר","ביטוח סייבר","pillar_to_support","Business-risk support for cyber clients","MEDIUM","PLANNED_NEEDS_OWNER_APPROVAL","OWNER_APPROVAL_REQUIRED","Keep insurance and legal-service intent separate."
"https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","https://jus-tice.co.il/cybersex-trafficking/","עבירות מין אינטרנט וסייבר","עבירות מין באינטרנט","pillar_to_support_boundary","Sensitive criminal/cyber support link after legal boundary review","MEDIUM","PLANNED_NEEDS_OWNER_APPROVAL","LEGAL_REVIEW_REQUIRED","May also need criminal-law pillar link."
"https://jus-tice.co.il/cybercrime-lawyer-roll/","תפקיד עורך דין פשעי סייבר","https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","עורך דין סייבר","support_to_pillar","Route GSC-visible cyber-lawyer support page back to service candidate","CRITICAL","PLANNED_NEEDS_OWNER_APPROVAL","OWNER_APPROVAL_REQUIRED","This page has the visible 42-impression GSC row."
"https://jus-tice.co.il/cyber-laws/","דיני סייבר","https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","עורך דין סייבר","support_to_pillar","Keep broad cyber-law guide from competing with service page","CRITICAL","PLANNED_NEEDS_OWNER_APPROVAL","OWNER_APPROVAL_REQUIRED","Use natural anchor, not repeated stuffing."
"https://jus-tice.co.il/what-is-cyberattack/","מהי מתקפת סייבר","https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","ייעוץ משפטי אחרי מתקפת סייבר","support_to_pillar","Convert incident explainer into service path when appropriate","HIGH","PLANNED_NEEDS_OWNER_APPROVAL","OWNER_APPROVAL_REQUIRED","No GSC row for cyberattack yet; keep as support."
"https://jus-tice.co.il/cyber-insurance/","ביטוח סייבר","https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","ייעוץ משפטי בסיכוני סייבר","support_to_pillar","Connect business insurance readers to legal risk review","MEDIUM","PLANNED_NEEDS_OWNER_APPROVAL","OWNER_APPROVAL_REQUIRED","Do not imply insurance advice."
"https://jus-tice.co.il/cybersex-trafficking/","עבירות מין אינטרנט וסייבר","https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","עבירות סייבר","support_to_pillar_boundary","Cyber/criminal boundary support route","MEDIUM","PLANNED_NEEDS_OWNER_APPROVAL","LEGAL_REVIEW_REQUIRED","Sensitive criminal topic; review before public link."
"https://jus-tice.co.il/cybersex-trafficking/","עבירות מין אינטרנט וסייבר","https://jus-tice.co.il/criminal-defense-attorney/","עורך דין פלילי","עורך דין פלילי","support_to_related_pillar_boundary","Criminal-law route may be more relevant than cyber service for some users","HIGH","PLANNED_NEEDS_OWNER_APPROVAL","LEGAL_REVIEW_REQUIRED","Use current criminal-defense-attorney URL unless owner approves future /criminal-lawyer/ migration."
"https://jus-tice.co.il/פיצוי-כספי-בגין-פגיעה-בפרטיות-צפייה-ומחיקה-של-פריטים-מהטלפון-ללא-רשות/","פיצוי כספי בגין פגיעה בפרטיות","https://jus-tice.co.il/cyber-lawyer/","עורך דין סייבר","עורך דין סייבר ופרטיות","support_to_pillar_privacy","Connect privacy-injury support to service route after source/legal review","HIGH","PLANNED_NEEDS_OWNER_APPROVAL","SOURCE_LEGAL_REVIEW_REQUIRED","Old URL has GSC impressions; protect before edits."
"https://jus-tice.co.il/articles/פגיעה-בפרטיות-סקירת-המסגרת-הנורמטיבי/","פגיעה בפרטיות - סקירת המסגרת הנורמטיבית","https://jus-tice.co.il/פיצוי-כספי-בגין-פגיעה-בפרטיות-צפייה-ומחיקה-של-פריטים-מהטלפון-ללא-רשות/","פיצוי כספי בגין פגיעה בפרטיות","פגיעה בפרטיות","support_to_support","Route thin overview toward stronger privacy support page after review","MEDIUM","PLANNED_NEEDS_OWNER_APPROVAL","SOURCE_LEGAL_REVIEW_REQUIRED","May be merge candidate instead of separate link."
"https://jus-tice.co.il/police-records-data-deletion/","מחיקת רישום משטרתי","https://jus-tice.co.il/criminal-defense-attorney/","עורך דין פלילי","עורך דין פלילי","support_to_related_pillar_boundary","Criminal-record deletion likely belongs partly under criminal law","HIGH","PLANNED_NEEDS_OWNER_APPROVAL","LEGAL_REVIEW_REQUIRED","Boundary review required before rewrite."
"https://jus-tice.co.il/police-records-data-deletion/","מחיקת רישום משטרתי","https://jus-tice.co.il/פיצוי-כספי-בגין-פגיעה-בפרטיות-צפייה-ומחיקה-של-פריטים-מהטלפון-ללא-רשות/","פיצוי כספי בגין פגיעה בפרטיות","מחיקת מידע ופגיעה בפרטיות","support_to_support_boundary","Connect data deletion and privacy only if source/legal review approves","MEDIUM","PLANNED_NEEDS_OWNER_APPROVAL","SOURCE_LEGAL_REVIEW_REQUIRED","Do not confuse criminal-record deletion with Google search removal."
