row_id,type,target,current_state,action,approval_gate,upload_status,notes
FD-FINAL-001,cms_field,slug,/divorce-lawyer/,KEEP_CURRENT_URL,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,No URL migration in first wave
FD-FINAL-002,cms_field,h1,עורך דין גירושין,USE_AS_H1,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Shorter than draft title and clearer for user intent
FD-FINAL-003,cms_field,seo_title,עורך דין גירושין | מדריך לבחירה תהליך עלויות וזכויות,REVIEW_AND_USE,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,No best top recommended or trust claim
FD-FINAL-004,cms_field,meta_description,מדריך מעשי לבחירת עורך דין גירושין: מתי לפנות מה להכין איך להבין עלויות גישור מזונות משמורת וחלוקת רכוש. מידע כללי בלבד.,REVIEW_AND_USE,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Includes disclaimer signal and core terms
FD-FINAL-005,taxonomy,practice_areas,family-law plus divorce,USE_APPROVED_TERMS,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Matches taxonomy plan first wave
FD-FINAL-006,content_cleanup,editorial_note,הערת מערכת לפני פרסום,REMOVE_FROM_PUBLIC_BODY,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Internal note must not be uploaded
FD-FINAL-007,content_cleanup,cms_structure_notes,מבנה מומלץ לעמוד חי ב-CMS,REMOVE_FROM_PUBLIC_BODY,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Planning section not public copy
FD-FINAL-008,content_cleanup,missing_extensions_notes,הרחבות תוכן שעדיין חסרות לגרסת 5000+ מילים,REMOVE_FROM_PUBLIC_BODY,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Internal production note
FD-FINAL-009,content_cleanup,author_model_notes,מודל תוכן חתום על שם עורך הדין,REMOVE_FROM_PUBLIC_BODY,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Needs separate author/reviewer policy
FD-FINAL-010,content_cleanup,source_competitor_notes,מקורות ותחרות שנבדקו ראשונית,REMOVE_OR_CONVERT_TO_SOURCE_NOTES,OWNER_AND_SOURCE_REVIEW_REQUIRED,NOT_EXECUTED,Do not show competitor notes in public body
