"id","workstream","scope","status","fast_path_estimate","blocked_path_estimate","required_access","what_saves_time","public_action"
"T247-001","Owner setup","GSC OAuth/API, CMS backup path and approval lane","BLOCKED_OWNER_GSC_CMS","0.5-1 owner day","1-2+ calendar weeks","Search Console verified property, OAuth desktop client outside Git, wp-admin/CMS access","Owner completes read-only API setup and approves exact action classes","No public action"
"T247-002","Family/Divorce visible repair","Current-URL visible repair only","BLOCKED_OWNER_APPROVAL_BACKUP_GSC","0.5-1 operator day","2-4 calendar days","Owner approval, CMS rollback backup, focused GSC or owner-approved substitute","Use existing repair packet, field map and backup template","Current-URL repair only after approval"
"T247-003","Family/Divorce current-URL upload","Seven prepared Family/Divorce body targets","BLOCKED_OWNER_LEGAL_SOURCE_GSC_BACKUP","2-4 operator days","1-2+ calendar weeks","Owner/legal/source decisions, GSC export, rollback backup","Use existing drafts, owner packet, metadata package and static QA","Current-URL updates only after approval"
"T247-004","Criminal Law current-URL upload","First Criminal package","BLOCKED_OWNER_LEGAL_SOURCE_GSC_BACKUP","1.5-3 operator days","1-2 calendar weeks","Owner/legal/source worksheet, GSC export, rollback backup","Use completed Criminal worksheet and metadata package","Current-URL updates only after approval"
"T247-005","Medical Malpractice current-URL upload","Primary medical-malpractice package","BLOCKED_CMS_IDENTITY_PRIVACY_SOURCE_GSC","1-2 operator days","1-2 calendar weeks","CMS identity decision, privacy/source review, GSC export, rollback backup","Resolve one authoritative CMS record before writing","Current-URL updates only after approval"
"T247-006","Traffic Law package","Controlled current-URL package","QUEUED_NEEDS_CLUSTER_PACKAGE_GSC","2-4 operator days","1-2+ calendar weeks","Cluster package, GSC export, rollback backup","Reuse priority GSC runner and no-url-change outline patterns","No public action yet"
"T247-007","Real Estate package","Controlled current-URL package","QUEUED_NEEDS_CLUSTER_PACKAGE_GSC","2-4 operator days","1-2+ calendar weeks","Cluster package, GSC export, rollback backup","Work current-URL-first before migration","No public action yet"
"T247-008","Personal Injury/Damages package","Controlled current-URL package","QUEUED_NEEDS_PROTECTED_URL_GSC","2-5 operator days","1-3 calendar weeks","Protected URL review, cluster package, GSC export, rollback backup","Keep car/tort/protected-current URLs separated until evidence is clear","No public action yet"
"T247-009","Inheritance/Wills package","Controlled current-URL package","QUEUED_NEEDS_BOUNDARY_GSC","2-4 operator days","1-2+ calendar weeks","Family/Inheritance boundary review, GSC export, rollback backup","Use Family adjacency and protected-asset evidence","No public action yet"
"T247-010","Employment package","Controlled current-URL package","QUEUED_NEEDS_SPLIT_URL_GSC","2-5 operator days","1-3 calendar weeks","Existing URL split review, GSC export, rollback backup","Resolve homepage/labor-lawyer/support-page roles before upload","No public action yet"
"T247-011","All priority clusters","Controlled upload-ready state, not full migration","ESTIMATE_ONLY_BLOCKED_BY_OWNER_GSC_CMS","2-4 focused weeks","4-8+ calendar weeks","Owner approvals, GSC API, CMS operator, limited legal/source review","Stage cluster-by-cluster and avoid broad migration until evidence is ready","No public action by estimate"
"T247-012","Full legacy audit and migration","All old content consolidation, protected assets, redirects and migration QA","LONG_PROJECT_NOT_FIRST_UPLOAD_BLOCKER","6-12+ weeks","12+ weeks","Full inventory, GSC at scale, legal/source review, CMS rollback and QA","Run behind staged publishing instead of blocking first clusters","No public action by estimate"
