"repair_id","priority","cluster","target_path","current_live_state","source_object","related_existing_asset","operator_instruction","owner_gate","rollback_required","seo_migration_rule","verification_after_repair","safety_status","notes"
"PRIORITY-CMS-001","P0","all","all six priority slugs","mixed 200 and 404","mixed","all related records","Capture WP rollback material before any edit: object ID type body title slug status permalink taxonomies SEO meta canonical robots schema media and screenshots where available.","Owner/operator must approve public action scope first.","YES","No redirect canonical noindex sitemap taxonomy or URL change in this step.","Rerun priority live read-only checker and compare before/after outputs.","BLOCKED_PUBLIC_EXECUTION","Global preflight row."
"PRIORITY-CMS-002","P1","criminal-law","/criminal-lawyer-cost/","HTTP 200 with duplicate H1","articles ID 19261","none required for H1 repair","Edit article body only. Remove or demote duplicate body/content H1 and keep template H1. Preserve slug permalink status title meta canonical robots schema taxonomy and redirects.","Owner/operator approval after rollback capture.","YES","No migration action. Current URL stays live.","Expected HTTP 200 one H1 self canonical index/follow articles ID 19261.","READY_AFTER_ROLLBACK_CAPTURE","Low-risk visible repair because source object is known."
"PRIORITY-CMS-003","P1","criminal-law","/plea-bargain/","HTTP 200 with duplicate H1","articles ID 19279","none required for H1 repair","Edit article body only. Remove or demote duplicate body/content H1 and keep template H1. Preserve slug permalink status title meta canonical robots schema taxonomy and redirects.","Owner/operator approval after rollback capture.","YES","No migration action. Current URL stays live.","Expected HTTP 200 one H1 self canonical index/follow articles ID 19279.","READY_AFTER_ROLLBACK_CAPTURE","Low-risk visible repair because source object is known."
"PRIORITY-CMS-004","P0","tooling","reports/semrush/build-priority-pages.js","publisher targets wp/v2/pages","pages endpoint","live objects are articles for two URLs","Do not use the page publisher to repair article CPT records. If future publishing is approved decide article CPT versus page content model first.","Owner must approve future live publishing separately.","YES","No public write from this script without explicit approved publish plan.","Node dry-run safety remains separate from live CMS repair verification.","BLOCKED_PUBLIC_EXECUTION","Prevents creating duplicate pages beside live article CPT content."
"PRIORITY-CMS-005","P1","medical-malpractice","/medical-malpractice-diagnosis-errors/","HTTP 404 no public pages posts articles hit","none public","article ID 8271 /medical-malpractice-8271/","Do not create clean slug blindly. Compare article ID 8271 to planned clean content then decide update existing create new support article or later redirect.","Focused GSC source/legal owner approval required.","YES","No redirect canonical noindex or retirement until approved.","If approved object is created or updated expected HTTP 200 one H1 self canonical index/follow and correct pillar links.","BLOCKED_OWNER_GSC_REVIEW","High cannibalization risk with existing diagnosis asset."
"PRIORITY-CMS-006","P1","family-law","/joint-custody/","HTTP 404 no public pages posts articles hit","none public","article ID 5405 /joint-custody-shared-parenting/","Do not create duplicate clean slug while protected current URL exists. Keep current live URL reachable until focused GSC and owner decision.","Focused GSC and owner approval required because protected URL has strong baseline impressions.","YES","Keep live or 301 only after approval. No canonical/noindex changes now.","If approved new or updated URL must pass live checker and protected URL must remain intentionally handled.","BLOCKED_PROTECTED_URL_REVIEW","Repo evidence marks current asset DO_NOT_TOUCH_HIGH_TRAFFIC_URL."
"PRIORITY-CMS-007","P2","medical-malpractice","/medication-errors-malpractice/","HTTP 404 no public pages posts articles hit","none public","no strong equivalent found in quick repo evidence","Treat as likely new support article candidate only after source/legal review and content type decision. Do not create until approved.","Source/legal owner approval required.","YES","No redirect canonical noindex or sitemap action now.","If approved creation must pass HTTP 200 one H1 self canonical index/follow and med-mal pillar links.","BLOCKED_SOURCE_LEGAL_REVIEW","Cleaner new-page candidate than joint custody but still YMYL blocked."
"PRIORITY-CMS-008","P2","family-law","/divorce-pension-split/","HTTP 404 no public pages posts articles hit","none public","page ID 19215 /divorce-property-division/ plus pension-related article IDs 8252 7048 11205","Do not create duplicate pension page before comparing overlap with property division and pension assets. Decide update merge or new support page after focused GSC.","Focused GSC source/legal owner approval required.","YES","No redirect canonical noindex or retirement until approved.","If approved object is created or updated expected HTTP 200 one H1 self canonical index/follow and family pillar links.","BLOCKED_CANNIBALIZATION_REVIEW","High overlap with existing property division and pension content."
"PRIORITY-CMS-009","P1","qa","all six priority slugs","post-repair verification pending","read-only checker","project-control and reports outputs","After any approved repair rerun node tools/check-priority-pages-live-readonly.mjs --reportDate=2026-05-22 and inspect CSV JSON MD outputs.","Owner/operator confirms expected state before marking final.","NO","Verification only. No public migration action.","Checker should show the two article H1 repairs fixed and any approved 404 restoration resolved.","BLOCKED_UNTIL_PUBLIC_REPAIR","Screenshots still needed in browser-capable environment."
"PRIORITY-CMS-010","P0","safety","all six priority slugs","public action not approved","N/A","N/A","Do not edit CMS objects redirect rules canonical robots sitemap taxonomy internal links media lawyer records lead forms CRM or GSC settings from this packet alone.","Owner approval required for every public action.","YES","All SEO migration work remains blocked until specific approval.","Repo CSV parse and git diff checks are the only verification for this packet.","BLOCKED_PUBLIC_EXECUTION","This repo change is planning only."
