row_id,lane,source_id,cluster,priority,current_url,secondary_url,target_url_or_hub,role_or_topic,decision_status,readiness_status,traffic_risk,gsc_clicks,gsc_impressions,content_quality_score,source_legal_status,internal_link_status,url_action_status,next_step,blocked_actions,notes
MEDD-001,OWNER_DECISION_GATE,MEDMAL-OWNER-001,medical-malpractice,P0,https://jus-tice.co.il/medical-malpractice-lawyer/,,commercial pillar,Use as current pillar candidate only after CMS identity is resolved,NOT_READY_FOR_UPLOAD,DUPLICATE_IDENTITY_AND_LEGAL_REVIEW,PROTECTED_REVIEW,,,,DUPLICATE_IDENTITY_AND_LEGAL_REVIEW,PLANNED_ONLY_AFTER_APPROVAL,NO_URL_CHANGE_APPROVED,Approve duplicate identity review and side-by-side comparison,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Two REST records share same public URL
MEDD-002,OWNER_DECISION_GATE,MEDMAL-OWNER-002,medical-malpractice,P0,REFERENCE:MEDMAL-FEE-GSC-001,,fee cost support,Protect as GSC-visible support asset,NOT_READY_FOR_UPLOAD,OWNER_LEGAL_REVIEW_AND_PILLAR_COMPARISON,PROTECTED_REVIEW,,,,OWNER_LEGAL_REVIEW_AND_PILLAR_COMPARISON,PLANNED_ONLY_AFTER_APPROVAL,NO_URL_CHANGE_APPROVED,Approve protect compare and support-or-merge review,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Do not redirect or noindex visible fee article
MEDD-003,OWNER_DECISION_GATE,MEDMAL-OWNER-003,medical-malpractice,P0,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,,birth pregnancy old URL,Protect as GSC-visible birth and pregnancy asset,NOT_READY_FOR_UPLOAD,OWNER_LEGAL_REVIEW_AND_SPLIT_PLAN,PROTECTED_REVIEW,,,,OWNER_LEGAL_REVIEW_AND_SPLIT_PLAN,PLANNED_ONLY_AFTER_APPROVAL,NO_URL_CHANGE_APPROVED,Approve protect compare and split-or-merge review,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Do not create duplicate future slugs yet
MEDD-004,OWNER_DECISION_GATE,MEDMAL-OWNER-004,medical-malpractice,P0,/birth-injury/; /birth-injury-lawyer/; /birth-injury-causes/; /brain-damage-at-birth/; /malpractice-cerebral-palsy/,,birth injury support group,Use birth-injury as possible support parent after review,NOT_READY_FOR_UPLOAD,SOURCE_LEGAL_AND_MEDICAL_CAUSATION_REVIEW,PROTECTED_REVIEW,,,,SOURCE_LEGAL_AND_MEDICAL_CAUSATION_REVIEW,PLANNED_ONLY_AFTER_APPROVAL,NO_URL_CHANGE_APPROVED,Approve parent support role and merge candidates,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Sensitive causation and child injury topics
MEDD-005,OWNER_DECISION_GATE,MEDMAL-OWNER-005,medical-malpractice,P0,/anesthesia-medical-malpractice/; /surgical-errors-medical-malpractice/; /personal-injury/medical-malpractice/surgery/,,surgery anesthesia support group,Keep as support pages only after source review,NOT_READY_FOR_UPLOAD,SOURCE_LEGAL_AND_URL_STRATEGY_REVIEW,UNKNOWN_NEEDS_GSC,,,,SOURCE_LEGAL_AND_URL_STRATEGY_REVIEW,PLANNED_ONLY_AFTER_APPROVAL,NO_URL_CHANGE_APPROVED,Approve support roles and nested URL strategy,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Nested surgery URL needs canonical and migration review
MEDD-006,OWNER_DECISION_GATE,MEDMAL-OWNER-006,medical-malpractice,P0,/what-is-medical-malpractice-definition-examples/; /medical-malpractice-common-errors-doctors-hospitals/; /medical-malpractice-vs-negligence-differences-israel/,,definition common errors support,Keep as concept support not commercial duplicate,NOT_READY_FOR_UPLOAD,SOURCE_LEGAL_AND_UNIQUENESS_REVIEW,UNKNOWN_NEEDS_GSC,,,,SOURCE_LEGAL_AND_UNIQUENESS_REVIEW,PLANNED_ONLY_AFTER_APPROVAL,NO_URL_CHANGE_APPROVED,Approve informational support role,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Needs careful non-duplicative titles and links
MEDD-007,OWNER_DECISION_GATE,MEDMAL-OWNER-007,medical-malpractice,P0,REFERENCE:MEDMAL-REPORT-LARGE-001,,report background,HOLD until source and copyright review,NOT_READY_FOR_UPLOAD,SOURCE_COPYRIGHT_INDEXATION_REVIEW,UNKNOWN_NEEDS_GSC,,,,SOURCE_COPYRIGHT_INDEXATION_REVIEW,PLANNED_ONLY_AFTER_APPROVAL,NO_URL_CHANGE_APPROVED,Approve source copyright and indexation review,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Large word count must not determine pillar status
MEDD-008,OWNER_DECISION_GATE,MEDMAL-OWNER-008,medical-malpractice,P0,TRAFFIC_MARVAD_GROUP; /criminal-negligence/; /medical-malpractice-in-the-united-states/; FUTURE_SLUG_GROUP,,boundaries and future slugs,Exclude from current Israeli malpractice upload batch,NOT_READY_FOR_UPLOAD,OWNER_APPROVAL_FOR_ROUTE_REDIRECT_CANONICAL_SITEMAP,UNKNOWN_NEEDS_GSC,,,,OWNER_APPROVAL_FOR_ROUTE_REDIRECT_CANONICAL_SITEMAP,PLANNED_ONLY_AFTER_APPROVAL,NO_URL_CHANGE_APPROVED,Approve exclusions and future-only status,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Prevents cannibalization and wrong-cluster links
MEDD-009,CURRENT_URL_READINESS,MEDMAL-READY-001,medical-malpractice,P0,https://jus-tice.co.il/medical-malpractice-lawyer/,REST ID 11607; REST ID 1130; fee article; birth/pregnancy page,REST ID 11607; REST ID 1130; fee article; birth/pregnancy page,clean commercial pillar candidate,DUPLICATE_IDENTITY_REVIEW_THEN_COMPARE,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,UNKNOWN_NEEDS_GSC,,,,OWNER_APPROVAL_REQUIRED,hub to approved malpractice supports after identity review,INCLUDE_AFTER_DUPLICATE_LEGAL_REVIEW,DUPLICATE_IDENTITY_REVIEW_THEN_COMPARE,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Do not edit until authoritative CMS state is understood.
MEDD-010,CURRENT_URL_READINESS,MEDMAL-READY-002,medical-malpractice,P0,REFERENCE:MEDMAL-DUPLICATE-SAME-URL-001,/medical-malpractice-lawyer/,/medical-malpractice-lawyer/,two records same public URL,CMS_IDENTITY_REVIEW_REQUIRED,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,PROTECTED_REVIEW,,,,OWNER_APPROVAL_REQUIRED,internal links should point only to final approved public state,HOLD_UNTIL_RESOLVED,CMS_IDENTITY_REVIEW_REQUIRED,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Not a redirect task yet; this is CMS/source identity review.
MEDD-011,CURRENT_URL_READINESS,MEDMAL-READY-003,medical-malpractice,P0,REFERENCE:MEDMAL-FEE-GSC-001,/medical-malpractice-lawyer/,/medical-malpractice-lawyer/,fee article visible for main lawyer query,PROTECT_COMPARE_SUPPORT_OR_MERGE_LATER,OWNER_APPROVAL_REQUIRED_BEFORE_UPLOAD,PROTECTED_REVIEW,,,,OWNER_APPROVAL_REQUIRED,support link to pillar after approval,PROTECT_UNTIL_MIGRATION_APPROVED,PROTECT_COMPARE_SUPPORT_OR_MERGE_LATER,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,145 impressions visible for main query in owner packet.
