priority,source_url,gsc_clicks,gsc_impressions,target_hub,anchor_direction,public_change_status,notes
P0,https://jus-tice.co.il/labor-lawyer/,3,29862,https://jus-tice.co.il/labor-lawyer/,employment lawyer,NOT_CHANGED,"Main commercial hub; high impressions but weak click capture"
P0,https://jus-tice.co.il/employment-contract/,3,5933,https://jus-tice.co.il/labor-lawyer/,employment contract lawyer,NOT_CHANGED,"Strong employer/employee contract intent; live 200"
P0,https://jus-tice.co.il/employer-worker-relationship/,13,4704,https://jus-tice.co.il/labor-lawyer/,employee-employer relationship lawyer,NOT_CHANGED,"Core employment classification/support page; live 200"
P0,https://jus-tice.co.il/israeli-labor-law/,1,2199,https://jus-tice.co.il/labor-lawyer/,Israeli labor law consultation,NOT_CHANGED,"Broad explainer; canonical points to /practice-areas/israeli-labor-law/"
P0-BLOCKER,https://jus-tice.co.il/labor-law/%D7%97%D7%95%D7%A7-%D7%94%D7%95%D7%93%D7%A2%D7%94-%D7%9E%D7%95%D7%A7%D7%93%D7%9E%D7%AA-%D7%9C%D7%A4%D7%99%D7%98%D7%95%D7%A8%D7%99%D7%9D-%D7%95%D7%9C%D7%94%D7%AA%D7%A4%D7%98%D7%A8%D7%95%D7%AA,0,5467,REVIEW_BEFORE_ROUTE_RECOVERY_OR_REDIRECT,notice before dismissal and resignation,NOT_CHANGED,"High-value firing/termination topic; live fetch returned 404 after normalization to /labor-law/law-2731/"
P0-BLOCKER,https://jus-tice.co.il/%D7%94%D7%90%D7%9D-%D7%99%D7%A9-%D7%9E%D7%A7%D7%95%D7%9D-%D7%9C%D7%94%D7%9B%D7%99%D7%A8-%D7%91%D7%A9%D7%9C%D7%99%D7%97%D7%99%D7%9D-%D7%A9%D7%9C-%D7%95%D7%95%D7%9C%D7%98-%D7%9B%D7%A2%D7%95%D7%91%D7%93%D7%99-%D7%95%D7%95%D7%9C%D7%98,14,5806,REVIEW_BEFORE_ROUTE_RECOVERY_OR_REDIRECT,worker classification and platform couriers,NOT_CHANGED,"High-value employee/contractor topic; live fetch returned 404"
P1,https://jus-tice.co.il/working-permit-for-foreign-workers/,3,15903,BOUNDARY_EMPLOYMENT_IMMIGRATION_COMPLIANCE,foreign-worker employment permit,NOT_CHANGED,"Commercial employer compliance intent; live 200 but boundary topic"
P1,https://jus-tice.co.il/income-protection-insurance/,0,6062,BOUNDARY_EMPLOYMENT_INSURANCE_DISABILITY,loss-of-work-capacity rights,NOT_CHANGED,"Work-capacity/insurance boundary; live 200"
P1,https://jus-tice.co.il/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA-%D7%94%D7%91%D7%99%D7%98%D7%95%D7%97-%D7%94%D7%9C%D7%90%D7%95%D7%9E%D7%99-%D7%A7%D7%91%D7%99%D7%A2%D7%AA-%D7%93%D7%A8%D7%92%D7%AA-%D7%A0%D7%9B%D7%95%D7%AA-%D7%9C%D7%A0%D7%A4%D7%92%D7%A2%D7%99-%D7%A2%D7%91%D7%95%D7%93%D7%94-%D7%AA%D7%A9%D7%98%D7%96-1956,37,11274,BOUNDARY_EMPLOYMENT_NATIONAL_INSURANCE_INJURY,work injury rights,NOT_CHANGED,"Strong demand but not pure labor-law representation"
P1,https://jus-tice.co.il/psakdin/%D7%AA%D7%91%D7%99%D7%A2%D7%94-%D7%A9%D7%9C-%D7%9E%D7%9C%D7%A6%D7%A8%D7%99%D7%AA-%D7%94%D7%98%D7%A8%D7%93%D7%94-%D7%9E%D7%99%D7%A0%D7%99%D7%AA-300000-%D7%A9%D7%97-%D7%A4%D7%99%D7%A6%D7%95%D7%99,15,2455,https://jus-tice.co.il/labor-lawyer/,workplace sexual harassment claim,NOT_CHANGED,"Employment-law support; sensitive content needs legal/ethical review"
P1,https://jus-tice.co.il/articles/%D7%A2%D7%95%D7%93-%D7%9C%D7%99%D7%99%D7%A6%D7%95%D7%92-%D7%9E%D7%A2%D7%A1%D7%99%D7%A7%D7%99%D7%9D,0,1400,https://jus-tice.co.il/labor-lawyer/,employer representation in labor law,NOT_CHANGED,"Direct lawyer-lead intent for paying employer clients"
P2-HOLD,https://jus-tice.co.il/%D7%94%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%94%D7%9E%D7%9C%D7%90-%D7%9C%D7%A7%D7%A0%D7%99%D7%99%D7%94-%D7%94%D7%A9%D7%9B%D7%A8%D7%94-%D7%95-airbnb-%D7%91%D7%97%D7%95%D7%9C,44,20969,HOLD_FALSE_POSITIVE_FOREIGN_REAL_ESTATE,do not classify as employment law,NOT_CHANGED,"GSC cluster false positive; foreign real-estate/Airbnb not labor law"
P2-HOLD,https://jus-tice.co.il/labor_law/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA-%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94-%D7%94%D7%92%D7%91%D7%9C%D7%AA-%D7%9E%D7%A1%D7%A4%D7%A8-%D7%94%D7%A2%D7%95%D7%91%D7%93%D7%99%D7%9D-%D7%91%D7%9E%D7%A7%D7%95%D7%9D,2,2382,HOLD_OUTDATED_CORONA,do not promote,NOT_CHANGED,"Outdated/emergency-workplace content; owner approval required before cleanup"
