query,page,clicks,impressions,ctr,position,is_money_keyword,is_criminal_law,priority
חוק החוזים תרופות,https://jus-tice.co.il/%D7%97%D7%95%D7%A7-%D7%94%D7%97%D7%95%D7%96%D7%99%D7%9D-%D7%AA%D7%A8%D7%95%D7%A4%D7%95%D7%AA-%D7%91%D7%A9%D7%9C-%D7%94%D7%A4%D7%A8%D7%AA-%D7%97%D7%95%D7%96%D7%94-%D7%AA%D7%A9%D7%9C%D7%90-1970/,8,7853,0.10%,8.2,FALSE,FALSE,HIGH
מרבד,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,13,6410,0.20%,9.5,FALSE,FALSE,HIGH
הסכם גירושין בהסכמה,https://jus-tice.co.il/free-divorce-agreement-template/,6,3965,0.15%,10.3,FALSE,FALSE,HIGH
חיפוש עורך דין לפי שם,https://jus-tice.co.il/,21,3891,0.54%,9.3,TRUE,FALSE,HIGH
מקרקעין ברשת,https://jus-tice.co.il/registration-of-real-estate-israel/,2,3645,0.05%,8.6,FALSE,FALSE,HIGH
אופטימיזציה למנועי חיפוש,https://jus-tice.co.il/search-engine-optimization/,0,3269,0.00%,16.3,FALSE,FALSE,HIGH
חזרה מכתב אישום,https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,3,3172,0.09%,8.8,TRUE,TRUE,HIGH
ביטול רישום פלילי,https://jus-tice.co.il/police-records-data-deletion/,0,3024,0.00%,17.0,FALSE,TRUE,HIGH
תוצרת כחול לבן טלגרם,https://jus-tice.co.il/53431-10-21/,17,2855,0.60%,8.8,FALSE,FALSE,HIGH
תשניק סב לידתי,https://jus-tice.co.il/perinatal-asphyxia/,0,2587,0.00%,16.9,FALSE,FALSE,HIGH
ניהול מוניטין לעורכי דין,https://jus-tice.co.il/%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%9E%D7%95%D7%A0%D7%99%D7%98%D7%99%D7%9F-%D7%9E%D7%A7%D7%95%D7%95%D7%9F-%D7%9C%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%91%D7%A8%D7%A9%D7%AA-%D7%94%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98/,1,2547,0.04%,8.0,TRUE,FALSE,HIGH
תקיפת בת זוג,https://jus-tice.co.il/decision42377-09-22/,0,2475,0.00%,17.0,FALSE,FALSE,HIGH
ביטול רישום משטרתי,https://jus-tice.co.il/police-records-data-deletion/,1,2329,0.04%,17.0,FALSE,FALSE,HIGH
לשכת רישום מקרקעין,https://jus-tice.co.il/registration-of-real-estate-israel/,0,2233,0.00%,9.9,FALSE,FALSE,HIGH
עורך דין עסקי,https://jus-tice.co.il/types-of-lawyers-small-business/,3,2212,0.14%,6.6,TRUE,FALSE,HIGH
עורכי דין מומלצים,https://jus-tice.co.il/,4,2151,0.19%,13.7,TRUE,FALSE,HIGH
עורך דין לעסקים,https://jus-tice.co.il/types-of-lawyers-small-business/,2,2128,0.09%,8.2,TRUE,FALSE,HIGH
סירוב לבדיקת שכרות,https://jus-tice.co.il/dui-refusal-blood-breath-urine-test/,0,2029,0.00%,18.6,FALSE,FALSE,HIGH
כחול לבן טלגרם,https://jus-tice.co.il/53431-10-21/,9,2000,0.45%,15.2,FALSE,FALSE,HIGH
תשניק,https://jus-tice.co.il/perinatal-asphyxia/,0,1943,0.00%,11.9,FALSE,FALSE,HIGH
"מרב""ד",https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,4,1934,0.21%,9.8,FALSE,FALSE,HIGH
נוטריון מה זה,https://jus-tice.co.il/israel-notary-public/,2,1908,0.10%,11.9,FALSE,FALSE,HIGH
עורכי דין פליליים מומלצים,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,0,1851,0.00%,18.1,TRUE,TRUE,HIGH
ייעוץ עורך דין אונליין חינם,https://jus-tice.co.il/,7,1779,0.39%,11.6,TRUE,FALSE,HIGH
עורך דין דיני עבודה ייעוץ חינם,https://jus-tice.co.il/,5,1774,0.28%,19.3,TRUE,FALSE,HIGH
סוגי עבירות פליליות,https://jus-tice.co.il/%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%9E%D7%A2%D7%A6%D7%A8-%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9E%D7%A2%D7%A6%D7%A8%D7%99%D7%9D-%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/,1,1632,0.06%,12.6,FALSE,TRUE,HIGH
חלוקת עסק בגירושין,https://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%A2%D7%A1%D7%A7-%D7%A0%D7%9B%D7%A1-%D7%90%D7%95-%D7%9E%D7%95%D7%A0%D7%99%D7%98%D7%99%D7%9F-%D7%9E%D7%A2%D7%9E%D7%93%D7%94-%D7%A9%D7%9C-%D7%97%D7%95%D7%93-%D7%9E%D7%95%D7%9E%D7%97%D7%94/,1,1624,0.06%,9.1,FALSE,FALSE,HIGH
להב 433,https://jus-tice.co.il/lahav-433/,7,1616,0.43%,12.2,FALSE,FALSE,HIGH
"חוק העונשין תשל""ז-1977",https://jus-tice.co.il/%D7%97%D7%95%D7%A7-%D7%94%D7%A2%D7%95%D7%A0%D7%A9%D7%99%D7%9F/,4,1584,0.25%,9.1,FALSE,FALSE,HIGH
עורך דין פלילי מפורסם,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,6,1536,0.39%,8.0,TRUE,TRUE,HIGH
סירוב לבדיקת אלכוהול,https://jus-tice.co.il/dui-refusal-blood-breath-urine-test/,0,1499,0.00%,17.9,FALSE,FALSE,HIGH
עורכי דין פליליים מובילים,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,3,1492,0.20%,8.3,TRUE,TRUE,HIGH
עורך דין פלילי מוביל,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,0,1474,0.00%,17.6,TRUE,TRUE,HIGH
