post_id,post_type,status,title,slug,current_url,current_path,has_articles_prefix,modified,practice_areas,categories,source
19315,article,publish,"אלימות במשפחה | צו הגנה, זכויות, עונשים והגנה משפטית","domestic-violence","https://jus-tice.co.il/articles/domestic-violence/","/articles/domestic-violence/",YES,2026-05-14T20:32:50,"170","",REST_API
19313,article,publish,"עבירות מין | סוגי עבירות, עונשים, הגנה וזכויות","sex-offenses","https://jus-tice.co.il/articles/sex-offenses/","/articles/sex-offenses/",YES,2026-05-14T18:25:52,"170","",REST_API
19312,article,publish,"שימוע לפני כתב אישום | המדריך המלא — זכויות, הכנה ותוצאות","pre-indictment-hearing","https://jus-tice.co.il/articles/pre-indictment-hearing/","/articles/pre-indictment-hearing/",YES,2026-05-14T18:24:07,"170","",REST_API
19311,article,publish,"כתב אישום פלילי | המדריך המקיף — שלבים, זכויות והגנה","criminal-indictment","https://jus-tice.co.il/articles/criminal-indictment/","/articles/criminal-indictment/",YES,2026-05-14T17:54:55,"170","",REST_API
19304,article,publish,"ערעור פלילי בישראל | מתי, איך ומה סיכויי ההצלחה","criminal-appeal","https://jus-tice.co.il/articles/criminal-appeal/","/articles/criminal-appeal/",YES,2026-05-15T12:02:50,"170","730",REST_API
19302,article,publish,"רשלנות פלילית בישראל | הגדרה, עונשים ומקרים שכיחים","criminal-negligence","https://jus-tice.co.il/articles/criminal-negligence/","/articles/criminal-negligence/",YES,2026-05-15T12:02:51,"170","730",REST_API
19300,article,publish,"עבירות מס בישראל | סוגים, עונשים והגנות משפטיות","tax-crimes","https://jus-tice.co.il/articles/tax-crimes/","/articles/tax-crimes/",YES,2026-05-15T12:02:53,"170","730",REST_API
19283,article,publish,"מעצר בישראל | סוגי מעצר, זכויות העצור ודרכי שחרור","arrest-rights","https://jus-tice.co.il/articles/arrest-rights/","/articles/arrest-rights/",YES,2026-05-15T12:02:55,"170","730",REST_API
19281,article,publish,"עבירות הונאה ומרמה בישראל | סוגים, עונשים והגנות משפטיות","fraud-types","https://jus-tice.co.il/articles/fraud-types/","/articles/fraud-types/",YES,2026-05-15T12:02:56,"170","730",REST_API
19279,article,publish,"הסדר טיעון בישראל | מדריך מלא להליך, יתרונות וסיכונים","plea-bargain","https://jus-tice.co.il/articles/plea-bargain/","/articles/plea-bargain/",YES,2026-05-15T12:02:58,"170","730",REST_API
19277,article,publish,"נהיגה בשכרות ותחת השפעת סמים בישראל | עונשים וזכויות","driving-under-influence","https://jus-tice.co.il/articles/driving-under-influence/","/articles/driving-under-influence/",YES,2026-05-15T12:03:00,"170","730",REST_API
19275,article,publish,"החזקת סמים בישראל | עונשים, זכויות ואפשרויות משפטיות","drug-possession","https://jus-tice.co.il/articles/drug-possession/","/articles/drug-possession/",YES,2026-05-15T12:03:01,"170","730",REST_API
19273,article,publish,"סחר בסמים בישראל | עונשים, הגנות וכל מה שצריך לדעת","drug-trafficking","https://jus-tice.co.il/articles/drug-trafficking/","/articles/drug-trafficking/",YES,2026-05-15T12:03:03,"170","730",REST_API
19271,article,publish,"עבירות רצח והריגה בישראל | סיווג, עונשים והגנות משפטיות","murder-charges","https://jus-tice.co.il/articles/murder-charges/","/articles/murder-charges/",YES,2026-05-15T12:03:04,"170","730",REST_API
19269,article,publish,"זכויות הנחקר בחקירה משטרתית בישראל | המדריך המלא","police-investigation-rights","https://jus-tice.co.il/articles/police-investigation-rights/","/articles/police-investigation-rights/",YES,2026-05-15T12:03:06,"170","730",REST_API
19267,article,publish,"להב 433 | היחידה הארצית לחקירות הונאה, שחיתות ופשיעה חמורה","lahav-433-guide","https://jus-tice.co.il/articles/lahav-433-guide/","/articles/lahav-433-guide/",YES,2026-05-15T12:03:07,"170","730",REST_API
19265,article,publish,"גניבה מחנות בישראל | עונשים, הגנות משפטיות וזכויות הנחשד","shoplifting-defense","https://jus-tice.co.il/articles/shoplifting-defense/","/articles/shoplifting-defense/",YES,2026-05-15T12:03:09,"170","730",REST_API
19263,article,publish,"עבירות סמים בישראל | סוגי עבירות, עונשים וזכויות הנחקר","drug-crimes","https://jus-tice.co.il/articles/drug-crimes/","/articles/drug-crimes/",YES,2026-05-15T12:03:11,"170","730",REST_API
19261,article,publish,"כמה עולה עורך דין פלילי בישראל? | מדריך מחירים מלא 2026","criminal-lawyer-cost","https://jus-tice.co.il/articles/criminal-lawyer-cost/","/articles/criminal-lawyer-cost/",YES,2026-05-15T12:03:12,"170","730",REST_API
19259,article,publish,"מחיקת רישום פלילי ומשטרתי בישראל | מדריך משפטי מקיף","criminal-record-deletion","https://jus-tice.co.il/articles/criminal-record-deletion/","/articles/criminal-record-deletion/",YES,2026-05-15T12:03:14,"170","730",REST_API
19257,article,publish,"תעודת יושר ואישור העדר רישום פלילי בישראל | מדריך מלא 2026","criminal-record-check","https://jus-tice.co.il/articles/criminal-record-check/","/articles/criminal-record-check/",YES,2026-05-15T12:03:15,"170","730",REST_API
14010,article,publish,"מדריך לאישור הסכם גירושין בבתי הדין הרבניים – 55 כללים מעשיים","rabbinical-agreement-approval","https://jus-tice.co.il/articles/rabbinical-agreement-approval/","/articles/rabbinical-agreement-approval/",YES,2026-05-16T23:29:20,"68","",REST_API
13152,article,publish,"המלצות 2026 עורך דין לענייני משפחה מומלץ  | התייעצות עם עורך דין לענייני משפחה וירושה","most-recommended-family-lawyer","https://jus-tice.co.il/articles/most-recommended-family-lawyer/","/articles/most-recommended-family-lawyer/",YES,2026-05-16T23:29:20,"68","",REST_API
12987,article,publish,"כיצד יראה בעתיד הליך גירושין &#8211; תחזית לשנים הבאות","future-of-divorce-process","https://jus-tice.co.il/articles/future-of-divorce-process/","/articles/future-of-divorce-process/",YES,2026-05-16T23:29:20,"68","",REST_API
12979,article,publish,"עורך דין לענייני משפחה תותח מעל 20 שנות נסיון | ייעוץ חינם &#8211; נתונים עדכניים בדיני המשפחה","experienced-family-law-attorney","https://jus-tice.co.il/articles/experienced-family-law-attorney/","/articles/experienced-family-law-attorney/",YES,2026-05-16T23:29:22,"68","",REST_API
12975,article,publish,"פס&#8221;ד ביטול החלטה לשלום בית ; הקפאת תשלום מזונות אישה","1396562-2","https://jus-tice.co.il/articles/1396562-2/","/articles/1396562-2/",YES,2026-05-16T23:29:22,"68","",REST_API
12946,article,publish,"האם אישה נשואה יכולה להיחשב ידועה בציבור של אחר? מדריך מקיף ידועים בציבור","can-you-be-common-law-married-to-a-married-person","https://jus-tice.co.il/articles/can-you-be-common-law-married-to-a-married-person/","/articles/can-you-be-common-law-married-to-a-married-person/",YES,2026-05-17T07:53:43,"68","",REST_API
12940,article,publish,"אכיפת הסכם גירושין על רקע טענות הדדיות בדבר הפרתו","divorce-agreement-enforcement-claims","https://jus-tice.co.il/articles/divorce-agreement-enforcement-claims/","/articles/divorce-agreement-enforcement-claims/",YES,2026-05-16T23:47:26,"68","",REST_API
12934,article,publish,"גישור משפחתי בישראל ובעולם | גישור וגירושין | נתונים, התפתחות ומגמות עדכניות","family-mediation-updated-trends","https://jus-tice.co.il/articles/family-mediation-updated-trends/","/articles/family-mediation-updated-trends/",YES,2026-05-17T07:53:42,"68","",REST_API
12924,article,publish,"אגף החקירות והמודיעין של משטרת ישראל","investigations-and-intelligence-division","https://jus-tice.co.il/articles/investigations-and-intelligence-division/","/articles/investigations-and-intelligence-division/",YES,2026-05-17T07:53:42,"170","",REST_API
12921,article,publish,"(2025) המומחים המובילים בדיני משפחה","top-experts-family-law","https://jus-tice.co.il/articles/top-experts-family-law/","/articles/top-experts-family-law/",YES,2026-05-16T23:29:25,"68","",REST_API
