package_id,item_type,target,current_status,owner_decision_needed,recommendation,upload_gate,evidence,next_action
FD-PILLAR-OWNER-001,primary_url,/divorce-lawyer/,VERIFIED_PLANNING,Approve as primary divorce-lawyer URL,Use current clean URL as first controlled upload target,OWNER_APPROVAL_REQUIRED,"Side-by-side review plus duplicate comparison","Approve or request more GSC export first"
FD-PILLAR-OWNER-002,merge_source,large Hebrew duplicate,VERIFIED_PLANNING,Approve as section-source not public equal competitor,Mine useful sections into pillar and keep live until migration decision,GSC_API_OR_OWNER_OVERRIDE_REQUIRED,"Duplicate page comparison shows strongest live word count","Use source only after final draft review"
FD-PILLAR-OWNER-003,merge_source,old Hebrew GSC-visible divorce URL,VERIFIED_PLANNING,Approve short-term protection and later merge decision,Protect live until GSC API and owner-approved redirect/canonical map,GSC_API_REQUIRED,"Known browser-GSC evidence for divorce-lawyer query","Do not redirect or canonicalize yet"
FD-PILLAR-OWNER-004,merge_source,selection article,VERIFIED_PLANNING,Approve merge of lawyer-selection guidance into pillar,Use practical criteria only and remove unsupported superlatives,COMPLIANCE_REVIEW_REQUIRED,"Section merge outline FD-MERGE-015","Merge only factual selection guidance"
FD-PILLAR-OWNER-005,merge_source,definition article,VERIFIED_PLANNING,Approve merge of definition intent into pillar,Use what-a-divorce-lawyer-does section and consider later redirect,OWNER_APPROVAL_REQUIRED,"Section merge outline FD-MERGE-004","Hold URL action until GSC API"
FD-PILLAR-OWNER-006,support_page,/divorce-consultation-guide/,VERIFIED_PLANNING,Approve keep separate support role,Link from first-consultation section and do not merge full article,OWNER_APPROVAL_REQUIRED,"Section merge outline FD-MERGE-014","Keep as support"
FD-PILLAR-OWNER-007,support_page,/divorce-mediation/ and /consensual-divorce/,VERIFIED_PLANNING,Approve support-page boundaries,Keep summaries in pillar and link to deep support pages,OWNER_APPROVAL_REQUIRED,"Section merge outline FD-MERGE-007 and FD-MERGE-008","Do not overload pillar"
FD-PILLAR-OWNER-008,support_page,/child-support/ and /child-custody/,LEGAL_REVIEW_REQUIRED,Approve cautious summary plus support links,Keep deep legal explanation on support pages,LEGAL_REVIEW_REQUIRED,"Section merge outline FD-MERGE-009 and FD-MERGE-010","Review terminology and calculator claims"
FD-PILLAR-OWNER-009,support_page,/divorce-property-division/,LEGAL_REVIEW_REQUIRED,Approve property summary plus support link,Keep full property division topic separate,LEGAL_REVIEW_REQUIRED,"Section merge outline FD-MERGE-011","Review property pension debt evidence language"
FD-PILLAR-OWNER-010,content_section,costs,FRESHNESS_REVIEW_REQUIRED,Approve cost section only after freshness check,Use cost drivers not unsupported fixed prices,FRESHNESS_REVIEW_REQUIRED,"Section merge outline FD-MERGE-012","Review /divorce-costs-2025 before linking deeply"
FD-PILLAR-OWNER-011,content_section,documents checklist,DOCUMENT_STRATEGY_REQUIRED,Approve document/template warning posture,Keep checklist general and avoid unsafe template promises,DOCUMENT_STRATEGY_REQUIRED,"Section merge outline FD-MERGE-013","Protect PDF/DOCX until strategy approved"
FD-PILLAR-OWNER-012,content_section,CTA lawyer connection,PROFILE_SAFETY_REQUIRED,Approve neutral CTA only,No fake lawyer cards ratings badges recommendations or ranking claims,PROFILE_SAFETY_REQUIRED,"Section merge outline FD-MERGE-019","Link Maya only after verified-profile safety"
FD-PILLAR-OWNER-013,related_content,/divorce-lawyer/ related cards,PARTIAL,Approve boundary cleanup before upload,Use current clean family-divorce support pages only,OWNER_APPROVAL_REQUIRED,"Live related-card risk documented in merge outline","Prepare manual related URL list if needed"
FD-PILLAR-OWNER-014,url_controls,redirect canonical sitemap hold,BLOCKED,Approve hold state until GSC API and final review,No redirect canonical noindex sitemap deletion or document action yet,GSC_API_AND_OWNER_APPROVAL_REQUIRED,"Execution plan and checklist hold lists","Keep all old URLs live"
FD-PILLAR-OWNER-015,upload_gate,first controlled upload readiness,IN_PROGRESS,Approve final merged draft preparation,Prepare reviewable merged draft/update package before CMS/public upload,OWNER_APPROVAL_REQUIRED,"20-section outline plus owner package","Next cycle can prepare final draft package if approved"
