paste_id,date_range_id,gsc_ui_instruction,export_window_hint,query_cluster,offline_query_filter,page_filter,page_role,export_dimensions,country,device,query,page,clicks,impressions,ctr,position,existing_route_owner,preliminary_cache_status,reviewer_decision,notes_no_pii,source_row,public_action_approved
TA-GSC-PASTE-001,last_16_months,"Use the GSC maximum recent range, normally Last 16 months.",Rolling 16-month window ending on the export date; report prepared 2026-05-27.,exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/divorce-lawyer-tel-aviv/,target_private_local_page,Query + Page,Israel if available,all,,,,,,,/divorce-lawyer-tel-aviv/,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-002,last_90_days,Use the recent 90-day range or the closest equivalent available in the GSC UI.,Recent 90-day window ending on the export date; report prepared 2026-05-27.,exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/divorce-lawyer-tel-aviv/,target_private_local_page,Query + Page,Israel if available,all,,,,,,,/divorce-lawyer-tel-aviv/,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-023,last_16_months,"Use the GSC maximum recent range, normally Last 16 months.",Rolling 16-month window ending on the export date; report prepared 2026-05-27.,broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/divorce-lawyer/,protected_divorce_lawyer_pillar,Query + Page,Israel if available,all,,,,,,,/divorce-lawyer/,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-024,last_90_days,Use the recent 90-day range or the closest equivalent available in the GSC UI.,Recent 90-day window ending on the export date; report prepared 2026-05-27.,broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/divorce-lawyer/,protected_divorce_lawyer_pillar,Query + Page,Israel if available,all,,,,,,,/divorce-lawyer/,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-007,last_16_months,"Use the GSC maximum recent range, normally Last 16 months.",Rolling 16-month window ending on the export date; report prepared 2026-05-27.,exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,/divorce-lawyer-tel-aviv/,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-008,last_90_days,Use the recent 90-day range or the closest equivalent available in the GSC UI.,Recent 90-day window ending on the export date; report prepared 2026-05-27.,exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,/divorce-lawyer-tel-aviv/,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-027,last_16_months,"Use the GSC maximum recent range, normally Last 16 months.",Rolling 16-month window ending on the export date; report prepared 2026-05-27.,broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,/divorce-lawyer/,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-028,last_90_days,Use the recent 90-day range or the closest equivalent available in the GSC UI.,Recent 90-day window ending on the export date; report prepared 2026-05-27.,broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,/divorce-lawyer/,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-047,last_16_months,"Use the GSC maximum recent range, normally Last 16 months.",Rolling 16-month window ending on the export date; report prepared 2026-05-27.,documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,existing document/procedure pages,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-048,last_90_days,Use the recent 90-day range or the closest equivalent available in the GSC UI.,Recent 90-day window ending on the export date; report prepared 2026-05-27.,documents_and_procedure,גירוש* + תעודה/טופס/בקשה/הליך/תיק/גט/מסמך,/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,existing document/procedure pages,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-067,last_16_months,"Use the GSC maximum recent range, normally Last 16 months.",Rolling 16-month window ending on the export date; report prepared 2026-05-27.,settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,"existing settlement, template and mediation pages",not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-068,last_90_days,Use the recent 90-day range or the closest equivalent available in the GSC UI.,Recent 90-day window ending on the export date; report prepared 2026-05-27.,settlement_mediation_agreement,הסכם גירושין / גישור גירושין / גירושין בהסכמה,/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,"existing settlement, template and mediation pages",not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-087,last_16_months,"Use the GSC maximum recent range, normally Last 16 months.",Rolling 16-month window ending on the export date; report prepared 2026-05-27.,cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,existing cost article and divorce pillar,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-088,last_90_days,Use the recent 90-day range or the closest equivalent available in the GSC UI.,Recent 90-day window ending on the export date; report prepared 2026-05-27.,cost_consultation_price,גירוש* + מחיר/עלות/כמה עולה/מחירון,/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,existing cost article and divorce pillar,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-107,last_16_months,"Use the GSC maximum recent range, normally Last 16 months.",Rolling 16-month window ending on the export date; report prepared 2026-05-27.,urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,legal/editor-reviewed help path only,not_filled,not_filled,,focused_export_template,no
TA-GSC-PASTE-108,last_90_days,Use the recent 90-day range or the closest equivalent available in the GSC UI.,Recent 90-day window ending on the export date; report prepared 2026-05-27.,urgent_local_help,גירוש* + דחוף/דיון/תביעה/צו/בית דין,/lawyers/?city=tel-aviv&area=family-law,canonical_tel_aviv_family_law_directory,Query + Page,Israel if available,all,,,,,,,legal/editor-reviewed help path only,not_filled,not_filled,,focused_export_template,no
