קובץ,קטגוריה,מספר רשומות,עם עיר,עם טלפון,עם מספר רישיון/הסמכה מאומת,הערת כיסוי
01_real_estate_appraisers.csv,שמאי מקרקעין,50,45,50,25,יעד 30–50 הושג
02_vehicle_property_appraisers.csv,שמאי רכב ורכוש,50,36,50,0,יעד 30–50 הושג
03_medical_experts.csv,מומחים רפואיים לחוות דעת,46,45,0,0,יעד 30–50 הושג
04_polygraph_institutes.csv,מכוני פוליגרף,40,32,40,0,יעד 30–50 הושג
05_licensed_private_investigators.csv,חוקרים פרטיים מורשים,50,0,0,50,יעד 30–50 הושג
06_forensic_graphologists.csv,גרפולוגים משפטיים,17,4,7,0,נישה: הוחזרו רק ספקים שנמצאו במקורות מפורשים
07_court_transcription.csv,מתמללי בתי משפט,29,25,29,0,נישה: הוחזרו רק ספקים שנמצאו במקורות מפורשים
08_notarial_translators.csv,מתרגמים נוטריוניים,50,50,0,50,יעד 30–50 הושג
09_notaries.csv,נוטריונים,50,50,0,50,יעד 30–50 הושג
10_building_engineers_expert_opinions.csv,מהנדסי בניין לחוות דעת,50,42,50,0,יעד 30–50 הושג
11_safety_experts.csv,מומחי בטיחות,50,46,50,0,יעד 30–50 הושג
12_actuaries_resource_balancing.csv,אקטוארים לאיזון משאבים,21,21,21,0,נישה: הוחזרו רק ספקים שנמצאו במקורות מפורשים
13_forensic_accountants.csv,רואי חשבון חקירתיים,17,1,1,0,נישה: הוחזרו רק ספקים שנמצאו במקורות מפורשים
14_certified_mediators.csv,מגשרים מוסמכים,50,44,50,0,יעד 30–50 הושג
15_arbitrators.csv,בוררים,36,32,36,0,יעד 30–50 הושג
