family_head_term,family_key,severity,total_clicks,total_impressions,designated_winner,competing_urls,url_metrics,resolutions
עורך דין פלילי,עורך דין פלילי,HIGH,8,13251,https://jus-tice.co.il/criminal-defense-attorney/,https://jus-tice.co.il/מחירון-מומלץ-עורך-דין-פלילי/;https://jus-tice.co.il/עורך-דין-פלילי-תותח/;https://jus-tice.co.il/עורכי-דין/עורכי-הדין-המפורסמים-ביותר-להגנה-פליל/;https://jus-tice.co.il/עורך-דין-פלילי-מפורסם-עוד-פלילי-מפורסם-בישראל/;https://jus-tice.co.il/leading-criminal-law-firm/;https://jus-tice.co.il/everything-you-need-to-know-about-becoming-a-criminal-lawyer/,2c/1717i/p26.6;2c/1393i/p24.5;1c/5490i/p60.6;1c/3914i/p47.3;1c/730i/p68.2;1c/7i/p22.4,DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→סנגור פלילי
יועץ נדלן,יועץ נדלן,HIGH,2,2997,https://jus-tice.co.il/מהו-יועץ-נדלן/,https://jus-tice.co.il/מהו-יועץ-נדלן/;https://jus-tice.co.il/האם-כדאי-לעבוד-עם-יועץ-נדלן/,1c/1586i/p23.3;1c/1411i/p22.2,WINNER;DIFFERENTIATE→
עורך דין פלילי מחירון,עורך דין פלילי מחירון,HIGH,57,2252,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/;https://jus-tice.co.il/מחירון-מומלץ-עורך-דין-פלילי/;https://jus-tice.co.il/criminal-law-price-list-lawyer-recommended-review-costs/;https://jus-tice.co.il/עלות-עורך-דין-פלילי-מחירים-שכר-טרחה-ומ/,30c/1050i/p3.3;19c/1062i/p4.9;7c/105i/p2.7;1c/35i/p24.3,WINNER;DIFFERENTIATE→;MERGE-301→https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/;MERGE-301→https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/
דיני גירושין,דיני גירושין,HIGH,0,1910,https://jus-tice.co.il/divorce-everything-you-need-to-know/,https://jus-tice.co.il/divorce-law-in-sweden/;https://jus-tice.co.il/strategic-divorce-cost-planning/;https://jus-tice.co.il/divorce-everything-you-need-to-know/;https://jus-tice.co.il/what-is-a-divorce-settlement-agreement/;https://jus-tice.co.il/articles/הליכי-גירושין-יוצרים-דינים-מיוחדים-בי/;https://jus-tice.co.il/what-should-a-divorce-settlement-agreement-include/;https://jus-tice.co.il/קטגוריות-מאמרים/דיני-משפחה/פסקי-דין-גירושיו-דיני-משפחה-2022/;https://jus-tice.co.il/divorce-costs-2025/;https://jus-tice.co.il/practice-areas/divorce/;https://jus-tice.co.il/leading-divorce-lawyers-worldwide/;https://jus-tice.co.il/מדריך-עדכני-לגירושין/;https://jus-tice.co.il/review-of-divorce-by-divorce-lawyer-israel/;https://jus-tice.co.il/cancel-a-divorce-settlement-agreement/;https://jus-tice.co.il/גירושין-בבלגיה/;https://jus-tice.co.il/property-division-guide-updated-divorce-custody-infidelity/;https://jus-tice.co.il/גירושין-בארצות-הברית/;https://jus-tice.co.il/articles/divorce-law-in-sweden/;https://jus-tice.co.il/practice-areas/family-law/;https://jus-tice.co.il/how-much-does-a-divorce-agreement-cost/,0c/796i/p43.0;0c/527i/p45.8;0c/114i/p55.7;0c/94i/p54.0;0c/107i/p83.2;0c/67i/p65.5;0c/76i/p86.5;0c/38i/p46.5;0c/18i/p48.5;0c/17i/p67.5;0c/14i/p58.9;0c/19i/p81.3;0c/7i/p74.3;0c/5i/p71.4;0c/3i/p45.7;0c/4i/p78.5;0c/1i/p30.0;0c/1i/p32.0;0c/2i/p74.0,"DIFFERENTIATE→דיני גירושין;DIFFERENTIATE→גירושים חכמים : כך תנהלו את פתיחת הליך הגירושין;WINNER;DIFFERENTIATE→איך מכינים הסכם גירושין;DIFFERENTIATE→;DIFFERENTIATE→הסכם גירושין;DIFFERENTIATE→;DIFFERENTIATE→עלויות גירושין;DIFFERENTIATE→;DIFFERENTIATE→עבודת עורכי הדין לגירושין ברחבי העולם;DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→ביטול הסכם גירושין;DIFFERENTIATE→;DIFFERENTIATE→מעודכן למתגרשים בשנת : סטטיסטיקה גירושים, התמודדות;DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→;DIFFERENTIATE→הסכם גירושין מחיר"
עורך דין פלילי שכר,עורך דין פלילי שכר,HIGH,20,1478,https://jus-tice.co.il/criminal-law-lawyer-criminal-israel/,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/;https://jus-tice.co.il/עורך-דין-פלילי-שכר-כמה-מרוויח-עוד-פלילי-בישראל/;https://jus-tice.co.il/criminal-law-price-list-lawyer-recommended-review-costs/,11c/725i/p2.2;8c/725i/p2.8;1c/28i/p33.4,DIFFERENTIATE→עורך דין פלילי מחירון;DIFFERENTIATE→;MERGE-301→https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/
איך מכינים הסכם גירושין,איך מכינים הסכם גירושין,HIGH,0,1442,https://jus-tice.co.il/what-is-a-divorce-settlement-agreement/,https://jus-tice.co.il/free-divorce-agreement-template/;https://jus-tice.co.il/what-is-a-divorce-settlement-agreement/;https://jus-tice.co.il/what-should-a-divorce-settlement-agreement-include/;https://jus-tice.co.il/how-much-does-a-divorce-agreement-cost/;https://jus-tice.co.il/mutual-divorce-agreement-2025/;https://jus-tice.co.il/strategic-divorce-cost-planning/;https://jus-tice.co.il/articles/mutual-divorce-agreement-2025/;https://jus-tice.co.il/cancel-a-divorce-settlement-agreement/;https://jus-tice.co.il/online-family-law-services/,0c/436i/p26.5;0c/370i/p28.3;0c/234i/p23.8;0c/176i/p29.4;0c/147i/p29.7;0c/71i/p41.5;0c/5i/p27.4;0c/2i/p39.5;0c/1i/p96.0,DIFFERENTIATE→הסכם גירושין ללא עורך דין להורדה;WINNER;DIFFERENTIATE→הסכם גירושין;DIFFERENTIATE→הסכם גירושין מחיר;DIFFERENTIATE→גירושין בהסכמה בית הדין הרבני;DIFFERENTIATE→גירושים חכמים : כך תנהלו את פתיחת הליך הגירושין;DIFFERENTIATE→;DIFFERENTIATE→ביטול הסכם גירושין;DIFFERENTIATE→דיני משפחה עורך דין
איזון משאבים בין בני זוג,איזון משאבים בין בני זוג,HIGH,0,1315,https://jus-tice.co.il/decision6199-03-18/,https://jus-tice.co.il/decision6199-03-18/;https://jus-tice.co.il/מועד-הקרע-בגירושין-לצורך-איזון-משאבים-בין-בני-זוג-לשעבר-תלהמ-23952-08-19/;https://jus-tice.co.il/קביעת-מועד-הקרע-לעניין-איזון-המשאבים-בין-בני-זוג-תלהמ-18194-04-22/,0c/547i/p69.3;0c/408i/p67.4;0c/360i/p68.1,WINNER;DIFFERENTIATE→;DIFFERENTIATE→
המלצה על עורך דין,המלצה על עורך דין,HIGH,1,1179,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/;https://jus-tice.co.il/;https://jus-tice.co.il/lawyer-near-me-criminal-law/;https://jus-tice.co.il/types-of-lawyers-small-business/,1c/468i/p15.6;0c/709i/p13.6;0c/1i/p59.0;0c/1i/p82.0,WINNER;DIFFERENTIATE→;DIFFERENTIATE→עורכי הדין להגנה פלילית הטובים ביותר בקרבתי - דירוגי;DIFFERENTIATE→עורך דין מסחרי
כמה עולה עורך דין פלילי,עורך דין פלילי כמה עולה,HIGH,16,906,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/;https://jus-tice.co.il/מחירון-מומלץ-עורך-דין-פלילי/,12c/442i/p2.7;4c/464i/p4.4,WINNER;DIFFERENTIATE→
איתור קונה לנכס,איתור קונה לנכס,HIGH,0,794,https://jus-tice.co.il/real-estate-agent/,https://jus-tice.co.il/real-estate-agent/;https://jus-tice.co.il/איך-לקנות-נדלן-בזול-ולהרוויח/;https://jus-tice.co.il/broker-apartments-real-estate/;https://jus-tice.co.il/buying-property-in-greece/;https://jus-tice.co.il/thailand-real-estate/;https://jus-tice.co.il/buying-property-in-portugal/;https://jus-tice.co.il/איפה-הכי-משתלם-למשקיע-הישראלי-לקנות-דירה-בעולם/;https://jus-tice.co.il/guide-buying-property-portugal-israelis/,0c/448i/p34.0;0c/236i/p35.9;0c/56i/p18.5;0c/33i/p87.6;0c/13i/p65.4;0c/4i/p100.5;0c/2i/p85.5;0c/2i/p86.5,"WINNER;DIFFERENTIATE→;DIFFERENTIATE→מתווך דירות: איך למצוא סוכן נדל""ן טוב;DIFFERENTIATE→בית ביוון;DIFFERENTIATE→כמה עולה לקנות בית בתאילנד;DIFFERENTIATE→קניית נכס בפורטוגל;DIFFERENTIATE→;MERGE-301→https://jus-tice.co.il/buying-property-in-portugal/"
