category,investor_question,short_answer,proof,risk,next_step
product,"Is this really more than a legal content site?","Yes; it connects SEO demand, paid-plan intent, owner payment ops, private dashboard retention and lead CRM","Homepage/plans/checkout/registration/onboarding/dashboard/service desk","Demo data still needed for richest private-area proof","Prepare claimed demo lawyer and assigned demo lead"
money,"Where is the money?","First revenue is lawyer subscriptions and lead access; manual invoice/payment-link path bridges to recurring billing","Lawyer plans checkout fallback billing/payment-link queues","Automatic recurring charges blocked by Grow/Meshulam approval","Close payment approval map products run controlled transaction"
payment,"Can you show real recurring billing?","Not honestly today; paid intent and manual payment-link readiness are live","Checkout compliance payment-link readiness queue","External approval and product/gateway mapping","Enable subscriptions after approval"
customer,"Why will lawyers pay?","They pay when they see qualified demand and ROI","Dashboard plan/status leads lead stages service requests","Need real permissioned lawyer/lead data","Onboard 20-30 lawyers and track conversion"
competition,"What is the moat against Din/PsakDin/LawReviews?","Speed modern UX SEO clusters private-area retention and lifecycle ops","Homepage plans dashboard onboarding service desk","Domain authority takes time","Build clusters internal links reviews and lawyer tools"
seo,"What if Google traffic does not come fast enough?","Near-term path is lawyer outreach plus high-intent clusters and anti-cannibalization","Content/readiness docs and revenue funnel","Competitive keywords take time","Use GSC checks and sales outreach in parallel"
compliance,"Are there legal advertising/compliance risks?","Yes; avoid fake reviews guarantees and misleading payment claims","Compliance pages service desk owner review gates","Bar/payment compliance","Keep owner approval gates"
payment,"Is payment approval finished?","Account exists but recurring billing/invoice automation approval remains a blocker","Grow compliance check passes public-site requirements","Provider approval/setup external","Finalize Grow fixes and run controlled payment"
operations,"What about invoices and refunds?","Request capture is deployed; execution waits on provider setup","Service desk refund/invoice-copy requests","Provider/invoicing setup","Connect approved Grow/Morning flow"
traction,"What traction do you have today?","Product-side funnel and SEO foundation are working; commercial traction needs first paid lawyer cohort","Readiness gate 11 pass 0 repair","Need real paid lawyer data","Run 20-30 lawyer calls"
strategy,"What are the next 30 days?","Payment approval, demo data, first paid lawyers, lead packages and gated SEO clusters","One-page cheat sheet ask","Execution bandwidth","Focus only on payment lawyers leads SEO"
funding,"What will you do with investment?","Compress payment approval lawyer sales CRM proof lead packages and SEO growth","Investor ask section","Misallocation risk","Keep task board revenue-focused"
risk,"What could kill this?","Slow payment approval, slow SEO, poor lead quality, compliance mistakes or weak onboarding","Blocker lists and readiness gates","Real risks","Manual payment bridge lead QA compliance gates direct sales"
timing,"Why now?","Legal search demand is expensive and older portals leave room for a modern operating layer","Competitor strategy docs plans/dashboard","Need market proof through paid users","Use first paid cohort to validate pricing"
ask,"What is the immediate investor ask?","Capital and operator support for first paid cohort and recurring system","Cheat sheet ask","Need fast execution","30-45 day sprint"
