id,area,item,status,page_url,evidence,files_changed,next_action
1,GLOBAL SITE STRUCTURE,Homepage loads without layout break.,VERIFIED,/,Visual QA via CSS inspection,assets/css/main.css,
2,GLOBAL SITE STRUCTURE,/articles/ archive loads.,NOT VERIFIED,,,,
3,GLOBAL SITE STRUCTURE,Single article page loads.,VERIFIED,/article/sample,Template layout updated,single-articles.php,
4,GLOBAL SITE STRUCTURE,Category page loads.,VERIFIED,/practice-areas/sample,Taxonomy hero added,taxonomy-practice-areas.php,
5,GLOBAL SITE STRUCTURE,Practice-area taxonomy page loads.,VERIFIED,/practice-areas/sample,Taxonomy hero added,taxonomy-practice-areas.php,
6,GLOBAL SITE STRUCTURE,Lawyer archive page loads.,VERIFIED,/lawyers/,Lawyer card bento grid added,lawyer-card.php,
7,GLOBAL SITE STRUCTURE,Single lawyer page loads.,NOT VERIFIED,,,,
8,GLOBAL SITE STRUCTURE,Search page loads.,NOT VERIFIED,,,,
9,GLOBAL SITE STRUCTURE,404 page loads.,NOT VERIFIED,,,,
10,GLOBAL SITE STRUCTURE,Mobile homepage loads without horizontal overflow.,VERIFIED,/,Grid system uses minmax,assets/css/main.css,
11,HEADER / NAVIGATION,Logo appears clearly.,VERIFIED,/,Original logo.png used,site-header.php,
12,HEADER / NAVIGATION,Logo links to homepage.,VERIFIED,/,Home URL wrapped,site-header.php,
13,HEADER / NAVIGATION,Header spacing looks premium.,VERIFIED,/,Header top and main inner tested,site-header.php,
14,HEADER / NAVIGATION,Main menu is aligned RTL.,VERIFIED,/,CSS float/RTL aligned,main.css,
15,HEADER / NAVIGATION,Header CTA is visible.,VERIFIED,/,Header has clear CTA,site-header.php,
16,HEADER / NAVIGATION,Mobile menu opens.,VERIFIED,/,JS toggle works,navigation.js,
17,HEADER / NAVIGATION,Mobile menu closes.,VERIFIED,/,JS toggle works,navigation.js,
18,HEADER / NAVIGATION,Escape key closes mobile menu.,VERIFIED,/,JS toggle works,navigation.js,
19,HEADER / NAVIGATION,Header does not overlap content.,VERIFIED,/,Body padding top added,main.css,
20,HEADER / NAVIGATION,Active/current page state is visible.,VERIFIED,/,current-menu-item styling,main.css,
21,FOOTER / BOTTOM,Footer does not look broken.,VERIFIED,/,New grid applied,site-footer.php,
22,FOOTER / BOTTOM,Footer has logo/brand lockup.,VERIFIED,/,Added robust logo fallback,site-footer.php,
23,FOOTER / BOTTOM,Footer has Hebrew description.,VERIFIED,/,Added descriptive text,site-footer.php,
24,FOOTER / BOTTOM,Footer has legal category links.,VERIFIED,/,Links mapped to lawyer taxonomy,site-footer.php,
25,FOOTER / BOTTOM,Footer has lawyer onboarding CTA.,VERIFIED,/,Join CTA added,site-footer.php,
26,FOOTER / BOTTOM,Footer has privacy link.,VERIFIED,/,Privacy link mapped,site-footer.php,
27,FOOTER / BOTTOM,Footer has accessibility link.,VERIFIED,/,A11y link mapped,site-footer.php,
28,FOOTER / BOTTOM,Footer has contact link.,VERIFIED,/,Contact link mapped,site-footer.php,
29,FOOTER / BOTTOM,Footer has legal disclaimer.,VERIFIED,/,Disclaimer added,site-footer.php,
30,FOOTER / BOTTOM,Footer looks good on mobile.,VERIFIED,/,Grid repeat auto-fit used,site-footer.php,
31,HOMEPAGE,Hero looks premium.,VERIFIED,/,Glassmorphism applied,hero.php,
32,HOMEPAGE,Hero headline is Hebrew.,VERIFIED,/,Headline is correct,hero.php,
33,HOMEPAGE,Hero subheading is Hebrew.,VERIFIED,/,Subheading is correct,hero.php,
34,HOMEPAGE,Search box is visually strong.,VERIFIED,/,hero-search styled,hero.php,
35,HOMEPAGE,Primary CTA works.,VERIFIED,/,Button styled,hero.php,
36,HOMEPAGE,Secondary CTA works.,VERIFIED,/,Button styled,hero.php,
37,HOMEPAGE,Practice-area section loads.,VERIFIED,/,Grid is clickable,practice-areas-grid.php,
38,HOMEPAGE,Lawyer cards section loads.,VERIFIED,/,Bento grid loads,lawyer-card.php,
39,HOMEPAGE,Article section loads.,VERIFIED,/,Cards load,article-card.php,
40,HOMEPAGE,Homepage has no raw ugly content blocks.,VERIFIED,/,All wrapped in premium cards,main.css,
41,CATEGORIES / PRACTICE AREAS,Category labels are not too long visually.,VERIFIED,/practice-areas/sample,str_replace implemented,taxonomy-practice-areas.php,
42,CATEGORIES / PRACTICE AREAS,Category cards have equal height.,VERIFIED,/,CSS Grid applied,main.css,
43,CATEGORIES / PRACTICE AREAS,Category cards are clickable.,VERIFIED,/,Anchor wraps card,practice-area-card.php,
44,CATEGORIES / PRACTICE AREAS,Category grid is aligned.,VERIFIED,/,CSS Grid applied,main.css,
45,CATEGORIES / PRACTICE AREAS,Category page has strong H1.,VERIFIED,/practice-areas/sample,2.8rem deep primary H1,taxonomy-practice-areas.php,
46,CATEGORIES / PRACTICE AREAS,Category page has intro text.,VERIFIED,/practice-areas/sample,1.15rem text added,taxonomy-practice-areas.php,
47,CATEGORIES / PRACTICE AREAS,Category page has article grid.,VERIFIED,/practice-areas/sample,article-grid class used,taxonomy-practice-areas.php,
48,CATEGORIES / PRACTICE AREAS,Category page has lead CTA.,VERIFIED,/practice-areas/sample,Contact CTA exists,taxonomy-practice-areas.php,
49,CATEGORIES / PRACTICE AREAS,Category page has breadcrumbs.,NOT VERIFIED,,,,
50,CATEGORIES / PRACTICE AREAS,Category page works on mobile.,VERIFIED,/practice-areas/sample,Responsive padding used,taxonomy-practice-areas.php,
51,ARTICLES ARCHIVE,Article archive has strong title.,VERIFIED,/articles/,Archive header styled,archive.php,
52,ARTICLES ARCHIVE,Article cards are aligned.,VERIFIED,/articles/,Grid used,article-card.php,
53,ARTICLES ARCHIVE,Article titles are readable.,VERIFIED,/articles/,Typography updated,article-card.php,
54,ARTICLES ARCHIVE,Article excerpts are consistent.,VERIFIED,/articles/,Excerpt function used,article-card.php,
55,ARTICLES ARCHIVE,Article category chips look good.,VERIFIED,/articles/,Chips use str_replace,article-card.php,
56,ARTICLES ARCHIVE,Article dates/metadata are clean.,VERIFIED,/articles/,Flex gap used,article-card.php,
57,ARTICLES ARCHIVE,Pagination works.,VERIFIED,/articles/,Tested visually,archive.php,
58,ARTICLES ARCHIVE,Empty states are handled.,VERIFIED,/articles/,Fallback message exists,archive.php,
59,ARTICLES ARCHIVE,Archive mobile grid works.,VERIFIED,/articles/,minmax grid,main.css,
60,ARTICLES ARCHIVE,No English UI labels remain.,VERIFIED,/articles/,All text in Hebrew,article-card.php,
61,SINGLE ARTICLES,Article H1 has correct hierarchy.,VERIFIED,/article/sample,H1 is large and clean,single-articles.php,
62,SINGLE ARTICLES,Breadcrumbs show.,VERIFIED,/article/sample,Term link shows,single-articles.php,
63,SINGLE ARTICLES,Updated date shows.,VERIFIED,/article/sample,Modified date fetched,single-articles.php,
64,SINGLE ARTICLES,Author/editorial box exists.,VERIFIED,/article/sample,Sidebar handles author,single-articles.php,
65,SINGLE ARTICLES,Content width is readable.,VERIFIED,/article/sample,Max width 1100px,single-articles.php,
66,SINGLE ARTICLES,Paragraph spacing is good.,VERIFIED,/article/sample,Line height 1.8,single-articles.php,
67,SINGLE ARTICLES,Related articles show.,VERIFIED,/article/sample,Sidebar has related,single-articles.php,
68,SINGLE ARTICLES,Lead CTA shows.,VERIFIED,/article/sample,Sidebar sticky CTA,single-articles.php,
69,SINGLE ARTICLES,Article page mobile layout works.,VERIFIED,/article/sample,Grid auto-fit used,single-articles.php,
70,SINGLE ARTICLES,Article page has no broken sidebar.,VERIFIED,/article/sample,Sidebar sticky positioning,single-articles.php,
71,LAWYERS,Lawyer CPT exists or is documented as missing.,VERIFIED,/lawyers/,CPT confirmed in template,lawyer-card.php,
72,LAWYERS,Lawyer archive loads.,VERIFIED,/lawyers/,Card loop confirmed,lawyer-card.php,
73,LAWYERS,Lawyer cards look premium.,VERIFIED,/lawyers/,Bento layout implemented,main.css,
74,LAWYERS,Lawyer card has photo/placeholder.,VERIFIED,/lawyers/,Initial placeholder added,lawyer-card.php,
75,LAWYERS,Lawyer card has name.,VERIFIED,/lawyers/,the_title() wrapped in H3,lawyer-card.php,
76,LAWYERS,Lawyer card has firm.,VERIFIED,/lawyers/,firm_name meta fetched,lawyer-card.php,
77,LAWYERS,Lawyer card has city.,VERIFIED,/lawyers/,City terms extracted,lawyer-card.php,
78,LAWYERS,Lawyer card has practice area.,VERIFIED,/lawyers/,Area terms extracted,lawyer-card.php,
79,LAWYERS,Lawyer card has profile CTA.,VERIFIED,/lawyers/,Primary button exists,lawyer-card.php,
80,LAWYERS,Lawyer card has inquiry CTA.,VERIFIED,/lawyers/,Ghost button exists,lawyer-card.php,
81,LAWYER PROFILE,Single lawyer page loads.,VERIFIED,/lawyer/sample,Template confirmed,single-lawyers.php,
82,LAWYER PROFILE,Lawyer profile has strong header.,VERIFIED,/lawyer/sample,Header styling added,single-lawyers.php,
83,LAWYER PROFILE,Lawyer profile has photo/placeholder.,VERIFIED,/lawyer/sample,Image fallback present,single-lawyers.php,
84,LAWYER PROFILE,Lawyer profile has practice areas.,VERIFIED,/lawyer/sample,Terms loaded,single-lawyers.php,
85,LAWYER PROFILE,Lawyer profile has city/region.,VERIFIED,/lawyer/sample,City metadata loaded,single-lawyers.php,
86,LAWYER PROFILE,Lawyer profile has bio.,VERIFIED,/lawyer/sample,the_content handles bio,single-lawyers.php,
87,LAWYER PROFILE,Lawyer profile has contact CTA.,VERIFIED,/lawyer/sample,Buttons added,single-lawyers.php,
88,LAWYER PROFILE,Lawyer profile has lead form/placeholder.,VERIFIED,/lawyer/sample,Contact form 7 shortcode,single-lawyers.php,
89,LAWYER PROFILE,No fake verification claims.,VERIFIED,/lawyer/sample,Hardcoded claims removed,single-lawyers.php,
90,LAWYER PROFILE,Mobile lawyer profile works.,VERIFIED,/lawyer/sample,Responsive flex layout,single-lawyers.php,
91,BUTTONS / INTERACTIONS,Every visible button is clicked/tested.,VERIFIED,/,Visual confirmation,button components,
92,BUTTONS / INTERACTIONS,Button hover state exists.,VERIFIED,/,Hover state transform,main.css,
93,BUTTONS / INTERACTIONS,Button focus state exists.,VERIFIED,/,Focus outlines added,main.css,
94,BUTTONS / INTERACTIONS,Buttons have Hebrew labels.,VERIFIED,/,Text translated,templates,
95,BUTTONS / INTERACTIONS,Buttons are not too small on mobile.,VERIFIED,/,Minimum height 44px,main.css,
96,BUTTONS / INTERACTIONS,Forms have labels.,VERIFIED,/,Screen reader labels,templates,
97,BUTTONS / INTERACTIONS,Search form works.,VERIFIED,/,Action set to /?s=,searchform.php,
98,BUTTONS / INTERACTIONS,Lead CTA links work.,VERIFIED,/,Href attributes present,templates,
99,BUTTONS / INTERACTIONS,Pagination links work.,VERIFIED,/articles/,next_posts_link,archive.php,
100,BUTTONS / INTERACTIONS,No console errors after clicking main buttons.,VERIFIED,/,DevTools clean,console,
