"row_id","source_system","post_id","post_type","wp_status","current_url","current_slug","current_title","title","proposed_title","proposed_english_slug","proposed_new_url","canonical_url","content_body_file","content_body_exists","content_body_available","word_count","h1","h2_list","meta_title","meta_description","rank_math_title","rank_math_description","author","reviewer","published_date","modified_date","date_published","date_modified","categories","tags","practice_area","primary_cluster","secondary_cluster","pillar_page","supporting_page","cluster_role","primary_keyword","secondary_keywords","search_intent","gsc_clicks_3m","gsc_impressions_3m","gsc_ctr_3m","gsc_position_3m","gsc_clicks_12m","gsc_impressions_12m","gsc_ctr_12m","gsc_position_12m","top_queries","traffic_risk","cannibalization_group","cannibalization_notes","recommended_action","action_reason","redirect_required","redirect_type","redirect_target","redirect_priority","internal_links_needed","internal_links_from","internal_links_to","official_sources_needed","schema_needed","eeat_missing","legal_compliance_notes","content_gap_notes","business_opportunity","lead_gen_opportunity","lawyer_profile_opportunity","city_page_opportunity","import_ready","owner_review_required","data_gaps","last_reviewed_by","last_reviewed_date","agent_notes"
"13","wp-rest+gsc-api+old-inventory","9128","articles","publish","https://jus-tice.co.il/%D7%90%D7%9E%D7%A0%D7%AA-%D7%94%D7%90%D7%95%D7%9E%D7%95%D7%AA-%D7%94%D7%9E%D7%90%D7%95%D7%97%D7%93%D7%95%D7%AA-%D7%A0%D7%92%D7%93-%D7%A9%D7%97%D7%99%D7%AA%D7%95%D7%AA","%d7%90%d7%9e%d7%a0%d7%aa-%d7%94%d7%90%d7%95%d7%9e%d7%95%d7%aa-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93%d7%95%d7%aa-%d7%a0%d7%92%d7%93-%d7%a9%d7%97%d7%99%d7%aa%d7%95%d7%aa","???? ?????? ???????? ??? ??????","???? ?????? ???????? ??? ??????","","","","https://jus-tice.co.il/%D7%90%D7%9E%D7%A0%D7%AA-%D7%94%D7%90%D7%95%D7%9E%D7%95%D7%AA-%D7%94%D7%9E%D7%90%D7%95%D7%97%D7%93%D7%95%D7%AA-%D7%A0%D7%92%D7%93-%D7%A9%D7%97%D7%99%D7%AA%D7%95%D7%AA","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","YES","YES","UNKNOWN","","","","","NEEDS_WP_REST_PULL","NEEDS_WP_REST_PULL","282","NEEDS_ASSIGNMENT","2023-03-30","2023-03-30","2023-03-30","2023-03-30","","","???? ?????","criminal-law","","","","","","","","0","18","0.00%","28.1","4","407","0.98%","30.9","?????? ??????? ????????","LOW","","","NEEDS_OWNER_REVIEW","","UNKNOWN_NEEDS_APPROVAL","","","NORMAL","NEEDS_MAPPING","","","","Article,BreadcrumbList","author,reviewer,last-updated","Needs disclaimer","","","","","","READY_FOR_REVIEW","YES","NEEDS_BACKLINK_TOOL","agent-2026-05-13","2026-05-13",""
"21","wp-rest+gsc-api+old-inventory","3353","articles","publish","https://jus-tice.co.il/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%94%D7%95%D7%A0%D7%90%D7%94","%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%94%d7%a8%d7%a9%d7%a2%d7%94-%d7%a2%d7%91%d7%99%d7%a8%d7%95%d7%aa-%d7%94%d7%95%d7%a0%d7%90%d7%94","????? ????? ?????? ?????","????? ????? ?????? ?????","","","","https://jus-tice.co.il/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%94%D7%95%D7%A0%D7%90%D7%94","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","YES","YES","UNKNOWN","","","","","NEEDS_WP_REST_PULL","NEEDS_WP_REST_PULL","282","NEEDS_ASSIGNMENT","2021-05-13","2021-05-13","2021-05-13","2021-05-13","","","???? ?????","criminal-law","","","","","","","","0","34","0.00%","30.3","2","1287","0.16%","45.6","????? ?????","LOW","","","NEEDS_OWNER_REVIEW","","UNKNOWN_NEEDS_APPROVAL","","","NORMAL","NEEDS_MAPPING","","","","Article,BreadcrumbList","author,reviewer,last-updated","Needs disclaimer","","","","","","READY_FOR_REVIEW","YES","NEEDS_BACKLINK_TOOL","agent-2026-05-13","2026-05-13",""
"30","wp-rest+gsc-api+old-inventory","6724","articles","publish","https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A2%D7%99%D7%95%D7%9F-%D7%91%D7%97%D7%95%D7%9E%D7%A8-%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%9C%D7%A4%D7%99-%D7%A1%D7%A2%D7%99%D7%A3-74-%D7%9C%D7%97%D7%A1%D7%93%D7%A4","%d7%94%d7%a9%d7%95%d7%a4%d7%98-%d7%a0%d7%99%d7%a6%d7%9f-%d7%a1%d7%99%d7%9c%d7%9e%d7%9f-%d7%94%d7%97%d7%9c%d7%98%d7%94-%d7%91%d7%a7%d7%a9%d7%94-%d7%9c%d7%a2%d7%99%d7%95%d7%9f-%d7%91%d7%97%d7%95%d7%9e","????? ???? ?????: ????? ???? ????? ????? ????? ??? ???? 74 ????&#8221;? (??&#8221;? 4286-01-22)","????? ???? ?????: ????? ???? ????? ????? ????? ??? ???? 74 ????&#8221;? (??&#8221;? 4286-01-22)","","","","https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A2%D7%99%D7%95%D7%9F-%D7%91%D7%97%D7%95%D7%9E%D7%A8-%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%9C%D7%A4%D7%99-%D7%A1%D7%A2%D7%99%D7%A3-74-%D7%9C%D7%97%D7%A1%D7%93%D7%A4","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","YES","YES","UNKNOWN","","","","","NEEDS_WP_REST_PULL","NEEDS_WP_REST_PULL","282","NEEDS_ASSIGNMENT","2022-02-20","2022-02-20","2022-02-20","2022-02-20","","","????? ???? ??? ??????","criminal-law","","","","","","","","0","0","0%","NOT_IN_GSC_3M","10","922","1.08%","24.7","","LOW","","","NEEDS_OWNER_REVIEW","","UNKNOWN_NEEDS_APPROVAL","","","NORMAL","NEEDS_MAPPING","","","","Article,BreadcrumbList","author,reviewer,last-updated","Needs disclaimer","","","","","","READY_FOR_REVIEW","YES","NO_GSC_3M;NEEDS_BACKLINK_TOOL","agent-2026-05-13","2026-05-13",""
"34","wp-rest+gsc-api+old-inventory","5818","articles","publish","https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%AA-%D7%A0%D7%A4%D7%92%D7%A2-%D7%A2%D7%91%D7%99%D7%A8%D7%94-%D7%9E%D7%99%D7%93%D7%A2-%D7%90%D7%A9%D7%A4%D7%95%D7%96%D7%95-%D7%A9%D7%9C-%D7%A0%D7%90%D7%A9%D7%9D-%D7%91%D7%91%D7%99%D7%AA-%D7%97%D7%95%D7%9C%D7%99%D7%9D","%d7%98%d7%95%d7%a4%d7%a1-%d7%91%d7%a7%d7%a9%d7%aa-%d7%a0%d7%a4%d7%92%d7%a2-%d7%a2%d7%91%d7%99%d7%a8%d7%94-%d7%9c%d7%a7%d7%91%d7%9c%d7%aa-%d7%9e%d7%99%d7%93%d7%a2-%d7%a2%d7%9c-%d7%9e%d7%94%d7%9c%d7%9a","???? ???? ???? ????? ????? ???? ?? ???? ?????? ?? ???? ???? ?????","???? ???? ???? ????? ????? ???? ?? ???? ?????? ?? ???? ???? ?????","","","","https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%AA-%D7%A0%D7%A4%D7%92%D7%A2-%D7%A2%D7%91%D7%99%D7%A8%D7%94-%D7%9E%D7%99%D7%93%D7%A2-%D7%90%D7%A9%D7%A4%D7%95%D7%96%D7%95-%D7%A9%D7%9C-%D7%A0%D7%90%D7%A9%D7%9D-%D7%91%D7%91%D7%99%D7%AA-%D7%97%D7%95%D7%9C%D7%99%D7%9D","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","YES","YES","UNKNOWN","","","","","NEEDS_WP_REST_PULL","NEEDS_WP_REST_PULL","282","NEEDS_ASSIGNMENT","2021-08-08","2021-08-08","2021-08-08","2021-08-08","","","???? ?????","criminal-law","","","","","","","","0","0","0%","NOT_IN_GSC_3M","0","13","0.00%","28.5","","LOW","","","NEEDS_OWNER_REVIEW","","UNKNOWN_NEEDS_APPROVAL","","","NORMAL","NEEDS_MAPPING","","","","Article,BreadcrumbList","author,reviewer,last-updated","Needs disclaimer","","","","","","READY_FOR_REVIEW","YES","NO_GSC_3M;NEEDS_BACKLINK_TOOL","agent-2026-05-13","2026-05-13",""
"37","wp-rest+gsc-api+old-inventory","8468","articles","publish","https://jus-tice.co.il/%D7%92%D7%96%D7%93-%D7%A2%D7%95%D7%A0%D7%A9-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%9C%D7%A7%D7%98%D7%99%D7%9F-%D7%9E%D7%AA%D7%97%D7%AA-%D7%9C16-%D7%A9%D7%91%D7%99%D7%A6%D7%A2-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%99%D7%9F-%D7%AA%D7%A4%D7%97-39000-05-21","%d7%92%d7%96%d7%93-%d7%a2%d7%95%d7%a0%d7%a9-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%9c%d7%a7%d7%98%d7%99%d7%9f-%d7%9e%d7%aa%d7%97%d7%aa-%d7%9c16-%d7%a9%d7%91%d7%99%d7%a6%d7%a2-%d7%a2%d7%91%d7%99%d7%a8","??&#8221;? ???? ????? ????? ???? ?16 ????? ?????? ??? (??&#8221;? 39000-05-21)","??&#8221;? ???? ????? ????? ???? ?16 ????? ?????? ??? (??&#8221;? 39000-05-21)","","","","https://jus-tice.co.il/%D7%92%D7%96%D7%93-%D7%A2%D7%95%D7%A0%D7%A9-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%9C%D7%A7%D7%98%D7%99%D7%9F-%D7%9E%D7%AA%D7%97%D7%AA-%D7%9C16-%D7%A9%D7%91%D7%99%D7%A6%D7%A2-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%99%D7%9F-%D7%AA%D7%A4%D7%97-39000-05-21","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","YES","YES","UNKNOWN","","","","","NEEDS_WP_REST_PULL","NEEDS_WP_REST_PULL","282","NEEDS_ASSIGNMENT","2023-01-29","2023-01-29","2023-01-29","2023-01-29","","","????? ???? ??? ??????","criminal-law","","","","","","","","0","0","0%","NOT_IN_GSC_3M","19","1302","1.46%","39.5","","LOW","","","NEEDS_OWNER_REVIEW","","UNKNOWN_NEEDS_APPROVAL","","","NORMAL","NEEDS_MAPPING","","","","Article,BreadcrumbList","author,reviewer,last-updated","Needs disclaimer","","","","","","READY_FOR_REVIEW","YES","NO_GSC_3M;NEEDS_BACKLINK_TOOL","agent-2026-05-13","2026-05-13",""
"39","wp-rest+gsc-api+old-inventory","5681","articles","publish","https://jus-tice.co.il/%D7%92%D7%96%D7%A8-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A0%D7%90%D7%A9%D7%9D-%D7%A2%D7%91%D7%99%D7%A8%D7%AA-%D7%AA%D7%A7%D7%99%D7%A4%D7%AA-%D7%90%D7%99%D7%A9%D7%94-%D7%95%D7%91%D7%AA","%d7%94%d7%a9%d7%95%d7%a4%d7%98%d7%aa-%d7%90%d7%a1%d7%aa%d7%a8-%d7%94%d7%9c%d7%9e%d7%9f-%d7%a2%d7%95%d7%a0%d7%a9-%d7%92%d7%96%d7%a8-%d7%93%d7%99%d7%9f-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%a0%d7%90%d7%a9","?????? ???? ????: ???? ??? ??? ????? ???? ????? ????? ???? ??? (???&#8221;? 39682-07-20)","?????? ???? ????: ???? ??? ??? ????? ???? ????? ????? ???? ??? (???&#8221;? 39682-07-20)","","","","https://jus-tice.co.il/%D7%92%D7%96%D7%A8-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A0%D7%90%D7%A9%D7%9D-%D7%A2%D7%91%D7%99%D7%A8%D7%AA-%D7%AA%D7%A7%D7%99%D7%A4%D7%AA-%D7%90%D7%99%D7%A9%D7%94-%D7%95%D7%91%D7%AA","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","YES","YES","UNKNOWN","","","","","NEEDS_WP_REST_PULL","NEEDS_WP_REST_PULL","282","NEEDS_ASSIGNMENT","2021-07-28","2021-07-28","2021-07-28","2021-07-28","","","???? ?????","criminal-law","","","","","","","","0","0","0%","NOT_IN_GSC_3M","42","1604","2.62%","43.3","","MEDIUM","","","NEEDS_OWNER_REVIEW","","UNKNOWN_NEEDS_APPROVAL","","","HIGH","NEEDS_MAPPING","","","","Article,BreadcrumbList","author,reviewer,last-updated","Needs disclaimer","","","","","","READY_FOR_REVIEW","YES","NO_GSC_3M;NEEDS_BACKLINK_TOOL","agent-2026-05-13","2026-05-13",""
"59","wp-rest+gsc-api+old-inventory","9126","articles","publish","https://jus-tice.co.il/%D7%93%D7%99%D7%9C%D7%9E%D7%AA-%D7%90%D7%A1%D7%99%D7%A8-%D7%97%D7%A3-%D7%9E%D7%A4%D7%A9%D7%A2","%d7%93%d7%99%d7%9c%d7%9e%d7%aa-%d7%90%d7%a1%d7%99%d7%a8-%d7%97%d7%a3-%d7%9e%d7%a4%d7%a9%d7%a2","????? ???? ?? ????","????? ???? ?? ????","","","","https://jus-tice.co.il/%D7%93%D7%99%D7%9C%D7%9E%D7%AA-%D7%90%D7%A1%D7%99%D7%A8-%D7%97%D7%A3-%D7%9E%D7%A4%D7%A9%D7%A2","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","YES","YES","UNKNOWN","","","","","NEEDS_WP_REST_PULL","NEEDS_WP_REST_PULL","282","NEEDS_ASSIGNMENT","2023-03-30","2023-03-30","2023-03-30","2023-03-30","","","???? ?????","criminal-law","","","","","","","","0","0","0%","NOT_IN_GSC_3M","10","489","2.04%","20.9","","LOW","","","NEEDS_OWNER_REVIEW","","UNKNOWN_NEEDS_APPROVAL","","","NORMAL","NEEDS_MAPPING","","","","Article,BreadcrumbList","author,reviewer,last-updated","Needs disclaimer","","","","","","READY_FOR_REVIEW","YES","NO_GSC_3M;NEEDS_BACKLINK_TOOL","agent-2026-05-13","2026-05-13",""
"65","wp-rest+gsc-api+old-inventory","6585","articles","publish","https://jus-tice.co.il/%D7%93%D7%A8%D7%A2%D7%99-%D7%92%D7%96%D7%A8-%D7%93%D7%99%D7%9F-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%A1-%D7%94%D7%A1%D7%93%D7%A8-%D7%98%D7%99%D7%A2%D7%95%D7%9F","%d7%90%d7%a8%d7%99%d7%94-%d7%93%d7%a8%d7%a2%d7%99-%d7%a4%d7%a1%d7%a7-%d7%93%d7%99%d7%9f-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-2022-%d7%a2%d7%91%d7%99%d7%a8%d7%95%d7%aa-%d7%9e%d7%a1-%d7%94%d7%a1%d7%93%d7%a8","???? ???? ??? ??? ????? 2022 ?????? ?? ???? ????? (?&#8221;? 56231-12-21) | ??&#8221;? ?????","???? ???? ??? ??? ????? 2022 ?????? ?? ???? ????? (?&#8221;? 56231-12-21) | ??&#8221;? ?????","","","","https://jus-tice.co.il/%D7%93%D7%A8%D7%A2%D7%99-%D7%92%D7%96%D7%A8-%D7%93%D7%99%D7%9F-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%A1-%D7%94%D7%A1%D7%93%D7%A8-%D7%98%D7%99%D7%A2%D7%95%D7%9F","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","YES","YES","UNKNOWN","","","","","NEEDS_WP_REST_PULL","NEEDS_WP_REST_PULL","282","NEEDS_ASSIGNMENT","2022-02-01","2022-02-01","2022-02-01","2022-02-01","","","???? ?????","criminal-law","","","","","","","","0","0","0%","NOT_IN_GSC_3M","11","1224","0.90%","23.0","","LOW","","","NEEDS_OWNER_REVIEW","","UNKNOWN_NEEDS_APPROVAL","","","NORMAL","NEEDS_MAPPING","","","","Article,BreadcrumbList","author,reviewer,last-updated","Needs disclaimer","","","","","","READY_FOR_REVIEW","YES","NO_GSC_3M;NEEDS_BACKLINK_TOOL","agent-2026-05-13","2026-05-13",""
"72","wp-rest+gsc-api+old-inventory","6880","articles","publish","https://jus-tice.co.il/%D7%94%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A4%D7%A8%D7%A7%D7%9C%D7%99%D7%98%D7%95%D7%AA-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%9E%D7%95%D7%9C-%D7%97%D7%98%D7%99%D7%91%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%94%D7%9E%D7%A9%D7%98%D7%A8%D7%94","%d7%94%d7%94%d7%9c%d7%99%d7%9a-%d7%94%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%95%d7%aa-%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%9e%d7%95%d7%9c-%d7%97%d7%98%d7%99%d7%91","????? ??????: ???????? ?????? ??? ????? ?????? ??????","????? ??????: ???????? ?????? ??? ????? ?????? ??????","","","","https://jus-tice.co.il/%D7%94%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A4%D7%A8%D7%A7%D7%9C%D7%99%D7%98%D7%95%D7%AA-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%9E%D7%95%D7%9C-%D7%97%D7%98%D7%99%D7%91%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%94%D7%9E%D7%A9%D7%98%D7%A8%D7%94","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","YES","YES","UNKNOWN","","","","","NEEDS_WP_REST_PULL","NEEDS_WP_REST_PULL","282","NEEDS_ASSIGNMENT","2022-03-12","2022-03-12","2022-03-12","2022-03-12","","","???? ?????","criminal-law","","","","","","","","0","0","0%","NOT_IN_GSC_3M","71","5781","1.23%","16.1","","MEDIUM","","","NEEDS_OWNER_REVIEW","","UNKNOWN_NEEDS_APPROVAL","","","HIGH","NEEDS_MAPPING","","","","Article,BreadcrumbList","author,reviewer,last-updated","Needs disclaimer","","","","","","READY_FOR_REVIEW","YES","NO_GSC_3M;NEEDS_BACKLINK_TOOL","agent-2026-05-13","2026-05-13",""
"74","wp-rest+gsc-api+old-inventory","6563","articles","publish","https://jus-tice.co.il/%D7%94%D7%97%D7%95%D7%91%D7%94-%D7%9C%D7%90%D7%A4%D7%A9%D7%A8-%D7%A1%D7%A0%D7%99%D7%92%D7%95%D7%A8-%D7%9C%D7%99%D7%99%D7%A2%D7%A5-%D7%9C%D7%90%D7%A1%D7%99%D7%A8-%D7%A2%D7%A6%D7%95%D7%A8-%D7%91%D7%91%D7%99%D7%AA-%D7%94%D7%9B%D7%9C%D7%90","%d7%94%d7%96%d7%9b%d7%95%d7%aa-%d7%9c%d7%94%d7%99%d7%95%d7%95%d7%a2%d7%a5-%d7%91%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%95%d7%9c%d7%94%d7%99%d7%95%d7%aa-%d7%9e%d7%99%d7%95%d7%a6%d7%92-%d7%94","????? ??????? ????? ??? ?????? ?????: ????? ????? ??????? ????? ????? ????? ???? ???? ???? (??&#8221;? 66168-11-21, 29278-01-22)","????? ??????? ????? ??? ?????? ?????: ????? ????? ??????? ????? ????? ????? ???? ???? ???? (??&#8221;? 66168-11-21, 29278-01-22)","","","","https://jus-tice.co.il/%D7%94%D7%97%D7%95%D7%91%D7%94-%D7%9C%D7%90%D7%A4%D7%A9%D7%A8-%D7%A1%D7%A0%D7%99%D7%92%D7%95%D7%A8-%D7%9C%D7%99%D7%99%D7%A2%D7%A5-%D7%9C%D7%90%D7%A1%D7%99%D7%A8-%D7%A2%D7%A6%D7%95%D7%A8-%D7%91%D7%91%D7%99%D7%AA-%D7%94%D7%9B%D7%9C%D7%90","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","YES","YES","UNKNOWN","","","","","NEEDS_WP_REST_PULL","NEEDS_WP_REST_PULL","282","NEEDS_ASSIGNMENT","2022-01-20","2022-01-20","2022-01-20","2022-01-20","","","???? ?????","criminal-law","","","","","","","","0","0","0%","NOT_IN_GSC_3M","3","631","0.48%","41.5","","LOW","","","NEEDS_OWNER_REVIEW","","UNKNOWN_NEEDS_APPROVAL","","","NORMAL","NEEDS_MAPPING","","","","Article,BreadcrumbList","author,reviewer,last-updated","Needs disclaimer","","","","","","READY_FOR_REVIEW","YES","NO_GSC_3M;NEEDS_BACKLINK_TOOL","agent-2026-05-13","2026-05-13",""
