map_id,wp_area,field_or_action,value,status,why,qa_check,blocked_until
CR-CMS-MAP-001,identity,target_url,https://jus-tice.co.il/criminal-defense-attorney/,VERIFIED_PLANNING,Existing high-impression criminal-law commercial hub URL,Confirm status 200 before and after upload,Owner approves criminal update
CR-CMS-MAP-002,identity,slug,/criminal-defense-attorney/,VERIFIED_PLANNING,No URL change in first rescue edit,Confirm slug unchanged in CMS,Owner approves criminal update
CR-CMS-MAP-003,live_snapshot,http_canonical_robots,"HTTP 200; self-canonical; robots index follow",VERIFIED_LIVE,Live page is crawlable and should be preserved,Recheck source before and after upload,Owner approves criminal update
CR-CMS-MAP-004,backup,current_body,Save full current live body before overwrite,REQUIRED_PRE_UPLOAD,Rollback protection,Backup file or CMS revision exists,Owner approves criminal update
CR-CMS-MAP-005,backup,current_metadata,"Save current title H1 SEO title meta description OG canonical robots taxonomy related links schema source",REQUIRED_PRE_UPLOAD,Rollback protection,Backup values captured before edit,Owner approves criminal update
CR-CMS-MAP-006,content,body_source,project-control/money-query-seo-rescue-edit-blocks-2026-05-19.md,READY_FOR_REVIEW,Exact intro practical CTA and internal-link blocks already exist,Use the criminal-defense section only,Owner approves edit source and legal review
CR-CMS-MAP-007,content,post_title_h1,"עורך דין פלילי לפני חקירה, מעצר או כתב אישום",RECOMMENDED,Clear urgent criminal-law intent without outcome or reputation claims,Confirm exactly one visible H1,Owner approves metadata and legal review
CR-CMS-MAP-008,seo,seo_title,"עורך דין פלילי: חקירה, מעצר, שימוע וכתב אישום | Jus-Tice",RECOMMENDED,Tighter money-query title aligned to urgent user intent,Confirm source title output,Owner approves metadata and legal review
CR-CMS-MAP-009,seo,meta_description,"מדריך מעשי למי שצריך עורך דין פלילי: זכויות לפני חקירה, מעצר, שימוע, כתב אישום, רישום פלילי ומה להכין לפני פנייה.",RECOMMENDED,Answers search intent without recommendation or outcome claims,Confirm meta description in source,Owner approves metadata and legal review
CR-CMS-MAP-010,social,og_title,"עורך דין פלילי: חקירה, מעצר וכתב אישום",RECOMMENDED,Short social title aligned with page topic,Confirm OG title in source,Owner approves metadata and legal review
