target,liveSectionOrder,worksheetDecision,finalDecision,draftTargetSection,liveHeading,liveWords,operatorAction,uploadStatus,sourceFile
"/child-support/","1","COVERED_BY_DRAFT","SKIP_UI_OR_NAV","","משפחה וגירושין","27","Do not import live taxonomy/category navigation text into the article body.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","2","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","H1 and introduction","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב","28","The clean draft already covers the page intent, child-support factors, agreement/claim/change framing and safety disclaimer.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","4","PARTIAL_OVERLAP_REVIEW","SKIP_UI_CTA","","התאמה לעורך דין","47","Do not import generic lawyer-matching CTA copy into the informational body.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","5","PARTIAL_OVERLAP_REVIEW","SKIP_UI_CTA","","מזונות ילדים הסבר ברור לפני פנייה לעורך דין","39","Do not import generic pre-lawyer CTA copy; the draft already has a controlled Jus-Tice help section.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","6","PARTIAL_OVERLAP_REVIEW","SKIP_RELATED_LINK_BLOCK","Related pages","קישור למדריכים תומכים","36","Use the controlled related-pages section instead of importing live related-link UI text.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","7","PARTIAL_OVERLAP_REVIEW","SKIP_UI_CTA","","אפשרות להשארת פנייה מסודרת","32","Do not import generic lead-form CTA copy into the article body.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","8","PARTIAL_OVERLAP_REVIEW","SKIP_RELATED_LINK_BLOCK","Related pages","מסלול קריאה באשכול משפחה וגירושין","27","Use the controlled related-pages section instead of importing live reading-path UI text.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","10","REVIEW_FOR_MERGE","COVERED_NO_ACTION","Introduction","מזונות ילדים: איך בודקים צרכים, הכנסות, זמני שהות וסיכונים לפני הסכם או תביעה","61","The clean draft already explains that child support depends on needs, income, parenting time, housing, prior agreements and family circumstances.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","13","COVERED_BY_DRAFT","COVERED_NO_ACTION","What child support includes","מה כוללים מזונות ילדים?","27","The clean draft already lists recurring and variable child expenses.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","16","COVERED_BY_DRAFT","COVERED_NO_ACTION","Housing and living costs","מדור והוצאות מגורים.","45","The clean draft already covers housing/living costs and the need to separate support from property division.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","17","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","What child support includes","חינוך, צהרונים, חוגים ומסגרות.","41","Covered by the draft and the planned included-vs-separate expense clarification.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","18","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","What child support includes","בריאות, טיפולים ואבחונים.","38","Covered by the draft and the planned included-vs-separate expense clarification.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","19","COVERED_BY_DRAFT","COVERED_NO_ACTION","Extraordinary expenses","הוצאות חריגות.","36","The clean draft already covers extraordinary expenses and disputes after agreement.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","20","REVIEW_FOR_MERGE","MERGE_INTO_DRAFT","What child support includes","נסיעות, ביגוד, ציוד לימודי וצרכים מיוחדים.","30","Add concise wording that a good agreement should distinguish the monthly amount, separately split expenses, documentation, pre-approval and later changes.","NEEDS_DRAFT_EDIT_BEFORE_UPLOAD","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","22","REVIEW_FOR_MERGE","COVERED_NO_ACTION","What affects child support amount?","מה משפיע על חישוב המזונות?","39","The clean draft already covers child age, needs, income, parenting time, housing, extraordinary expenses and existing decisions.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
"/child-support/","23","COVERED_BY_DRAFT","COVERED_NO_ACTION","What affects child support amount?","גיל הילדים","37","The clean draft already covers age and references the post-919/15 complexity without overclaiming.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-support.txt"
