query,date,clicks,impressions,ctr,position
jus tice,2026-04-25,1,1,1,1
oui,2026-05-11,1,1,1,1
חיפוש עורך דין,2026-05-03,1,7,0.14285714285714285,6.714285714285714
חיפוש עורכי דין,2026-05-02,1,5,0.2,10.4
ייעוץ עורך דין אונליין חינם,2026-04-29,1,6,0.16666666666666666,11.5
רעות קסלר,2026-04-26,1,1,1,2
רשות ניירות ערך בעלי תפקידים,2026-04-15,1,2,0.5,2
"""בית משפט""",2026-05-03,0,1,0,33
"""בית משפט""",2026-05-10,0,1,0,32
"""טרקטור משא"" תקנות התעבורה",2026-04-26,0,1,0,8
"""טרקטור משא"" תקנות התעבורה",2026-04-27,0,1,0,9
"""רשלנות רפואית הגדרה""",2026-04-15,0,4,0,12.75
"""רשלנות רפואית הגדרה""",2026-04-16,0,5,0,13
"""רשלנות רפואית הגדרה""",2026-04-17,0,3,0,14
"""רשלנות רפואית הגדרה""",2026-04-18,0,3,0,12.666666666666666
"""רשלנות רפואית הגדרה""",2026-04-19,0,6,0,13.666666666666666
"""רשלנות רפואית הגדרה""",2026-04-20,0,4,0,13.5
"""רשלנות רפואית הגדרה""",2026-04-21,0,4,0,14
"""רשלנות רפואית הגדרה""",2026-04-22,0,2,0,14
"""רשלנות רפואית הגדרה""",2026-04-23,0,3,0,12.333333333333334
"""רשלנות רפואית הגדרה""",2026-04-24,0,6,0,12.666666666666666
"""רשלנות רפואית הגדרה""",2026-04-25,0,2,0,15
121-34,2026-05-06,0,1,0,25
121-34,2026-05-07,0,1,0,30
30. איזה תמרור מורה לעבור מקום מסומן מצדו השמאלי בלבד? 215 123 214 213,2026-04-17,0,3,0,26.333333333333332
30. איזה תמרור מורה לעבור מקום מסומן מצדו השמאלי בלבד? 215 123 214 213,2026-04-18,0,2,0,30.5
513936807,2026-04-28,0,1,0,20
513936807,2026-04-29,0,1,0,22
athens attorneys,2026-04-30,0,1,0,88
business and commercial law consulting services market,2026-04-15,0,1,0,23
business and commercial law consulting services market,2026-04-16,0,2,0,25
business and commercial law consulting services market,2026-04-17,0,3,0,25.333333333333332
business and commercial law consulting services market,2026-04-18,0,1,0,24
business and commercial law consulting services market,2026-04-19,0,1,0,24
business and commercial law consulting services market,2026-04-20,0,3,0,24.333333333333332
business and commercial law consulting services market,2026-04-21,0,1,0,24
corporate legal advisory services comparison by industry,2026-05-04,0,1,0,19
corporate legal advisory services comparisons by industry,2026-04-15,0,1,0,19
corporate legal advisory services comparisons by industry,2026-04-16,0,1,0,17
corporate legal advisory services comparisons by industry,2026-04-17,0,2,0,19.5
corporate legal advisory services comparisons by industry,2026-04-30,0,2,0,17
corporate legal advisory services comparisons by industry,2026-05-03,0,1,0,19
corporate legal advisory services comparisons by industry,2026-05-08,0,1,0,18
corporate legal advisory services comparisons by industry,2026-05-10,0,1,0,17
corporate legal advisory services comparisons by industry,2026-05-11,0,1,0,19
emmanouil peponas,2026-04-20,0,1,0,45
find lawyers,2026-05-01,0,1,0,85
greek american lawyers,2026-04-25,0,1,0,86
how many law firms are in the united states,2026-05-02,0,1,0,39
how many law firms are in the us,2026-04-24,0,1,0,54
how many law firms are there in the us,2026-04-22,0,1,0,11
how many law firms are there in the us,2026-05-07,0,1,0,41
how many law firms in the us,2026-04-24,0,1,0,57
how many law firms in the us,2026-04-30,0,1,0,67
how many law firms in us,2026-04-19,0,1,0,12
