id,current_url,title_or_topic,word_count,quality_score,current_role,gsc_signal,content_quality_signal,internal_link_signal,cannibalization_risk,recommended_action,execution_status,notes
344,https://jus-tice.co.il/tort-lawyer/,Damages / tort lawyer service page,507,4,current_broad_service_candidate,No direct row recorded to this URL; old damages/category URL has weak GSC evidence,Thin current service copy; needs full practical structure,No outgoing internal links in audit,HIGH,EXPAND_AFTER_PRIMARY_APPROVAL,REVIEW_ONLY_NO_PUBLIC_EXECUTION,Compare before expanding or migrating to future personal-injury-lawyer slug.
3222,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,Road accident lawyer current candidate,590,2,current_gsc_visible_car_accident_candidate,84 impressions for road-accident query and 2 impressions for road-accident-lawyer query in prior evidence,Thin and outdated; excerpt leans fatal/criminal accident defense rather than injury-compensation guide,No outgoing internal links in audit,HIGH,PROTECT_REWRITE_OR_MIGRATE_AFTER_MAP,REVIEW_ONLY_NO_PUBLIC_EXECUTION,Do not redirect to car-accident-lawyer before full migration map.
7473,https://jus-tice.co.il/punitive-damage/,Punitive damages specialist article,57276,6,specialist_tort_support,No direct GSC row recorded in current pass,Very long but narrow legal concept; not broad service intent,No outgoing internal links in audit,MEDIUM,PROTECT_SUPPORT_NOT_PRIMARY,REVIEW_ONLY_NO_PUBLIC_EXECUTION,Word count must not make this the personal-injury pillar.
9339,https://jus-tice.co.il/personal-injury-law/,US personal injury article,8005,6,international_boundary,No direct Israeli service-row evidence recorded,US-focused title/content; should not compete with Israeli damages pages,No outgoing internal links in audit,HIGH,SEPARATE_INTERNATIONAL_CLUSTER,REVIEW_ONLY_NO_PUBLIC_EXECUTION,Do not merge into Israeli personal-injury/damages pillar.
10056,https://jus-tice.co.il/tort-reform/,Tort reform informational support,7072,6,informational_tort_support,No direct GSC row recorded in current pass,Long but may be currentness/legal-review sensitive,No outgoing internal links in audit,MEDIUM,SUPPORT_CURRENTNESS_REVIEW,REVIEW_ONLY_NO_PUBLIC_EXECUTION,Support only unless owner/legal review approves another role.
10051,https://jus-tice.co.il/outline-of-tort-law/,Tort law overview support,1443,5,informational_tort_overview,No direct GSC row recorded in current pass,Overview support; may overlap with tort-lawyer if optimized poorly,No outgoing internal links in audit,MEDIUM,SUPPORT_OR_MERGE_REVIEW,REVIEW_ONLY_NO_PUBLIC_EXECUTION,Compare with tort-lawyer and tort reform before merge/expansion.
10053,https://jus-tice.co.il/deep-pocket/,Deep-pocket tort concept,507,4,narrow_tort_concept_support,No direct GSC row recorded in current pass,Thin concept page,No outgoing internal links in audit,LOW,EXPAND_OR_MERGE_REVIEW,REVIEW_ONLY_NO_PUBLIC_EXECUTION,Likely glossary/support or merge candidate after primary is approved.
1108,https://jus-tice.co.il/israel-road-accident-compensation-law/,Road accident compensation law support,524,4,road_accident_legal_support,4 impressions for road-accident query in prior evidence,Thin/outdated but source-relevant,Outgoing links to filing-a-lawsuit and tort-lawyer,HIGH,SOURCE_BACKED_SUPPORT_REWRITE_REVIEW,REVIEW_ONLY_NO_PUBLIC_EXECUTION,Should support car accident page after source/legal review.
6506,https://jus-tice.co.il/compulsory-motor-vehicle-insurance/,Compulsory insurance support,714,2,insurance_support,1 impression for road-accident query in prior evidence,Thin/outdated; insurance intent not service pillar,No outgoing internal links in audit,MEDIUM,SUPPORT_REWRITE_REVIEW,REVIEW_ONLY_NO_PUBLIC_EXECUTION,Keep as support only; avoid policy-specific advice without legal review.
GSC-OLD-DAMAGES-CATEGORY,old Hebrew damages/category URL exact capture needed,Old GSC-visible damages/category URL,UNKNOWN,UNKNOWN,old_url_route_risk,Prior evidence: 0 clicks 2 impressions average position 48 for damages-lawyer query,Exact live content not verified; tested variants currently 301 to homepage because of routing/plugin state,UNKNOWN,HIGH,EXACT_URL_RECHECK_BEFORE_REDIRECT,REVIEW_ONLY_NO_PUBLIC_EXECUTION,Do not delete or redirect blindly; exact URL and 404 routing must be verified first.
FUTURE-PERSONAL-INJURY,https://jus-tice.co.il/personal-injury-lawyer/,Future clean broad service slug,0,0,future_slug_only,No current public URL approved,Would duplicate tort-lawyer if created now,NONE,HIGH,OWNER_PRIMARY_SELECTION_REQUIRED,REVIEW_ONLY_NO_PUBLIC_EXECUTION,No creation or migration before owner approval and 301 map.
FUTURE-CAR-ACCIDENT,https://jus-tice.co.il/car-accident-lawyer/,Future clean car accident slug,0,0,future_slug_only,No current public URL approved; current signal belongs to car-accident-auto-injury-lawyer,Would duplicate protected current page if created now,NONE,HIGH,OWNER_PRIMARY_SELECTION_REQUIRED,REVIEW_ONLY_NO_PUBLIC_EXECUTION,No creation or migration before current URL is mapped.
