gsc_url,gsc_path,clicks_12m,impressions_12m,clicks_3m,impressions_3m,top_queries,has_articles_prefix,traffic_risk
"https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf","/wp-content/uploads/2022/06/06102016_1.pdf",600,5100,99,906,"רשות ניירות ערך בעלי תפקידים | רשות ניירות ערך טלפון | אילן ציוני | רעות קסלר | יקי גולד","NO","HIGH"
"https://jus-tice.co.il/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F/","/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F/",448,113166,0,0,"תחנת משטרה גליל מערבי טלפון | משטרת מודיעין עילית טלפון | ימ ר מרכז טלפון | משטרת אריאל טלפון | משטרת בני ברק טלפון","NO","HIGH"
"https://jus-tice.co.il/lahav-433/","/lahav-433/",296,23091,0,0,"להב 433 הגשת תלונה | להב 433 טלפון | להב 433 | להב 433 תנאי קבלה | להב 433 תפקידים","NO","HIGH"
"https://jus-tice.co.il/","/",268,77562,26,5134,"חיפוש עורך דין לפי שם | תעודת יושר pdf | עורכי דין לפי התמחות | חיפוש עורכי דין | ייעוץ עורך דין אונליין חינם","NO","HIGH"
"https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/","/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/",229,35946,0,0,"עורך דין פלילי מחירון | כמה עולה עורך דין פלילי | שכר טרחה עורך דין פלילי | כמה מרוויח עורך דין פלילי | מחיקת רישום פלילי מחיר","NO","HIGH"
"https://jus-tice.co.il/court-judge/","/court-judge/",221,31932,7,294,"שופט בכיר | יקטרינה צווטקוב | שופט שלום | איתי שרון שופט | ארז מלמד שופט","NO","HIGH"
"https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/","/how-much-will-a-criminal-defense-lawyer-cost/",208,22185,0,0,"עורך דין פלילי מחירון | עורך דין פלילי שכר | כמה עולה עורך דין פלילי | ששי גז מחיר | עורך דין ששי גז מחיר","NO","HIGH"
"https://jus-tice.co.il/apply-for-police-criminal-information-certificates/","/apply-for-police-criminal-information-certificates/",178,36934,0,0,"תעודת יושר pdf | בקשה לתעודת מידע פלילי | תעודת יושר מהמשטרה אונליין | תעודת מידע תעבורתי | טופס רישום פלילי","NO","HIGH"
"https://jus-tice.co.il/free-divorce-agreement-template/","/free-divorce-agreement-template/",173,35601,0,0,"הסכם גירושין ללא עורך דין להורדה | טופס הסכם גירושין להורדה | הסכם גירושין דוגמא doc | דוגמא להסכם גירושין | הסכם גירושין בהסכמה","NO","HIGH"
"https://jus-tice.co.il/force-majeure/","/force-majeure/",153,3889,0,0,"סעיף כוח עליון דוגמא | סעיף כוח עליון | סעיף כוח עליון בחוזה שכירות | כוח עליון הגדרה | מה זה כוח עליון","NO","HIGH"
