decision_id,topic,current_url,live_status,intended_role,source_legal_status,gsc_or_inventory_evidence,decision,recommended_action,owner_approval_required,legal_review_required,url_migration_allowed,content_update_allowed,internal_link_update_allowed,notes
PID-001,personal-injury-lawyer,https://jus-tice.co.il/personal-injury-lawyer/,NOT_APPROVED_CURRENT_URL,future_primary_service,SOURCE_MATRIX_EXISTS,"Strategic future clean commercial slug; exact approved current public page not verified",STRATEGIC_FUTURE_SLUG_NO_CURRENT_EXECUTION,PRIMARY_SELECTION_REQUIRED,YES,YES,NO,NO,NO,"Do not create duplicate page or redirect existing pages"
PID-002,tort-lawyer,https://jus-tice.co.il/tort-lawyer/,VERIFIED_200,current_service_candidate,SOURCE_MATRIX_EXISTS,"ID 344; 507 words; quality 4/10; thin; no internal links",CURRENT_THIN_SERVICE_CANDIDATE,COMPARE_BEFORE_EXPANDING,YES,YES,NO,NO,NO,"Possible current local damages page until future clean slug is approved"
PID-003,car-accident-current,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,VERIFIED_200,current_visible_car_accident_candidate,SOURCE_MATRIX_EXISTS,"ID 3222; 590 words; quality 2/10; GSC visible for תאונת דרכים",PROTECT_CURRENT_GSC_VISIBLE_PAGE,COMPARE_REWRITE_OR_MIGRATION_REVIEW,YES,YES,NO,NO,NO,"Do not migrate to /car-accident-lawyer/ without redirect map"
PID-004,car-accident-lawyer,https://jus-tice.co.il/car-accident-lawyer/,NOT_APPROVED_CURRENT_URL,future_clean_slug,SOURCE_MATRIX_EXISTS,"Slug conflict risk; no exact current clean URL verified",STRATEGIC_FUTURE_CLEAN_SLUG_NO_EXECUTION,SELECT_PRIMARY_AND_PLAN_REDIRECTS_LATER,YES,YES,NO,NO,NO,"Avoid duplicate page creation"
PID-005,road-accident-law,https://jus-tice.co.il/israel-road-accident-compensation-law/,VERIFIED_200,legal_support,SOURCE_MATRIX_EXISTS,"ID 1108; 524 words; quality 4/10; thin/outdated; has internal links",KEEP_AS_ROAD_ACCIDENT_SUPPORT,SOURCE_BACKED_SUPPORT_REWRITE_REVIEW,YES,YES,NO,NO,NO,"Support car-accident page, not service pillar"
PID-006,compulsory-insurance,https://jus-tice.co.il/compulsory-motor-vehicle-insurance/,VERIFIED_200,insurance_support,SOURCE_MATRIX_EXISTS,"ID 6506; 714 words; quality 2/10; thin/outdated",KEEP_OR_REWRITE_AS_INSURANCE_SUPPORT,REWRITE_AS_SUPPORT_AFTER_REVIEW,YES,YES,NO,NO,NO,"No policy-specific insurance advice"
PID-007,punitive-damage,https://jus-tice.co.il/punitive-damage/,VERIFIED_200,specialist_support,SOURCE_MATRIX_EXISTS,"ID 7473; 57276 words; quality 6/10; heuristic pillar by word count only",PROTECT_SPECIALIST_SUPPORT_NOT_PRIMARY,SUPPORT_OR_SPECIALIST_GUIDE_REVIEW,YES,YES,NO,NO,NO,"Word count must not make it the broad pillar"
PID-008,tort-reform,https://jus-tice.co.il/tort-reform/,VERIFIED_200,informational_support,SOURCE_MATRIX_EXISTS,"ID 10056; 7072 words; quality 6/10; no internal links",KEEP_INFORMATIONAL_SUPPORT,REVIEW_CURRENTNESS_AND_SUPPORT_ROLE,YES,YES,NO,NO,NO,"Compare with tort overview and service page"
PID-009,tort-outline,https://jus-tice.co.il/outline-of-tort-law/,VERIFIED_200,informational_support_or_merge_candidate,SOURCE_MATRIX_EXISTS,"ID 10051; 1443 words; quality 5/10; no internal links",KEEP_SUPPORT_OR_MERGE_REVIEW,COMPARE_BEFORE_MERGE_OR_REWRITE,YES,YES,NO,NO,NO,"Could support approved service page"
PID-010,deep-pocket,https://jus-tice.co.il/deep-pocket/,VERIFIED_200,narrow_concept_support,SOURCE_MATRIX_EXISTS,"ID 10053; 507 words; quality 4/10; thin",NARROW_SUPPORT_EXPAND_OR_MERGE_REVIEW,EXPAND_OR_MERGE_REVIEW,YES,YES,NO,NO,NO,"Do not use as pillar"
PID-011,us-personal-injury,https://jus-tice.co.il/personal-injury-law/,VERIFIED_200,international_separate,NOT_VERIFIED_FOR_ISRAELI_LAW,"ID 9339; 8005 words; US-focused title/content",SEPARATE_US_INTERNATIONAL_CONTENT,KEEP_OUT_OF_ISRAELI_SERVICE_CLUSTER,YES,YES,NO,NO,NO,"Do not merge into Israeli personal-injury/damages pages"
PID-012,work-accident-lawyer,https://jus-tice.co.il/work-accident-lawyer/,NOT_APPROVED_CURRENT_URL,future_boundary_page,SOURCE_MATRIX_EXISTS,"Checked תאונת עבודה GSC row had zero visible rows; boundary across damages/employment/national insurance",FUTURE_BOUNDARY_TOPIC_RECHECK_FIRST,GSC_SERP_BOUNDARY_REVIEW,YES,YES,NO,NO,NO,"No new page or internal-link structure yet"
PID-013,old-damages-verdict-taxonomy-url,OLD_HEBREW_OR_TAXONOMY_URL_FROM_GSC,NOT_RECHECKED_THIS_PASS,protected_old_url_or_case_category,SOURCE_MATRIX_NEEDED,"GSC weakly mapped עורך דין נזיקין to an old verdict/category-style URL with 2 impressions",PROTECT_EXACT_URL_RECHECK_REQUIRED,VERIFY_EXACT_URL_AND_CLASSIFY,YES,YES,NO,NO,NO,"No redirect/deletion/canonical/noindex until exact URL is captured"
