backup_id,target,scope,status,required_capture,operator_instruction,blocked_until,verification,next_step,notes
FLR-BACKUP-001,ALL_AFFECTED_PAGES,owner_authorization,BLOCKED_PENDING_OWNER_APPROVAL,"owner decision value; approval timestamp; approved repair scope; operator name","Do not open/save WordPress editor until owner chooses APPROVE_VISIBLE_REPAIR_ONLY or a narrower approved scope.","owner decision recorded","Owner decision exists and matches allowed scope","Owner records APPROVE_VISIBLE_REPAIR_ONLY HOLD_PUBLIC_REPAIR or LEGAL_SOURCE_REVIEW_REQUIRED","No public repair is approved by this template."
FLR-BACKUP-002,ALL_AFFECTED_PAGES,rollback_storage_hygiene,BLOCKED_PENDING_OPERATOR,"rollback storage path; sanitizer note; excluded secrets checklist","Store rollback files outside Git unless sanitized and owner-approved; never commit credentials admin cookies raw DB credentials or private client data.","safe storage location selected","Storage path and exclusions are documented","Prepare safe local/private storage before copying CMS fields","Repo may reference paths but should not contain secrets."
FLR-BACKUP-003,/divorce-agreement/,pre_edit_page_backup,BLOCKED_PENDING_OWNER_APPROVAL_AND_CMS_BACKUP,"post ID; title; slug; permalink; full body; preview URL; SEO title; meta description; canonical; robots; taxonomies; featured image; related fields; schema fields; revision ID; timestamp; screenshots","Capture full page/editor state before fixing raw shortcode text or PDF promise.","owner approval plus full backup","All required fields are captured before edit","After backup repair only approved current-URL visible defects","Highest priority visible repair page."
FLR-BACKUP-004,/divorce-lawyer/,pre_edit_page_backup,BLOCKED_PENDING_OWNER_APPROVAL_AND_CMS_BACKUP,"post ID; title; slug; permalink; full body; preview URL; SEO title; meta description; canonical; robots; taxonomies; featured image; related fields; schema fields; revision ID; timestamp; screenshots","Capture full page/editor state before H1 repair; do not change canonical redirect noindex slug or sitemap.","owner approval plus full backup","All required fields are captured before edit","After backup repair H1/body template only if approved","SEO consolidation remains GSC-gated."
FLR-BACKUP-005,/lawyer-divorce-guide-proceedings-costs-rights/,pre_edit_page_backup,BLOCKED_PENDING_OWNER_APPROVAL_AND_CMS_BACKUP,"post ID; title; slug; permalink; full body; preview URL; SEO title; meta description; canonical; robots; taxonomies; featured image; related fields; schema fields; revision ID; timestamp; screenshots","Capture full page/editor state before H1 repair; do not change canonical redirect noindex slug or sitemap.","owner approval plus full backup","All required fields are captured before edit","After backup repair H1/body template only if approved","Duplicate divorce-lawyer pillar decision remains GSC-gated."
FLR-BACKUP-006,/child-support/,pre_edit_page_backup,BLOCKED_PENDING_OWNER_APPROVAL_AND_CMS_BACKUP,"post ID; title; slug; permalink; full body; preview URL; SEO title; meta description; canonical; robots; taxonomies; featured image; related fields; schema fields; revision ID; timestamp; screenshots","Capture full page/editor state before H1/template repair; preserve current URL and SEO settings.","owner approval plus full backup","All required fields are captured before edit","After backup repair H1/body template only if approved","Support page visible hygiene only."
FLR-BACKUP-007,/child-custody/,pre_edit_page_backup,BLOCKED_PENDING_OWNER_APPROVAL_AND_CMS_BACKUP,"post ID; title; slug; permalink; full body; preview URL; SEO title; meta description; canonical; robots; taxonomies; featured image; related fields; schema fields; revision ID; timestamp; screenshots","Capture full page/editor state before H1/template repair; preserve current URL and SEO settings.","owner approval plus full backup","All required fields are captured before edit","After backup repair H1/body template only if approved","Support page visible hygiene only."
FLR-BACKUP-008,/divorce-mediation/,pre_edit_page_backup,BLOCKED_PENDING_OWNER_APPROVAL_AND_CMS_BACKUP,"post ID; title; slug; permalink; full body; preview URL; SEO title; meta description; canonical; robots; taxonomies; featured image; related fields; schema fields; revision ID; timestamp; screenshots","Capture full page/editor state before H1/template repair; preserve current URL and SEO settings.","owner approval plus full backup","All required fields are captured before edit","After backup repair H1/body template only if approved","Support page visible hygiene only."
FLR-BACKUP-009,/divorce-agreement/,shortcode_pdf_media_backup,BLOCKED_PENDING_OWNER_APPROVAL_AND_CMS_BACKUP,"raw shortcode context; shortcode plugin/module state; PDF attachment ID; PDF file name; PDF public URL; content type; CTA/download text","Capture shortcode and media state before replacing/removing any visible shortcode or PDF promise.","owner approval plus media backup","PDF/media state and shortcode context are captured","Owner decides restore shortcode replace static CTA or remove PDF promise","Do not promise a PDF unless the file returns 200 and PDF content type."
FLR-BACKUP-010,DIVORCE_PILLAR_CANDIDATES,seo_fields_freeze,BLOCKED_GSC_OWNER_DECISION,"current canonical; current robots; current sitemap state; current redirect state; current title/meta for both divorce-lawyer candidates","Freeze SEO fields before any H1 repair; do not consolidate until focused GSC and owner canonical decision exist.","focused GSC export plus owner canonical decision","No SEO field is changed during visible repair","Run Family/Divorce GSC before canonical redirect noindex sitemap decision","This protects existing ranking signals."
