block_id,page_url,field_or_action,current_value,recommended_value,status,why,qa_check,blocked_until
TL-EDIT-001,https://jus-tice.co.il/traffic-lawyer/,target_url,https://jus-tice.co.il/traffic-lawyer/,Keep unchanged,VERIFIED_PLANNING,High-impression zero-click URL should be preserved before migration decisions,Confirm HTTP 200 before and after edit,Owner approval
TL-EDIT-002,https://jus-tice.co.il/traffic-lawyer/,current_gsc_summary,"0 clicks; 20330 impressions; 0.00% CTR; avg position 67.9",Use as baseline,VERIFIED,Shows traffic demand but weak ranking and click capture,Compare after recrawl in GSC,Public edit and recrawl
TL-EDIT-003,https://jus-tice.co.il/traffic-lawyer/,current_title,"עורך דין תעבורה | עורכי דין לענייני תעבורה | Jus-Tice.co.il","עורך דין תעבורה: נהיגה בשכרות, נקודות, שלילה ומשפט | Jus-Tice",RECOMMENDED,Adds urgent traffic-law subintents to broad money keyword,Confirm source title output,Owner approves metadata
TL-EDIT-004,https://jus-tice.co.il/traffic-lawyer/,current_h1,עורך דין תעבורה,"עורך דין תעבורה לנהיגה בשכרות, נקודות ושלילת רישיון",RECOMMENDED,Clearer commercial hub intent,Confirm exactly one visible H1,Owner approves metadata
TL-EDIT-005,https://jus-tice.co.il/traffic-lawyer/,current_meta,"עורך דין תעבורה - נתפסת נוהג תחת השפעת אלכוהול? נסעת במהירות מופרזת? היית מעורב בתאונת דרכים? עורך דין תעבורה מייצג נהגים במגוון של עבירות תנועה. תפקידו של עורך הדין הוא","מדריך מעשי למי שצריך עורך דין תעבורה: דוחות, נקודות, נהיגה בשכרות, מהירות מופרזת, פסילה, מרבד, משפט תעבורה ומה להכין לפני פנייה.",RECOMMENDED,Replaces truncated awkward snippet with clear search-intent summary,Confirm meta description in source,Owner approves metadata
TL-EDIT-006,https://jus-tice.co.il/traffic-lawyer/,og_title,"עורך דין תעבורה | עורכי דין לענייני תעבורה | Jus-Tice.co.il","עורך דין תעבורה: דוחות, נקודות ושלילת רישיון",RECOMMENDED,Shorter social title aligned to user intent,Confirm OG title in source,Owner approves metadata
TL-EDIT-007,https://jus-tice.co.il/traffic-lawyer/,og_description,current meta description,Same as recommended meta description,RECOMMENDED,Consistent share description,Confirm OG description in source,Owner approves metadata
TL-EDIT-008,https://jus-tice.co.il/traffic-lawyer/,intro_block,current body opening,Use exact intro block from markdown package,RECOMMENDED,Improves first-screen intent and issue routing without URL change,Compare first paragraphs after upload,Owner approval and legal/source review
TL-EDIT-009,https://jus-tice.co.il/traffic-lawyer/,practical_section,current support structure,Use exact practical section from markdown package,RECOMMENDED,Adds scan-friendly when-to-contact structure,Confirm H2 and bullet list render,Owner approval and legal/source review
TL-EDIT-010,https://jus-tice.co.il/traffic-lawyer/,cta_block,current CTA,Use exact neutral CTA block from markdown package,RECOMMENDED,Creates lead path without result promise,Confirm CTA has no outcome guarantee,Owner approval and legal/source review
