id,gate,status,evidence,next_action,owner_notice
BTL-01,private_source_pack_loaded,PASS,19 candidate rows; 12 high-priority rows; columns=candidate|source_url|source_type|apparent_focus|source_evidence_summary|priority|geo_hint|crm_action|verification_status|missing_before_routing|notes,Create the first 3-6 private prospects from `.project-control/btl-specialist-prospect-shortlist-2026-05-26.csv`.,No candidate is a recommendation or public listing until manually verified.
BTL-02,crm_supply_panel_available,PASS,"Justice CRM has source-pack conversion, candidate table and outreach packet functions.",Use wp-admin -> Justice CRM -> Bituach Leumi specialist supply to create private prospects.,This screen is owner-only and does not send outreach automatically.
BTL-03,prospect_verification_fields_available,PASS,"Private prospect records include license, specialty, response, payment path, lead fee, terms and billing-contact gates.",Do not mark a prospect ready until all verification-missing checks return empty.,This is the main protection against routing leads to unverified lawyers.
BTL-04,manual_outreach_and_activation_packet_available,PASS,"Prospect edit screen has manual-send outreach, terms acceptance and routable activation copy.",Use these packets manually; record terms before setting prospect status to won/onboarding.,Nothing is sent automatically from the prospect screen.
BTL-05,routing_consent_and_hold_guard_available,PASS,Lead router blocks held/manual external leads unless explicit or owner-verified match consent exists.,Keep WhatsApp/TalkTo/legacy leads on hold until consent evidence is recorded.,Pressing a WhatsApp button is not enough for lawyer/supplier PII handoff.
BTL-06,btl_revenue_hint_and_billing_queue_available,PASS,National-insurance leads can be tagged as qualified appeal leads and moved to manual billing after routing.,"After one controlled routed lead, save invoice/reference before invoice_sent and private payment evidence before paid.",Revenue remains unproven until a real private payment evidence record exists.
BTL-07,controlled_test_drill_available,PASS,"Justice CRM has a first paid-lead preflight, controlled-test drill and payment-proof lock.",Run the controlled test only after 3 verified prospects and 3 active routable specialists exist; report paid revenue only after private payment evidence exists.,This report cannot prove live database counts; check the admin panel before testing.
BTL-08,anti_cannibalization_boundary_documented,PASS,Bituach Leumi attorney route and appeal-guide route have a private intent split packet.,Do not edit public title/H1/body/canonical/redirect/noindex/sitemap/taxonomy until owner/SEO/GSC approval.,"Public pages must explain legal help to the reader, never Jus-Tice revenue logic."
BTL-09,private_path_references_clean,PASS,Source-pack references should point future agents to dot-private `.project-control` artifacts.,Fix any remaining non-dot private report references before telling a remote operator where to work.,Private docs should not suggest public theme-root artifact paths.
BTL-10,runtime_revenue_proof,RUNTIME_BLOCKED,"Repo can verify infrastructure, but cannot prove live WP DB has 3 verified prospects, 3 routable paid lawyers, one consented lead, or payment proof.","Owner/admin must create or verify private prospects, activate routable lawyer profiles, run one consented controlled lead, then record invoice/reference and private payment evidence.",Do not claim first paid Bituach Leumi revenue until the CRM has actual payment evidence.
