file,best_rank,url,word_count,title_or_status,ranks_for
001,1,https://www.alonerez.co.il/,3482,עורך דין פלילי אלון ארז: זמינות 24/7 | יעוץ וליווי משפטי מלא,עורך דין פלילי#1
002,2,https://www.dok.co.il/,4727,עורך דין פלילי מומחה אסף דוק | עורך דין פלילי אסף דוק ⚖️,עורך דין פלילי#2; עורך דין פלילי מפורסם#2
003,3,https://a-law.co.il/,2954,עורך דין פלילי אלון שליכטר - ייצוג משפטי שנלחם למענכם,עורך דין פלילי#3
004,4,https://www.ese.co.il/,4810,עורך דין פלילי: ייצוג יוצאי פרקליטות ושב״כ | עו״ד אלעד שאול,עורך דין פלילי#4
005,1,https://www.costagidi.co.il/%D7%94%D7%A9%D7%95%D7%95%D7%90%D7%AA-%D7%9E%D7%97%D7%99%D7%A8%D7%99%D7%9D-%D7%91%D7%99%D7%9F-%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%99%D7%9D/,1226,השוואת מחירים בין עורכי דין פליליים - המרכז לייעוץ בפלילים,עורך דין פלילי מחיר#1
006,2,https://www.alonerez.co.il/%D7%A2%D7%9C%D7%95%D7%AA-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%92%D7%95%D7%A8%D7%9E%D7%99%D7%9D-%D7%9E%D7%A9%D7%AA%D7%A0%D7%99%D7%9D-%D7%95%D7%99%D7%AA%D7%A8/,1158,כמה עולה עורך דין פלילי? | עורך דין אלון ארז,עורך דין פלילי מחיר#2
007,4,https://sbd-law.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/,1522,"עורך דין פלילי מחירון -עו""ד פלילי בן דור לשעבר בלש, חוקר וטוען מעצרים",עורך דין פלילי מחיר#4
008,1,https://www.gov.il/he/pages/police_criminal_information_closed_cases,127,Attention Required! | Cloudflare,מחיקת רישום משטרתי#1; מחיקת רישום פלילי#1
009,2,https://www.kolzchut.org.il/he/%D7%91%D7%99%D7%98%D7%95%D7%9C_%D7%A8%D7%99%D7%A9%D7%95%D7%9D_%D7%9E%D7%A9%D7%98%D7%A8%D7%AA%D7%99_%D7%A9%D7%9C_%D7%AA%D7%99%D7%A7%D7%99%D7%9D_%D7%A1%D7%92%D7%95%D7%A8%D7%99%D7%9D,920,ביטול רישום משטרתי של תיקים סגורים (הליך) – כל-זכות,מחיקת רישום משטרתי#2; מחיקת רישום פלילי#3
010,3,https://rishump.co.il/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%A8%D7%99%D7%A9%D7%95%D7%9D-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/,1825,"מחיקת רישום פלילי לקבלת הזדמנות שנייה - עו""ד יפתח לנדאו",מחיקת רישום משטרתי#3; מחיקת רישום פלילי#4
011,4,https://www.geda-law.co.il/post/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%A8%D7%99%D7%A9%D7%95%D7%9D-%D7%A4%D7%9C%D7%99%D7%9C%D7%99,2237,מחיקת רישום פלילי: המדריך המעודכן לשנת 2026 על פי החוק החדש!,מחיקת רישום משטרתי#4; מחיקת רישום פלילי#2; רישום פלילי כמה שנים#2
012,1,https://reichert-law.co.il/%D7%AA%D7%97%D7%95%D7%9E%D7%99-%D7%A2%D7%99%D7%A1%D7%95%D7%A7/%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%99%D7%9F/,1506,"עורך דין עבירות מין - ייעוץ וליווי משפטי עם עו""ד עידית רייכרט 27 שנות ניסיון",עורך דין עבירות מין#1
013,2,https://www.shklyar-law.co.il/2022/06/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%99%D7%9F/,1204,עורך דין עבירות מין | עורך דין הטרדה מינית > ניסיון רב! - יעקב שקלאר,עורך דין עבירות מין#2
014,3,https://www.geda-law.co.il/post/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%99%D7%9F,2446,"עורך דין עבירות מין | ייעוץ וייצוג משפטי מיידי - עו""ד ברוך גדע",עורך דין עבירות מין#3
015,4,https://law-edri.co.il/%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99%D7%A0%D7%95/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%99%D7%9F/,2032,עורך דין עבירות מין: ייצוג וליווי נאשמים וחשודים | עו״ד אדרי,עורך דין עבירות מין#4
016,1,https://www.alonerez.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A1%D7%9E%D7%99%D7%9D/,2743,"עורך דין סמים: עו""ד מומחה לעבירות סמים [24/7] ⚖ | אלון ארז",עורך דין עבירות סמים#1
017,2,https://a-law.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A1%D7%9E%D7%99%D7%9D/,3029,עורך דין סמים - ייצוג משפטי אישי בעבירות סמים I אלון שליכטר,עורך דין עבירות סמים#2
018,3,https://www.din.co.il/SearchLawyer.asp?it=31&cid=311&scid=178,3094,"עורכי דין עבירות סמים - 49 עורכי דין, 839 המלצות • din.co.il",עורך דין עבירות סמים#3
019,4,https://www.geda-law.co.il/%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%A1%D7%9E%D7%99%D7%9D,1410,"עבירות סמים: העונשים, הזכויות וכל מה שחשוב לדעת | עו""ד פלילי ברוך גדע",עורך דין עבירות סמים#4
020,1,https://www.ese.co.il/money-laundering-punishment/,4664,"הלבנת הון עונש: להתכונן חכם | עו""ד אלעד שאול ושות'",הלבנת הון עונש#1
021,2,https://www.plili.org.il/%D7%94%D7%9C%D7%91%D7%A0%D7%AA-%D7%94%D7%95%D7%9F/,1892,עורך דין הלבנת הון - מהם העונשים וההשלכות בגין עבירה זו? | הפליליסט,הלבנת הון עונש#2
022,3,https://zivalaw.co.il/blog/money-laundering/,2706,עבירות הלבנת הון: מה העונש ומה אפשר לעשות | זיוה אגמי ושות',הלבנת הון עונש#3
023,4,https://mrlawyer.co.il/%D7%94%D7%9C%D7%91%D7%A0%D7%AA-%D7%94%D7%95%D7%9F/,1344,"הלבנת הון - רגב, מזרחי עורך דין",הלבנת הון עונש#4
024,1,https://www.kolzchut.org.il/he/%D7%99%D7%99%D7%A6%D7%95%D7%92_%D7%A2%D7%9C_%D7%99%D7%93%D7%99_%D7%A1%D7%A0%D7%99%D7%92%D7%95%D7%A8_%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99_%D7%91%D7%94%D7%9C%D7%99%D7%9A_%D7%A4%D7%9C%D7%99%D7%9C%D7%99,826,ייצוג על ידי סניגור ציבורי בהליך פלילי (זכות) – כל-זכות,סנגור פלילי#1
025,2,https://www.yairegev.co.il/,1006,"עורך דין פלילי | ייעוץ משפטי | סנגור פלילי משרד עו""ד פלילי יאיר רגב",סנגור פלילי#2
026,3,https://www.danielkfir.com/%D7%A1%D7%A0%D7%92%D7%95%D7%A8/,921,"סנגור פלילי מורן לוי - עורך דין פלילי בתל אביב | משרד עורכי דין דניאל כפיר, מורן לוי",סנגור פלילי#3
027,4,https://www.dok.co.il/%D7%9B%D7%99%D7%A6%D7%93-%D7%9E%D7%A9%D7%A4%D7%99%D7%A2-%D7%A1%D7%A0%D7%92%D7%95%D7%A8-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A2%D7%9C-%D7%A9%D7%99%D7%A7%D7%95%D7%9C%D7%99-%D7%91%D7%99%D7%AA-%D7%94%D7%9E%D7%A9%D7%A4%D7%98/,3147,כיצד משפיע סנגור פלילי על שיקולי בית המשפט | עורך דין פלילי אסף דוק ⚖️,סנגור פלילי#4
028,1,https://www.kolzchut.org.il/he/%D7%9E%D7%A2%D7%A6%D7%A8_%D7%99%D7%9E%D7%99%D7%9D_(%D7%9E%D7%A2%D7%A6%D7%A8_%D7%9C%D7%A6%D7%95%D7%A8%D7%9A_%D7%97%D7%A7%D7%99%D7%A8%D7%94),1048,מעצר ימים (מעצר לצורך חקירה) (מושג) – כל-זכות,הארכת מעצר ימים#1
029,2,https://he.wikipedia.org/wiki/%D7%9E%D7%A2%D7%A6%D7%A8_%D7%99%D7%9E%D7%99%D7%9D,885,מעצר ימים – ויקיפדיה,הארכת מעצר ימים#2
030,3,https://www.geda-law.co.il/%D7%9E%D7%A2%D7%A6%D7%A8-%D7%99%D7%9E%D7%99%D7%9D-%D7%94%D7%90%D7%A8%D7%9B%D7%AA-%D7%9E%D7%A2%D7%A6%D7%A8-%D7%99%D7%9E%D7%99%D7%9D,1269,"מעצר ימים | הארכת מעצר ימים | שחרור ממעצר ימים | ברוך גדע-עו""ד פלילי ⚖️",הארכת מעצר ימים#3; שחרור ממעצר#1
031,4,https://altit.co.il/%D7%9E%D7%A2%D7%A6%D7%A8-%D7%99%D7%9E%D7%99%D7%9D/,1354,מעצר ימים - כל מה שחשוב לדעת: עורך דין פלילי תמיר אלטיט,הארכת מעצר ימים#4
032,1,https://www.boaztaxes.com/%D7%9E%D7%A9%D7%A4%D7%98-%D7%91%D7%99%D7%A0%D7%9C%D7%90%D7%95%D7%9E%D7%99/%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%94%D7%95%D7%A0%D7%90%D7%94/,1418,עבירות הונאה - עורך דין הונאות - עו״ד בועז ראובן,עורך דין הונאה#1
033,2,https://www.lawreviews.co.il/search/service/fraud-offenses/north/haifa,2362,עורך דין הונאה ומרמה בחיפה מומלץ | LawReviews,עורך דין הונאה#2
034,3,https://www.rmjustice.com/%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%A8%D7%9E%D7%94-%D7%95%D7%94%D7%95%D7%A0%D7%90%D7%94/,580,עבירות מרמה והונאה -עורך דין הונאה ומרמה רוני מרטן,עורך דין הונאה#3
035,4,https://www.blitshtein-law.com/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%94%D7%95%D7%A0%D7%90%D7%94-%D7%95%D7%9E%D7%A8%D7%9E%D7%94/,2642,עורך דין הונאה ומרמה - קבלת פיצוי כספי עקב מרמה והונאה ⚖️,עורך דין הונאה#4
036,1,https://bayerlaw.co.il/shoplifting-what-is-the-punishment-for-shoplifting/,1292,"מה העונש על גניבה מחנות או מסופר? | עו""ד גיל בר-אור",גניבה מחנות עונש#1
037,2,https://crime-law.co.il/theft-offense/,3120,"עבירת גניבה: מה העונש ע""פ חוק העונשין? | עו""ד ניר רוטנברג",גניבה מחנות עונש#2
038,3,https://weissmeir.co.il/shoplifting-lawyer-theft-crime/,3276,עורך דין גניבה מחנות: מה עושים כשנתפסים על גניבה מחנות? - עורך דין פלילי,גניבה מחנות עונש#3
039,4,https://www.din.co.il/forum101/321843/,772,גניבה מחנות בגדים בקניון ללא משטרה | פורום חקירה במשטרה • din.co.il,גניבה מחנות עונש#4
040,1,https://www.gov.il/he/service/request-for-criminal-information-certificate,127,Attention Required! | Cloudflare,תעודת מידע פלילי#1
041,2,https://www.gov.il/he/pages/police_criminal_information_certificates,127,Attention Required! | Cloudflare,תעודת מידע פלילי#2
042,3,https://embassies.gov.il/singapore/he/announcements/twdt-myd-plyly-dygytlyt-bbryt-wbnglyt,134,תעודת מידע פלילי דיגיטלית בעברית ובאנגלית | Ministry of Foreign Affairs,תעודת מידע פלילי#3
043,4,https://www.kolzchut.org.il/he/%D7%A2%D7%99%D7%95%D7%9F_%D7%A9%D7%9C_%D7%90%D7%93%D7%9D_%D7%91%D7%9E%D7%99%D7%93%D7%A2_%D7%A4%D7%9C%D7%99%D7%9C%D7%99_(%D7%9E%D7%A8%D7%A9%D7%9D_%D7%A4%D7%9C%D7%99%D7%9C%D7%99_%D7%90%D7%95_%D7%9E%D7%A9%D7%98%D7%A8%D7%AA%D7%99)_%D7%A2%D7%9C_%D7%A2%D7%A6%D7%9E%D7%95,1176,עיון של אדם במידע פלילי (מרשם פלילי או משטרתי) על עצמו (זכות) – כל-זכות,תעודת מידע פלילי#4
044,1,https://www.mr-adv.co.il/summons-for-interrogation-witness-summons/,1447,"זימון לחקירה במשטרה: מה חובה לדעת לפני החקירה? | משרד עו""ד מנשה-רון",זימון לחקירה במשטרה#1
045,2,https://crime-law.co.il/summons-for-police-questioning-by-phone/,5006,זימון לחקירה במשטרה בטלפון | עורך דין פלילי שגיב רוטנברג,זימון לחקירה במשטרה#2
046,3,https://a-law.co.il/zimon-le-hakira-bamishtra/,2273,זימון לחקירה במשטרה - מדריך לפני חקירה,זימון לחקירה במשטרה#3
047,4,https://www.ese.co.il/%D7%96%D7%99%D7%9E%D7%95%D7%9F-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%91%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%96%D7%99%D7%9E%D7%95%D7%9F-%D7%98%D7%9C%D7%A4%D7%95/,4441,זימון לחקירה במשטרה: איך להתמודד והאם חובה להתייצב? אלעד שאול ושות',זימון לחקירה במשטרה#4
048,1,https://www.mh-law.co.il/%D7%9C%D7%99%D7%95%D7%95%D7%99-%D7%91%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%AA-%D7%9C%D7%90-%D7%A8%D7%A7-%D7%96%D7%9B%D7%95%D7%AA-%D7%94%D7%A9%D7%AA%D7%99%D7%A7%D7%94-%D7%9E/,882,זכויות הנחקר במשטרה לא רק זכות השתיקה בחקירה,זכויות נחקר במשטרה#1
049,2,https://www.costagidi.co.il/%D7%9B%D7%9C%D7%9C%D7%99-%D7%91%D7%A8%D7%96%D7%9C-%D7%9C%D7%A0%D7%97%D7%A7%D7%A8-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,2371,חקירה במשטרה: 5 כללי ברזל שיצילו אותך [מדריך משפטי],זכויות נחקר במשטרה#2
050,3,https://www.kolzchut.org.il/he/%D7%96%D7%9B%D7%95%D7%AA_%D7%94%D7%A9%D7%AA%D7%99%D7%A7%D7%94_%D7%91%D7%9E%D7%94%D7%9C%D7%9A_%D7%97%D7%A7%D7%99%D7%A8%D7%94,617,זכות השתיקה במהלך חקירה (זכות) – כל-זכות,זכויות נחקר במשטרה#3
051,4,https://www.geda-law.co.il/post/%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94,2280,"חקירה במשטרה – מה עושים לפני חקירה? 10 טיפים שחייבים לדעת | עו""ד ברוך גדע",זכויות נחקר במשטרה#4
052,1,https://he.wikipedia.org/wiki/%D7%94%D7%A1%D7%93%D7%A8_%D7%98%D7%99%D7%A2%D7%95%D7%9F,2339,הסדר טיעון – ויקיפדיה,עסקת טיעון#1
053,2,https://sagivlaw.com/%D7%A2%D7%A1%D7%A7%D7%AA-%D7%98%D7%99%D7%A2%D7%95%D7%9F/,23,תחזוקה מתוזמנת,עסקת טיעון#2
054,3,https://reichert-law.co.il/%D7%94%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99/%D7%94%D7%A1%D7%93%D7%A8-%D7%98%D7%99%D7%A2%D7%95%D7%9F/,2156,"הסדר טיעון – יתרונות, חסרונות וכל מה שחשוב לדעת ⭐️ | עו""ד רייכרט",עסקת טיעון#3
