map_id,wp_area,field_or_action,value,status,why,qa_check,blocked_until
TL-CMS-MAP-001,identity,target_url,https://jus-tice.co.il/traffic-lawyer/,VERIFIED_PLANNING,Existing high-impression zero-click traffic-law commercial hub URL,Confirm status 200 before and after upload,Owner approves traffic update
TL-CMS-MAP-002,identity,slug,/traffic-lawyer/,VERIFIED_PLANNING,No URL change in first rescue edit,Confirm slug unchanged in CMS,Owner approves traffic update
TL-CMS-MAP-003,live_snapshot,http_canonical_robots,"HTTP 200; self-canonical; robots index follow",VERIFIED_LIVE,Live page is crawlable and should be preserved,Recheck source before and after upload,Owner approves traffic update
TL-CMS-MAP-004,live_snapshot,current_fields,"Title: עורך דין תעבורה | עורכי דין לענייני תעבורה | Jus-Tice.co.il; H1: עורך דין תעבורה; canonical self; source size 77819 bytes",VERIFIED_LIVE,Captures baseline for comparison before public edit,Compare source after approved upload,Owner approves traffic update
TL-CMS-MAP-005,gsc,current_gsc_summary,"0 clicks; 20330 impressions; 0.00% CTR; avg position 67.9",VERIFIED,Shows traffic-law demand but weak ranking/click capture,Compare after recrawl in GSC,Public edit and recrawl
TL-CMS-MAP-006,backup,current_body,Save full current live body before overwrite,REQUIRED_PRE_UPLOAD,Rollback protection,Backup file or CMS revision exists,Owner approves traffic update
TL-CMS-MAP-007,backup,current_metadata,"Save current title H1 SEO title meta description OG canonical robots taxonomy related links schema source",REQUIRED_PRE_UPLOAD,Rollback protection,Backup values captured before edit,Owner approves traffic update
TL-CMS-MAP-008,content,body_source,project-control/traffic-lawyer-seo-rescue-edit-blocks-2026-05-19.md,READY_FOR_REVIEW,Exact intro practical CTA and internal-link blocks already exist,Use the traffic-lawyer section only,Owner approves edit source and legal review
TL-CMS-MAP-009,content,post_title_h1,"עורך דין תעבורה לנהיגה בשכרות, נקודות ושלילת רישיון",RECOMMENDED,Clearer commercial traffic-law intent without outcome or reputation claims,Confirm exactly one visible H1,Owner approves metadata and legal review
TL-CMS-MAP-010,seo,seo_title,"עורך דין תעבורה: נהיגה בשכרות, נקודות, שלילה ומשפט | Jus-Tice",RECOMMENDED,Tighter money-query title aligned to urgent user intent,Confirm source title output,Owner approves metadata and legal review
TL-CMS-MAP-011,seo,meta_description,"מדריך מעשי למי שצריך עורך דין תעבורה: דוחות, נקודות, נהיגה בשכרות, מהירות מופרזת, פסילה, מרבד, משפט תעבורה ומה להכין לפני פנייה.",RECOMMENDED,Answers search intent without recommendation or outcome claims,Confirm meta description in source,Owner approves metadata and legal review
TL-CMS-MAP-012,social,og_title,"עורך דין תעבורה: דוחות, נקודות ושלילת רישיון",RECOMMENDED,Short social title aligned with page topic,Confirm OG title in source,Owner approves metadata and legal review
TL-CMS-MAP-013,social,og_description,"מדריך מעשי למי שצריך עורך דין תעבורה: דוחות, נקודות, נהיגה בשכרות, מהירות מופרזת, פסילה, מרבד, משפט תעבורה ומה להכין לפני פנייה.",RECOMMENDED,Consistent share description,Confirm OG description in source,Owner approves metadata and legal review
TL-CMS-MAP-014,navigation,breadcrumb_label,עורך דין תעבורה,RECOMMENDED,Short navigational label,Confirm breadcrumb and BreadcrumbList output,Owner approves metadata
TL-CMS-MAP-015,seo,canonical,https://jus-tice.co.il/traffic-lawyer/,VERIFIED_PLANNING,Self-canonical avoids migration risk,Confirm canonical unchanged,Owner approves upload
TL-CMS-MAP-016,seo,robots,index follow,VERIFIED_PLANNING,The live page is already indexable and should stay indexable after QA,Confirm no accidental noindex,Owner approves upload
TL-CMS-MAP-017,taxonomy,practice_area,existing traffic-law practice area only,RECOMMENDED,Avoid taxonomy fragmentation during first page update,Confirm no new term was created,Owner approves taxonomy use
TL-CMS-MAP-018,body,intro_block,Use traffic-lawyer intro block from traffic SEO rescue file,BLOCKED_UNTIL_LEGAL_REVIEW,Improves first-screen urgent intent but sensitive legal wording needs review,Compare first paragraphs after upload,Owner approves body edit and legal review
TL-CMS-MAP-019,body,practical_section,Use traffic-lawyer practical section from traffic SEO rescue file,BLOCKED_UNTIL_LEGAL_REVIEW,Adds user-intent structure around DUI points suspension speeding court and Marvad issues,Confirm H2 and bullet list render,Owner approves body edit and legal review
TL-CMS-MAP-020,cta,neutral_cta,Use traffic-lawyer CTA block from traffic SEO rescue file,BLOCKED_UNTIL_LEGAL_REVIEW,Creates lead path without outcome promise or panic language,Confirm CTA contains no blocked claims,Owner approves body edit and legal review
TL-CMS-MAP-021,internal_links,outbound_contextual,"/driving-under-the-influence/; /dui-refusal-blood-breath-urine-test/; /yanshuf-breathalyzer-test/; /blood-alcohol-content-breathalyzer/; /speeding/; /driver-with-36-valid-points-or-more-will-be-disqualified-from-holding-a-drivers-license/; /medical-fitness-tests-for-driving-marvad-info/; /lawyers/?area=traffic-law",RECOMMENDED,Connects traffic hub to live support and directory pages,Confirm all new links return 200,Owner approves internal links
TL-CMS-MAP-022,internal_links,support_target_status,"Hub plus eleven support/directory targets returned HTTP 200",VERIFIED_LIVE,Prevents broken-link upload,Recheck before approved upload,Owner approves upload
TL-CMS-MAP-023,internal_links,inbound_batch,"Add support-to-hub links later from DUI refusal drugged-driving yanshuf speeding points/disqualification and Marvad pages",BLOCKED,Inbound support edits should happen only after hub edit passes QA and legal review,Confirm hub QA first,Hub update approved verified and legally reviewed
TL-CMS-MAP-024,boundary,drugged_driving,/driving-under-the-influence-of-drugs/ can link to traffic and criminal hubs only after context review,REVIEW_ONLY,Traffic and criminal intent overlap,Confirm no misleading single-hub classification,Boundary approval
TL-CMS-MAP-025,boundary,car_accident,/car-accident-auto-injury-lawyer/ must not be merged into traffic hub blindly,BLOCKED,Personal injury compensation and traffic prosecution are different intents,Confirm no generic related card leak,Separate boundary approval
TL-CMS-MAP-026,boundary,marvad_medical,"Marvad and medical-fitness pages must stay factual and source-based",REVIEW_ONLY,Medical fitness is a traffic/medical boundary topic,Confirm no private medical advice claim,Legal/source review
TL-CMS-MAP-027,redirects,redirect_policy,No redirects in first update,BLOCKED,Preserves live support URLs and avoids migration risk,Confirm redirect table unchanged,Separate redirect plan approval
TL-CMS-MAP-028,canonicals,support_canonical_policy,Do not canonicalize support pages into the hub,BLOCKED,Support pages still have distinct traffic-law subintent,Confirm support canonicals unchanged,Separate canonical review
TL-CMS-MAP-029,sitemap,sitemap_policy,Do not remove support pages from sitemap during this edit,BLOCKED,No sitemap migration approved,Confirm sitemap unchanged,Separate sitemap plan approval
TL-CMS-MAP-030,urls,future_slug_policy,"Do not create or link /drunk-driving/ /breathalyzer-test/ /license-suspension/ until migration maps are approved",BLOCKED,Prevents duplicate URLs and redirect risk,Confirm no new slug links,Migration approval
TL-CMS-MAP-031,taxonomy,boundary_policy,Do not resolve traffic criminal or traffic personal-injury boundaries in this first update,BLOCKED,These need a separate anti-cannibalization pass,Confirm no category or URL changes,Separate traffic cluster consolidation approval
TL-CMS-MAP-032,schema,allowed_schema,"WebPage Article Breadcrumb only if visible content matches",REVIEW_ONLY,Safe structured data only,Inspect source after upload,Owner approves upload
TL-CMS-MAP-033,schema,blocked_schema,"Review; AggregateRating; fake ratings; fake badges; top recommended trusted claims",BLOCKED,Compliance and Google rich-result risk,Inspect source after upload,Review reputation module approval
TL-CMS-MAP-034,language,blocked_terms,"מומלץ; הכי טוב; מוביל; אמין; guaranteed outcomes; case-result predictions; license-saved promises; city coverage claims without real coverage",BLOCKED,Sensitive traffic-law page must avoid reputation and outcome claims,Scan title H1 meta body and CTA after upload,Owner approves copy legal review and QA
TL-CMS-MAP-035,safety,sensitive_topic_rules,"No evading police testing court or license procedures; no private medical advice claim; no panic language",BLOCKED_UNTIL_LEGAL_REVIEW,Traffic-law copy includes legal/medical/criminal-adjacent boundaries,Scan body and CTA before upload,Legal/source review completed
TL-CMS-MAP-036,qa,post_upload,"200 status; self canonical; indexable; exact title; one H1; meta present; links 200; no Review schema; no evasion/testing instructions; mobile desktop readable",REQUIRED_POST_UPLOAD,Money-page update must be checked immediately,Run source checks and screenshots if possible,Owner approves upload
TL-CMS-MAP-037,gsc,gsc_monitoring,"Monitor /traffic-lawyer/ for traffic-lawyer DUI points suspension speeding and Marvad queries after recrawl",BLOCKED_UNTIL_UPLOAD,Needed to measure CTR and position changes,Compare 7 and 28 day query/page data,Public edit completed and indexed
TL-CMS-MAP-038,safety,live_change_status,No public CMS change executed in this cycle,VERIFIED,Repo-only planning and read-only live checks,Confirm git diff contains only project-control files,None
