target,liveSectionOrder,worksheetDecision,finalDecision,draftTargetSection,liveHeading,liveWords,operatorAction,uploadStatus,sourceFile
"/divorce-property-division/","1","PARTIAL_OVERLAP_REVIEW","SKIP_UI_OR_NAV","","משפחה וגירושין","27","Do not import live taxonomy/category navigation text into the article body.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","2","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","H1 and introduction","חלוקת רכוש בגירושין: נכסים, חובות, דירה, פנסיה ועסק משפחתי","30","The clean draft already covers the page intent, asset/debt scope and preparation framing.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","4","REVIEW_FOR_MERGE","SKIP_UI_CTA","","התאמה לעורך דין","47","Do not import generic lawyer-matching CTA copy into the informational body.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","5","REVIEW_FOR_MERGE","SKIP_UI_CTA","","חלוקת רכוש בגירושין הסבר ברור לפני פנייה לעורך דין","38","Do not import generic pre-lawyer CTA copy; the draft already has a safe Jus-Tice help section.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","6","PARTIAL_OVERLAP_REVIEW","SKIP_RELATED_LINK_BLOCK","Related pages","קישור למדריכים תומכים","35","Use the controlled related-pages section instead of importing live related-link UI text.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","7","PARTIAL_OVERLAP_REVIEW","SKIP_UI_CTA","","אפשרות להשארת פנייה מסודרת","31","Do not import generic lead-form CTA copy into the article body.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","8","PARTIAL_OVERLAP_REVIEW","SKIP_RELATED_LINK_BLOCK","Related pages","מסלול קריאה באשכול משפחה וגירושין","26","Use the controlled related-pages section instead of importing live reading-path UI text.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","10","REVIEW_FOR_MERGE","COVERED_NO_ACTION","Introduction and resource-balancing sections","חלוקת רכוש בגירושין: איזון משאבים, דירת מגורים, פנסיה, חובות ונכסים עסקיים","108","The clean draft already explains that property division is not a simple half-and-half calculation.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","14","COVERED_BY_DRAFT","COVERED_NO_ACTION","What is resource balancing?","מהו איזון משאבים?","83","The clean draft already covers resource balancing and value-based division.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","26","REVIEW_FOR_MERGE","COVERED_NO_ACTION","Business, company, shares and options","עסק או מניות בחברה.","38","The clean draft already covers businesses, shares, options, valuation and experts.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","27","REVIEW_FOR_MERGE","COVERED_NO_ACTION","Business, company, shares and options","אופציות ומענקים.","36","The clean draft already covers options, vesting and high-tech compensation risk.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
"/divorce-property-division/","28","COVERED_BY_DRAFT","COVERED_NO_ACTION","Debts and loans","חובות והלוואות.","34","The clean draft already covers debts, loans, guarantees and obligations.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/divorce-property-division.txt"
