"id","post_type","status","current_url","current_slug","proposed_english_slug","title","traffic_risk","redirect_needed","notes"
"19217","page","publish","http://jus-tice.co.il/family-dispute-resolution/","family-dispute-resolution","","יישוב סכסוך במשפחה: מה קורה לפני תביעה ומה צריך להכין","UNKNOWN","","PUBLIC_REST_EXPORT"
"19215","page","publish","http://jus-tice.co.il/divorce-property-division/","divorce-property-division","","חלוקת רכוש בגירושין: נכסים, חובות, דירה, פנסיה ועסק משפחתי","UNKNOWN","","PUBLIC_REST_EXPORT"
"19214","page","publish","http://jus-tice.co.il/child-custody/","child-custody","","משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים","UNKNOWN","","PUBLIC_REST_EXPORT"
"19213","page","publish","http://jus-tice.co.il/child-support/","child-support","","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב","UNKNOWN","","PUBLIC_REST_EXPORT"
"19212","page","publish","http://jus-tice.co.il/divorce-mediation/","divorce-mediation","","גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק","UNKNOWN","","PUBLIC_REST_EXPORT"
"19211","page","publish","http://jus-tice.co.il/consensual-divorce/","consensual-divorce","","גירושין בהסכמה: איך בונים הסכם שמחזיק לאורך זמן","UNKNOWN","","PUBLIC_REST_EXPORT"
"19201","page","publish","http://jus-tice.co.il/lawyer-plans/","lawyer-plans","","מסלולים לעורכי דין","UNKNOWN","","PUBLIC_REST_EXPORT"
"19200","page","publish","http://jus-tice.co.il/lawyer-dashboard/","lawyer-dashboard","","אזור אישי לעורכי דין","UNKNOWN","","PUBLIC_REST_EXPORT"
"19199","page","publish","http://jus-tice.co.il/lawyer-registration/","lawyer-registration","","הצטרפות עורכי דין","UNKNOWN","","PUBLIC_REST_EXPORT"
"7274","page","publish","http://jus-tice.co.il/divorce-lawyer/","divorce-lawyer","","עורך דין גירושין: מדריך עומק לבחירה נכונה, תהליך, עלויות, ילדים ורכוש","UNKNOWN","","PUBLIC_REST_EXPORT"
"38","page","publish","https://jus-tice.co.il/","jus-tice-2","","עורך דין מומלץ: משרדי עורכי דין מובילים בכל תחום משפטי","UNKNOWN","","PUBLIC_REST_EXPORT"
