runbook_id,stage,target,required,status,operator_instruction,blocked_until,notes
CRIM-CMS-RUN-001,approval,ALL,YES,BLOCKED,Do not edit CMS until owner marks each target APPROVE_CURRENT_URL_UPDATE in project-control/criminal-owner-review-packet-2026-05-22.csv,Owner/legal/source approval,Allowed decisions are APPROVE_CURRENT_URL_UPDATE EDIT_REQUIRED HOLD LEGAL_REVIEW_REQUIRED
CRIM-CMS-RUN-002,backup,ALL,YES,BLOCKED,Capture actual WordPress editor/database rollback material before editing any approved page,Owner approval plus CMS access,Local drafts and public text snapshots are not rollback backup
CRIM-CMS-RUN-003,boundary,ALL,YES,VERIFIED_PLANNING,Do not create duplicate pages; update existing approved current URLs only,Owner approval,The five targets are current-URL update candidates only
CRIM-CMS-RUN-004,boundary,ALL,YES,VERIFIED_PLANNING,"Do not change slugs, redirects, noindex, canonicals, sitemap inclusion, taxonomy, related cards or protected support URLs in the body upload batch",GSC API/export and separate approval,URL migration is separate from content-body upload
CRIM-CMS-RUN-005,page,/criminal-defense-attorney/,YES,BLOCKED,Use content-drafts/criminal-lawyer-pillar-he.md only after approval; update existing page after backup,Owner approval and CMS backup,Wave 1A pillar candidate; future /criminal-lawyer/ migration blocked
CRIM-CMS-RUN-006,page,/%D7%94%D7%9B%D7%A0%D7%94-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,YES,BLOCKED,Use content-drafts/police-investigation-supporting-he.md only after approval and rights-wording review; update existing Hebrew URL after backup,Owner approval legal/source review and CMS backup,Future /police-investigation/ migration blocked; keep separate from police-station directory intent
CRIM-CMS-RUN-007,page,/detention-before-charge-or-trial/,YES,BLOCKED,Use content-drafts/pretrial-detention-supporting-he.md only after approval; update existing page after backup,Owner approval legal/source review and CMS backup,Do not merge or redirect /detention-days/ in this upload
CRIM-CMS-RUN-008,page,/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,YES,BLOCKED,Use content-drafts/indictment-supporting-he.md only after approval; update existing article after backup,Owner approval legal/source review and CMS backup,Do not redirect or canonicalize case-specific indictment pages in this upload
CRIM-CMS-RUN-009,page,/drug-offenses-criminal-lawyer/,YES,BLOCKED,Use content-drafts/drug-offenses-supporting-he.md only after approval; update existing page after backup,Owner approval legal/source review and CMS backup,Do not create duplicate /drug-offenses/ and keep traffic drug-driving boundary separate
CRIM-CMS-RUN-010,post_upload_qa,EACH_APPROVED_PAGE,YES,BLOCKED,"Verify 200 status, final path, canonical, robots, title, H1, visible body, internal links, protected URLs and screenshots after each update",Approved CMS update,Rollback immediately if route or content integrity fails
CRIM-CMS-RUN-011,gsc_boundary,FUTURE_CLEAN_SLUGS,YES,BLOCKED,"Run GSC API/export before redirect, noindex, canonical retirement, sitemap or English-slug migration decisions",GSC API credentials and owner approval,Do not bundle URL migration with CMS body upload
