id,sequence,phase,owner_admin_action,required_proof,pass_condition,fail_stop,crm_anchor,allowed_next_action,forbidden_action,repo_privacy_rule
DRILL-PROSPECT-01,1,supply,Create or verify private Bituach Leumi prospect 1 in wp-admin only.,License/status verified; direct Bituach Leumi appeal fit verified; response SLA recorded; accepted lead-fee or subscription terms recorded; billing contact recorded.,All private prospect verification fields pass and owner approves routable activation.,"Any missing license, fit, terms, billing contact or owner approval blocks routing.",prospect_license_verified=1; prospect_specialty_verified=1; prospect_payment_path_ready=1; prospect_lead_fee_terms_ready=1; prospect_agreed_lead_fee_ils>0; prospect_billing_contact_email valid,Convert to routable lawyer profile after owner release.,"Do not publish profile, send client PII, contact client, invoice or count revenue from prospect setup alone.","Use generic prospect numbers in repo; real names, phones, emails and notes stay in wp-admin only."
DRILL-PROSPECT-02,2,supply,Create or verify private Bituach Leumi prospect 2 in wp-admin only.,License/status verified; direct Bituach Leumi appeal fit verified; response SLA recorded; accepted lead-fee or subscription terms recorded; billing contact recorded.,All private prospect verification fields pass and owner approves routable activation.,"Any missing license, fit, terms, billing contact or owner approval blocks routing.",prospect_license_verified=1; prospect_specialty_verified=1; prospect_payment_path_ready=1; prospect_lead_fee_terms_ready=1; prospect_agreed_lead_fee_ils>0; prospect_billing_contact_email valid,Convert to routable lawyer profile after owner release.,"Do not publish profile, send client PII, contact client, invoice or count revenue from prospect setup alone.","Use generic prospect numbers in repo; real names, phones, emails and notes stay in wp-admin only."
DRILL-PROSPECT-03,3,supply,Create or verify private Bituach Leumi prospect 3 in wp-admin only.,License/status verified; direct Bituach Leumi appeal fit verified; response SLA recorded; accepted lead-fee or subscription terms recorded; billing contact recorded.,All private prospect verification fields pass and owner approves routable activation.,"Any missing license, fit, terms, billing contact or owner approval blocks routing.",prospect_license_verified=1; prospect_specialty_verified=1; prospect_payment_path_ready=1; prospect_lead_fee_terms_ready=1; prospect_agreed_lead_fee_ils>0; prospect_billing_contact_email valid,Convert to routable lawyer profile after owner release.,"Do not publish profile, send client PII, contact client, invoice or count revenue from prospect setup alone.","Use generic prospect numbers in repo; real names, phones, emails and notes stay in wp-admin only."
DRILL-COVERAGE-01,4,supply,Confirm the first paid-lead preflight shows 3 routable Bituach Leumi specialists.,"Published/private lawyer profiles are routable, have Bituach Leumi area, routing enabled, accepted commercial terms, billing contact and remaining lead capacity.","Preflight has no supply, billing or routing-capacity blockers.",Fewer than 3 routable specialists blocks the controlled lead drill.,wp-admin -> Justice CRM -> Bituach Leumi specialist supply -> First paid-lead routing preflight,Select one controlled consented lead.,Do not route leads to non-routable or unpaid/unverified profiles.,"Do not put live lawyer IDs, emails or private billing fields in repo artifacts."
DRILL-CLIENT-01,5,consent,Select one current Bituach Leumi lead with explicit match permission.,"Lead has explicit_match_consent or owner_verified_consent, owner release note, Bituach Leumi appeal intent and no do-not-contact signal.",Consent evidence and owner release are recorded before routing_hold is cleared.,"No explicit permission, unclear permission, old legacy row, or do-not-contact blocks the drill.",wp-admin -> Justice CRM -> Held Bituach Leumi lead triage / permission queue,Prepare no-PII partner preview or controlled route.,"Do not infer consent from a WhatsApp click, old chat, silence, emoji or missed call.","No client name, phone, email, documents, raw chat or exact address in repo artifacts."
DRILL-PREVIEW-01,6,partner_preview,Prepare a no-PII preview of the controlled Bituach Leumi lead.,"Preview includes general issue, urgency and region only if safe; excludes name, phone, email, exact address, documents and raw WhatsApp/TalkTo content.",Partner terms and billing contact are already accepted before any PII release.,"Partner has not accepted terms or billing contact, or preview contains PII.",wp-admin -> Justice CRM -> Partner preview / terms queue,Manual handoff only after owner release confirms consent and terms.,"Do not send screenshots, raw chats, medical documents or full contact details at preview stage.",Repo can record preview-ready yes/no only.
DRILL-ROUTE-01,7,manual_handoff,Perform one controlled manual/routed handoff after all prior proof rows pass.,"Owner release confirms client permission, accepted partner terms, billing contact, manual-only scope and lead price/fee.",The lead reaches one accepted specialist and creates a qualified billing queue item.,"Any missing owner release, partner terms or consent keeps routing_hold on.",wp-admin -> Justice CRM -> Owner handoff release queue,Move to billing queue and request invoice/payment proof.,"Do not automate webhooks, bulk route, or contact additional partners from this drill.",No live handoff details in repo; keep exact IDs in wp-admin.
DRILL-BILLING-01,8,billing,Record manual invoice/payment request for the accepted partner.,"Qualified lead billing status, invoice reference or payment request reference, suggested price and billable partner are recorded.",Invoice_sent can be recorded only with reference; paid can be recorded only with proof.,No invoice/reference means no invoice_sent; no payment evidence means no paid revenue claim.,wp-admin -> Justice CRM -> Qualified lead billing queue,Wait for payment evidence and record it privately.,Do not mark paid or claim first paid lead from a promise to pay.,Repo may say reference present yes/no; no private invoice or payment URLs.
DRILL-PAYMENT-01,9,payment_proof,Verify actual payment proof exists before counting revenue.,qualified_lead_billing_status=paid and private payment evidence URL is present; invoice reference alone is not paid proof.,"Paid status has proof, no refund/dispute/complaint is open, and owner confirms one-time revenue count.","Any missing proof, dispute, refund, complaint or ethics concern blocks revenue count.",wp-admin -> Justice CRM -> Qualified lead billing queue,Record first paid-lead achievement and prepare scale/no-go review.,Do not count paid revenue from screenshots outside CRM or undocumented owner notes.,Payment evidence stays private; repo only records proof-present status.
DRILL-SCALE-01,10,scale_decision,"Decide whether to repeat, repair or stop the Bituach Leumi paid-lead loop.","All prior drill rows pass; owner confirms supply quality, consent process, billing proof, refund path and no unresolved complaints.","Owner approves controlled repeat batches, or holds for repair.",Any unresolved blocker keeps the loop in controlled/manual mode only.,Owner review after live CRM proof exists,Repeat small controlled batches after approval.,"Do not publish public claims, scale WhatsApp/TalkTo imports or automate lead routing from one incomplete drill.",Scale decision can be summarized without live client/lawyer/payment details.
