post_id,old_hebrew_slug,new_english_slug,title
12940,"אכיפת-הסכם-גירושין-על-רקע-טענות-הדדיות","divorce-agreement-enforcement-claims","אכיפת הסכם גירושין על רקע טענות הדדיות בדבר הפרתו"
12883,"תפוגת-חיובים-בהסכם-שלום-בית-וגירושין","rabbinical-courts-reconciliation-agreement-divorce-ketubah","תפוגת חיובים בהסכם שלום בית וגירושין – המלצה לכתובה מוקטנת בבתי הדין הרבניים"
12670,"פסד-רבני-2025-בקשת-האישה-להקדמת-מועד-פירו","dissolution-partnership-verdict-petition-witness-apartment-agreement","פסד רבני (2025) בקשת האישה להקדמת מועד פירוק שיתוף דירה טרם התאריך שנקבע בהסכם"
12650,"תיק-1495176-4-יולי-2025-שאלת-סמכות-בית-הדין-האזורי","rabbinical-court-jurisdiction-alimony-1495176-4-2025","תיק 1495176/4 יולי 2025 | שאלת סמכות בית הדין האזורי לדון בעניין מזונות הילדים"
12535,"עקרונות-הלכתיים-ויישום-קביעתם-של-הסדר","best-interest-child-procedures-divorce-alimony","עקרונות הלכתיים ויישום קביעתם של הסדרי השהות בגירושין על פי טובת הילד | חיובי המזונות היקפם וחלוקתם"
12412,"עורך-דין-פורקס-מה-זה-פורקס-forex","lawyer-forex","עורך דין פורקס | מה זה פורקס?  FOREX"
12406,"סקירת-2025-סדר-דין-פלילי-חוק-המעצרים","criminal-law-review-procedure-law-detention-2025","סקירת 2025 סדר דין פלילי – חוק המעצרים"
12295,"פסק-דין-קטין-שהואשם-בעבירות-התפרעות-ות","verdict-offenses-police-officer-1327-11-24","פסק דין קטין שהואשם בעבירות התפרעות ותקיפת שוטר (1327-11-24)"
12273,"לשון-הרע-תלונה-במשטרה","defamation","לשון הרע תלונה במשטרה"
6680,"מסגרת-נורמטיבית-פרסום-לשון-הרע","defamation-6680","מסגרת נורמטיבית פרסום לשון הרע"
12255,"בעלות-על-זכויות-בנייה-בגגות-הלכת-בית-ה","building-rights-beit-hadar-ownership-roofs-ruling-7808","בעלות על זכויות בנייה בגגות | הלכת בית הדר עא 7808/21 והשלכותיה"
12245,"הגג-שייך-לכל-הדיירים-עא-7808-21-תקדים-בית-הד","beit-hadar-ruling-new-roof-tenants-precedent","הלכה חדשה 2025 | הגג שייך לכל הדיירים | עא 7808/21 תקדים בית הדר פסק הדין המלא"
12239,"חוקי-הנדלן-בישראל-מול-צרפת-מדריך-להשק","laws-real-estate-israel-france-guide-properties","חוקי הנדלן בישראל מול צרפת: מדריך להשקעות ונכסים (2025)"
12236,"עורך-דין-דובר-צרפתית-לרכישת-נדלן-בישר","property-purchase-lawyer-israel-guide-complete-france","עורך דין דובר צרפתית לרכישת נדלן בישראל – המדריך המשפטי המלא למשקיעים מצרפת | Acheter un bien immobilier en Israël : Guide juridique complet"
12179,"מדריך-החזרי-מס-2025-מחשבון","guide-tax-calculator-updated-2025","מדריך החזרי מס 2025 + מחשבון מעודכן"
12162,"חתימת-עורך-דין-נוטריון-חתימת-מסמכים-נ","lawyer-signing-notary-price-list-2025","חתימת עורך דין / נוטריון | חתימת מסמכים נוטריוניים ומשפטיים | מחירון 2025"
12156,"מדריך-מעודכן-למתגרשים-בשנת-2025-סטטיסטיק","property-division-guide-updated-divorce-custody-infidelity","מדריך מעודכן למתגרשים בשנת 2025: סטטיסטיקה גירושים, התמודדות עם חלוקת רכוש, משמורת וחשד לבגידה"
12111,"התחדשות-עירונית-בתל-אביב-החברות-המו","urban-renewal-tel-aviv-companies-38-2025","התחדשות עירונית בתל אביב – החברות המובילות (תמ״א 38) תא 2025"
12106,"שנת-2025-מדריך-מעשי-לבחירת-חברה-יזם-להתחדש","urban-renewal-guide-practical-company-2025","שנת 2025 | מדריך מעשי לבחירת חברה/יזם להתחדשות עירונית"
12096,"עורכי-דין-מובילים-בתחום-רשלנות-רפואית","medical-malpractice-lawyers-law-medical-israel","עורכי דין מובילים בתחום רשלנות רפואית בעולם | עורכי הדין המובילים בתחום הרשלנות הרפואית בישראל"
12082,"עורך-דין-לעבירות-שוק-ההון","lawyer-capital-market-offenses","עורך דין לעבירות שוק ההון"
12073,"סוגי-עבירות-פליליות-טבלת-ענישה-והליך-ה","criminal-offenses-lawyer-criminal-sentencing-process-arrest","עוד פלילי על סוגי עבירות פליליות | טבלת ענישה והליך המעצר | כמה עולה עורך דין מעצרים? מחירון 2025"
12065,"מחירון-שירותי-עורך-דין-נדלן-2025","lawyer-price-list-real-estate-2025","מחירון שירותי עורך דין נדלן 2025"
12058,"עסקאות-נדלן-מורכבות-עורך-דין-נדלן","real-estate-deals-lawyer-real-estate","עסקאות נדלן מורכבות | עורך דין נדלן"
12036,"המדריך-המלא-לצוואות-מעודכן-2025","guide-complete-wills-updated-2025","המדריך המלא לצוואות – מעודכן 2025"
12028,"הסכם-ממון-בישראל-המדריך-המקיף-לשנת-2025","prenuptial-agreement-israel-guide-comprehensive-2025","הסכם ממון בישראל – המדריך המקיף לשנת 2025"
12013,"מדריך-2025-איפה-הכי-משתלם-למשקיע-הישראלי-ל","guide-israeli-apartment-2025","מדריך 2025: איפה הכי משתלם למשקיע הישראלי לקנות דירה בעולם?"
12007,"בגץ-הבוגדת-ההשפעות-המשפטיות-החברתיו","article-12007","בגץ הבוגדת: ההשפעות המשפטיות, החברתיות והכלכליות על מערכת המשפט הישראלית"
12004,"סמכות-בתי-הדין-הרבניים-במזונות-ילדים-ב","rabbinical-courts-child-support-jurisdiction-5988-21","סמכות בתי הדין הרבניים במזונות ילדים: בחינה משפטית, חוקתית וחברתית בעקבות בגץ 5988/21"
11982,"תפקידם-של-עורכי-דין-בתחום-הסייבר","lawyers-cyber","תפקידם של עורכי דין בתחום הסייבר"
11977,"איפה-כדאי-להשקיע-נדלן-בדובאי-2025","real-estate-dubai-2025","איפה כדאי להשקיע? נדלן בדובאי  2025"
11969,"איך-לקנות-נדלן-בזול-ולהרוויח-המדריך-ה","real-estate-guide-complete-2025","איך לקנות נדלן בזול ולהרוויח: המדריך המלא 2025"
11965,"מהו-יועץ-נדלן-מדריך-מקיף-להבנת-תפקידו","consultant-real-estate-guide-comprehensive","מהו יועץ נדלן? מדריך מקיף להבנת תפקידו וערכו"
11960,"האם-כדאי-לעבוד-עם-יועץ-נדלן","consultant-real-estate","האם כדאי לעבוד עם יועץ נדלן?"
11952,"מקרי-רשלנות-רפואית-בלידה-וטיפול-משפטי","medical-malpractice-lawyer-birth-representation","מקרי רשלנות רפואית בלידה וטיפול משפטי בייצוג עורך דין"
11948,"השקעה-בנדלן-בחול-לישראלים-2025-המדריך-ה","real-estate-israelis-guide-complete-rental-2025","השקעה בנדלן בחול לישראלים (2025) המדריך המלא לקנייה, השכרה ו-Airbnb"
11942,"רכישת-נדלן-במנהטן-מה-חובה-לבדוק-לפני-ב","property-purchase-guide-manhattan-2025","מדריך רכישת נדלן במנהטן 2025"
11934,"השקעות-נדלן-בניו-יורק-מבט-מורחב-למש","real-estate-investment-new-york-surgery-manhattan","מה חשוב לדעת על השקעות נדלן בניו יורק | ניתוח כדאיות השקעה במנהטן מול ערים אחרות בעולם"
11922,"שנת-2025-מה-תפקידו-של-עורך-דין-נדלן-ועלוי","lawyer-real-estate-costs-2025","שנת 2025 | מה עושה עורך דין נדלן ומהן העלויות הכרוכות בעבודתו"
11918,"עורך-דין-גירושין-מסביר-איך-להתגרש-נכון","lawyer-divorce-rights","עורך דין גירושין מסביר איך להתגרש נכון ומהר ולשמור על הזכויות | עוד מגשרת רוטנברג"
11901,"להשקיע-ביוון-או-בקפריסין-השוואת-שוק-הנ","real-estate-market-greece-cyprus","להשקיע ביוון או בקפריסין? השוואת שוק הנדלן קפריסין מול יוון"
11898,"מגמות-והתפתחויות-בתחום-הבנייה-הירוקה","urban-planning-greece-review-israelis-2025","מגמות והתפתחויות בתחום הבנייה הירוקה, תכנון עירוני ופרויקטים אנרגטיים ביוון – סקירה 2025 לישראלים"
11888,"סקירה-על-שוק-הנדלן-בקפריסין-מדריך-2025-ל","real-estate-market-review-cyprus-guide-israelis-2025","סקירה על שוק הנדלן בקפריסין – מדריך 2025 למשקיעים ישראלים בקפריסין"
11878,"מחירון-2025-עורך-דין-פלילי-מומלץ-סקירה-והש","criminal-law-price-list-lawyer-recommended-review-costs","מחירון 2025 עורך דין פלילי מומלץ | סקירה והשוואת עלויות עוד פלילי + טיפים"
11834,"עורך-דין-רשלנות-רפואית-בלידה-מומלץ","medical-malpractice-lawyer-birth-recommended","עורך דין רשלנות רפואית בלידה מומלץ"
