item_id,cluster_lane,current_url_or_reference,current_role,recommended_action,merge_or_protect_targets,internal_link_posture,sitemap_posture,approval_status,notes
FD-001,divorce-pillar,https://jus-tice.co.il/divorce-lawyer/,current clean commercial pillar candidate,COMPARE_AS_PRIMARY_NO_URL_CHANGE,old Hebrew divorce-lawyer article; divorce PDF; broad family-lawyer pages,hub to all six support pages and family-law lawyer directory after safety check,INCLUDE_AFTER_OWNER_LEGAL_REVIEW,OWNER_APPROVAL_REQUIRED,Do not overload with broad family-law hub intent.
FD-002,divorce-pillar,REFERENCE:DIVORCE-OLD-HEBREW-GSC-001,high-impression old divorce URL,PROTECT_COMPARE_MERGE_LATER,/divorce-lawyer/,link to final pillar only after comparison,KEEP_OUT_OF_MIGRATION_UNTIL_APPROVED,OWNER_APPROVAL_REQUIRED,GSC evidence in owner packet shows 960 impressions for divorce-lawyer query.
FD-003,document-risk,https://jus-tice.co.il/wp-content/uploads/2022/06/misradhamishpatim-women.pdf,PDF with divorce-lawyer query visibility,DOCUMENT_STRATEGY_REQUIRED,/divorce-lawyer/,link or replace only after document strategy,DO_NOT_REMOVE_OR_NOINDEX_YET,OWNER_APPROVAL_REQUIRED,No media deletion or blind redirect.
FD-004,consensual-divorce,https://jus-tice.co.il/consensual-divorce/,clean support page,KEEP_AS_SUPPORT_REVIEW,agreement pages and templates,link to divorce pillar mediation family-dispute and lawyer directory,INCLUDE_AFTER_SOURCE_REVIEW,OWNER_APPROVAL_REQUIRED,Owns low-conflict/agreement divorce intent.
FD-005,mediation,https://jus-tice.co.il/divorce-mediation/,clean mediation support page,KEEP_AS_SUPPORT_REVIEW,mediation DOCX; mediation pros-cons; mediation basics; family mediation trends,link to divorce pillar consensual divorce and lawyer directory,INCLUDE_AFTER_DOCX_REVIEW,OWNER_APPROVAL_REQUIRED,Do not let DOCX vanish without strategy.
FD-006,document-risk,https://jus-tice.co.il/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,DOCX with mediation/agreement visibility,DOCUMENT_STRATEGY_REQUIRED,/divorce-mediation/; /consensual-divorce/,link from HTML support only after approval,DO_NOT_REMOVE_OR_NOINDEX_YET,OWNER_APPROVAL_REQUIRED,GSC owner packet notes 86 impressions for mediation query.
FD-007,mediation,https://jus-tice.co.il/divorce-mediation-cons-pros/,thin legacy mediation support,MERGE_OR_EXPAND_AFTER_REVIEW,/divorce-mediation/,support to mediation pillar if kept,REDIRECT_ONLY_AFTER_APPROVAL,OWNER_APPROVAL_REQUIRED,Quality risk but relevant.
FD-008,mediation,https://jus-tice.co.il/divorce-mediation-basics/,legacy mediation basics,COMPARE_SUPPORT_OR_MERGE,/divorce-mediation/,support to mediation and consensual divorce,REDIRECT_ONLY_AFTER_APPROVAL,OWNER_APPROVAL_REQUIRED,Do not duplicate mediation H1/title.
FD-009,mediation,https://jus-tice.co.il/family-mediation-updated-trends/,large family mediation trend article,KEEP_AS_CONTEXT_OR_MERGE_SECTIONS,/divorce-mediation/,context link from mediation page if quality/legal review passes,INCLUDE_ONLY_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,May be editorial/context rather than service guide.
FD-010,agreement,https://jus-tice.co.il/divorce-with-consent/,legacy consensual divorce variant,COMPARE_SUPPORT_OR_MERGE,/consensual-divorce/,link toward consensual-divorce if kept,REDIRECT_ONLY_AFTER_APPROVAL,OWNER_APPROVAL_REQUIRED,Potential duplicate of consensual divorce page.
FD-011,agreement,https://jus-tice.co.il/mutual-divorce-agreement-2025/,agreement support article,KEEP_OR_MERGE_AFTER_REVIEW,/consensual-divorce/; /rabbinical-agreement-approval/,support link to consensual-divorce and divorce pillar,INCLUDE_IF_UPDATED_AND_UNIQUE,OWNER_APPROVAL_REQUIRED,Date-sensitive 2025 claims need review.
FD-012,agreement,https://jus-tice.co.il/what-is-a-divorce-settlement-agreement/,thin agreement overview,MERGE_OR_REWRITE,/consensual-divorce/,support link only if expanded,REDIRECT_ONLY_AFTER_APPROVAL,OWNER_APPROVAL_REQUIRED,Thin direct overlap with consensual divorce.
FD-013,agreement,https://jus-tice.co.il/free-divorce-agreement-template/,template/agreement page,REVIEW_AS_TEMPLATE_TOOL,/consensual-divorce/; mediation DOCX,link from support only with disclaimer,INCLUDE_ONLY_IF_TEMPLATE_STRATEGY_APPROVED,OWNER_APPROVAL_REQUIRED,No legal template without strong disclaimer/review.
FD-014,agreement,https://jus-tice.co.il/how-much-does-a-divorce-agreement-cost/,thin cost/agreement article,MERGE_OR_UPDATE,/divorce-costs-2025/; /consensual-divorce/,support only if refreshed,REDIRECT_ONLY_AFTER_APPROVAL,OWNER_APPROVAL_REQUIRED,Price claims are sensitive and date-sensitive.
FD-015,rabbinical-agreement,https://jus-tice.co.il/rabbinical-agreement-approval/,large rabbinical agreement article,KEEP_AS_DEEP_SUPPORT,/consensual-divorce/; /divorce-lawyer/,link from agreement and divorce pillar,INCLUDE_IF_SOURCE_REVIEW_PASSES,OWNER_APPROVAL_REQUIRED,Potential authoritative support but legal review needed.
FD-016,agreement,https://jus-tice.co.il/divorce-agreement-validity-dispute/,large agreement validity case/article,KEEP_AS_CASE_SUPPORT,/consensual-divorce/,case-support link only,INCLUDE_IF_NOT_DUPLICATE,OWNER_APPROVAL_REQUIRED,Should not become generic agreement pillar.
FD-017,agreement,https://jus-tice.co.il/cancel-a-divorce-settlement-agreement/,agreement cancellation article,KEEP_AS_SUPPORT_OR_MERGE,/consensual-divorce/,support link to agreement guide,INCLUDE_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,Needs source/legal review.
FD-018,child-support,https://jus-tice.co.il/child-support/,clean support guide candidate,COMPARE_AS_PRIMARY_NO_URL_CHANGE,old calculator URL; 919/15 case-law pages,link to divorce pillar custody dispute-resolution and lawyer directory,INCLUDE_AFTER_CALCULATOR_STRATEGY,OWNER_APPROVAL_REQUIRED,Current clean guide does not yet own checked GSC demand.
FD-019,child-support,REFERENCE:CHILD-SUPPORT-CALCULATOR-GSC-001,old calculator URL,PROTECT_AS_TOOL_OR_SUPPORT,/child-support/,link to guide only after source/tool strategy,DO_NOT_REDIRECT_YET,OWNER_APPROVAL_REQUIRED,Owns visible child-support/calculation demand in checked GSC pass.
FD-020,child-support,https://jus-tice.co.il/psakdin/%D7%91%D7%A2%D7%9D-919-15-%D7%94%D7%9C%D7%9B%D7%AA-%D7%94%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%94%D7%97%D7%93%D7%A9%D7%94/,large case-law asset,KEEP_SEPARATE_AS_CASE_SUPPORT,/child-support/,link from guide as source/context only,INCLUDE_IF_CASE_ARCHIVE_POLICY_APPROVES,OWNER_APPROVAL_REQUIRED,Do not turn case-law into broad child-support guide.
FD-021,child-support,https://jus-tice.co.il/child-support-divorced-parents61641-09-19/,child-support case/support page,KEEP_AS_CASE_SUPPORT,/child-support/,context link to child-support guide,INCLUDE_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,Source/legal framing needed.
FD-022,child-custody,https://jus-tice.co.il/child-custody/,clean custody guide candidate,COMPARE_AS_PRIMARY_NO_URL_CHANGE,what-is-child-custody; custody PDF; sole-mother custody case URL,link to divorce pillar child support and family dispute,INCLUDE_AFTER_DOCUMENT_REVIEW,OWNER_APPROVAL_REQUIRED,Does not yet own checked broad custody query.
FD-023,child-custody,https://jus-tice.co.il/what-is-child-custody/,GSC-visible custody article,PROTECT_COMPARE_MERGE_LATER,/child-custody/,link to final guide after approval,DO_NOT_REDIRECT_YET,OWNER_APPROVAL_REQUIRED,Visible GSC custody demand maps here.
FD-024,document-risk,https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf,custody PDF with query visibility,DOCUMENT_STRATEGY_REQUIRED,/child-custody/,link/replace only after approval,DO_NOT_REMOVE_OR_NOINDEX_YET,OWNER_APPROVAL_REQUIRED,PDF has visible custody query impressions in owner packet.
FD-025,child-custody,REFERENCE:SOLE-MOTHER-CUSTODY-CASE-GSC-001,old sole-mother custody case-law URL,PROTECT_AS_CASE_SUPPORT,/child-custody/,link to guide only after legal review,DO_NOT_REDIRECT_YET,OWNER_APPROVAL_REQUIRED,Average position 9.6 in GSC pass; protect carefully.
FD-026,child-custody,https://jus-tice.co.il/child-custody-modification/,custody modification support,KEEP_AS_SUPPORT_REVIEW,/child-custody/,link to custody guide and child support,INCLUDE_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,Needs terminology review.
FD-027,child-custody,https://jus-tice.co.il/custody-rights-for-fathers/,father custody support,KEEP_AS_SUPPORT_REVIEW,/child-custody/,link as custody subtopic,INCLUDE_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,Needs careful non-misleading framing.
FD-028,child-custody,https://jus-tice.co.il/joint-custody-shared-parenting/,shared parenting support,KEEP_AS_SECTION_OR_SUPPORT,/child-custody/,link as custody subtopic,INCLUDE_IF_EXPANDED,OWNER_APPROVAL_REQUIRED,May be a section before standalone support.
FD-029,child-custody,https://jus-tice.co.il/tender-years-mother-custody-child-age-under-6/,tender-years support,REVIEW_AS_SUPPORT_NOT_PRIMARY,/child-custody/,link as cautious legal concept support,INCLUDE_IF_LEGAL_REVIEW_APPROVES,OWNER_APPROVAL_REQUIRED,Sensitive terminology.
FD-030,property-division,https://jus-tice.co.il/divorce-property-division/,clean property division support,KEEP_SUPPORT_COMPARE_DUPLICATES,property/ketubah/pension/apartment case pages,link to divorce pillar consensual divorce and lawyer directory,INCLUDE_AFTER_DUPLICATE_REVIEW,OWNER_APPROVAL_REQUIRED,Must not duplicate case-law pages.
FD-031,property-division,https://jus-tice.co.il/division-of-a-couples-apartment-and-its-implications-for-charging-the-ketubah/,large apartment/ketubah article,KEEP_AS_CASE_OR_DEEP_SUPPORT,/divorce-property-division/,context link to property guide,INCLUDE_IF_NOT_DUPLICATIVE,OWNER_APPROVAL_REQUIRED,Large word count; not automatically the pillar.
FD-032,property-division,https://jus-tice.co.il/family-judgment-31661-07-16/,large property judgment page,KEEP_AS_CASE_SUPPORT,/divorce-property-division/,case-support link only,INCLUDE_IF_CASE_ARCHIVE_POLICY_APPROVES,OWNER_APPROVAL_REQUIRED,International/offshore facts may be narrow context.
FD-033,property-division,https://jus-tice.co.il/unequal-pension-split-verdict-against-husband/,pension division case,KEEP_AS_CASE_SUPPORT,/divorce-property-division/,link as pension division context,INCLUDE_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,Do not over-generalize from one verdict.
FD-034,property-division,https://jus-tice.co.il/property-jurisdiction-divorce-claim-section-4a/,property jurisdiction article,KEEP_AS_SUPPORT_OR_CASE_CONTEXT,/divorce-property-division/,link if jurisdiction section exists,INCLUDE_IF_SOURCE_REVIEW_PASSES,OWNER_APPROVAL_REQUIRED,Legal framing needed.
FD-035,property-division,https://jus-tice.co.il/divorce-resource-balancing-case21019-01-21/,resource balancing case,KEEP_AS_CASE_SUPPORT,/divorce-property-division/,context link only,INCLUDE_IF_CASE_ARCHIVE_POLICY_APPROVES,OWNER_APPROVAL_REQUIRED,Support not pillar.
FD-036,property-division,https://jus-tice.co.il/spouse-property-registration-guide/,property registration guide,KEEP_AS_SUPPORT_OR_SEPARATE_BOUNDARY,/divorce-property-division/,link if spouse-property section exists,INCLUDE_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,Real-estate/family boundary.
FD-037,dispute-resolution,https://jus-tice.co.il/family-dispute-resolution/,clean dispute-resolution support,KEEP_AS_SUPPORT_REVIEW,request-for-family-dispute-settlements; form 6; dispute law success article,link to divorce pillar mediation consensual divorce custody/support,INCLUDE_AFTER_CANNIBALIZATION_REVIEW,OWNER_APPROVAL_REQUIRED,Needs cannibalization review before import/upload.
FD-038,dispute-resolution,https://jus-tice.co.il/request-for-family-dispute-settlements/,direct dispute-settlement old page,PROTECT_COMPARE_MERGE_LATER,/family-dispute-resolution/,link to final guide after approval,REDIRECT_ONLY_AFTER_APPROVAL,OWNER_APPROVAL_REQUIRED,Direct match to family-dispute intent.
FD-039,dispute-resolution,https://jus-tice.co.il/is-a-law-for-the-settlement-of-family-disputes-successful/,large dispute-law analysis,KEEP_AS_CONTEXT_SUPPORT,/family-dispute-resolution/,context link only,INCLUDE_IF_UNIQUE_VALUE,OWNER_APPROVAL_REQUIRED,May be policy/editorial support.
